"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db","Notes"
"MDRB","Multidrug-resistant bacteria (organism)","713351000","SNOMED",NA
"ME/CFS","myalgic encephalomeyelitis/chronic fatigue syndrome","MONDO:0005404","MONDO",NA
"melanoma","melanoma","EFO:0000756","EFO",NA
"melanoma_surgery","Melanoma Surgery","NCIT:C157920","NCIT",NA
"metabolic_syndrome","metabolic syndrome","EFO:0000195","EFO",NA
"metastases","Metastatic Malignant Neoplasm","NCIT:C36263","NCIT",NA
"metastases_adrenal","Metastatic Malignant Neoplasm in the Adrenal Gland","NCIT:C8610","NCIT",NA
"metastases_bone","Metastatic Malignant Neoplasm in the Bone","NCIT:C3580","NCIT",NA
"metastases_liver","Metastatic Malignant Neoplasm in the Liver","NCIT:C4758","NCIT",NA
"metastases_lung","Metastatic Malignant Neoplasm in the Lung","NCIT:C3577","NCIT",NA
"metastases_nodes","Metastatic Malignant Neoplasm in the Lymph Nodes","NCIT:C4904","NCIT",NA
"metastases_SQ","Metastatic Squamous Cell Carcinoma","NCIT:C4104","NCIT",NA
"microfilaria_loa_loa","Loa loa","NCIT:C123512","NCIT","Loa loa,Microfilaria"
"microfilaria_spp","Microfilaria","OMIT:0009896","OMIT",NA
"migraine","Migraine","NCIT:C89715","NCIT",NA
"MS","Metabolic Syndrome","NCIT:C84442","NCIT",NA
"mucositis","Mucositis","NCIT:C115965","NCIT",NA
"NAFLD","Non-alcoholic Fatty Liver Disease","OMIT:0028679","OMIT",NA
"necator_americanus","Necator americanus","OMIT:0017611","OMIT",NA
"NK","Natural Killer Cell","NCIT:C12536","NCIT",NA
"Oral Microbiome","Oral Microbiome","NCIT:C125208","NCIT",NA
"osteoarthritis","Osteoarthritis","NCIT:C3293","NCIT",NA
"otitis","otitis","SYMP:0000873","SYMP",NA
"PD","Parkinson disease","MONDO:0005180","MONDO",NA
"peri-implantitis","Peri-Implantitis","OMIT:0027030","OMIT",NA
"perianal_fistula","Perianal fistula (disorder)","58103005","SNOMED",NA
"periodontitis","periodontitis","EFO:0000649","EFO",NA
"plasmodium_falciparum","Plasmodium falciparum","NCBITaxon:5833","NCBITaxon",NA
"pneumonia","pneumonia","EFO:0003106","EFO",NA
"pre-eclampsia","preeclampsia","EFO:0000668","EFO",NA
"pre-hypertension","Pre-capillary pulmonary hypertension","HP:0033578","HP",NA
"premature_born","premature birth","EFO:0003917","EFO",NA
"Prevotella copri","Prevotella copri","NCBITaxon:165179","NCBITaxon",NA
"psoriasis","Schizophrenia","NCIT:C3362","NCIT","Schizophrenia,repeated"
"pyelonefritis","pyelonephritis","EFO:1001141","EFO",NA
"pyelonephritis","pyelonephritis","EFO:1001141","EFO",NA
"RA","rheumatoid arthritis","EFO:0000685","EFO",NA
"repeated_episodes_shizofrenia","Schizophrenia,repeated","EUPATH:0001011","EUPATH",NA
"respiratoryinf","Respiratory tract infection","HP:0011947","HP",NA
"salmonellosis","salmonellosis","MONDO:0000827","MONDO",NA
"schistosoma","Schistosoma","NCIT:C124285","NCIT",NA
"schizofrenia","Schizophrenia","NCIT:C3362","NCIT",NA
"schizophrenia","Schizophrenia","NCIT:C3362","NCIT",NA
"sepsis","sepsis","MP:0005044","MP",NA
"skininf","Helminth","NCIT:C125642","NCIT","Helminth,Transmitted,soil"
"smalladenoma","Small Intestinal Adenoma","NCIT:C5340","NCIT",NA
"SRP","Infection","NCIT:C128320","NCIT","Infection,Suspected"
"STEC","Shiga Toxin-producing Escherichia coli","NCIT:C184689","NCIT",NA
"STH","Helminth,Transmitted,soil","ENVO:00001998","ENVO",NA
"stomatitis","stomatitis","EFO:0009688","EFO",NA
"suspinf","Infection,Suspected","NCIT:C71458","NCIT",NA
"T1D","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT",NA
"T1D_nonconverter","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT",NA
"T1D_seroconverter","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT",NA
"T2D","Type 2 Diabetes Mellitus","NCIT:C26747","NCIT",NA
"TKI_dependent_diarrhoea","diarrhea","MP:0005036","MP",NA
"tonsillitis","Tonsillitis","NCIT:C116006","NCIT",NA
"treatment_colitis","Colitis","OMIT:0004401","OMIT",NA
"trichomonas_intestinalis","Trichomonas","NCIT:C89825","NCIT",NA
"trichuris_trichiura","Trichuris trichiura","NCIT:C125973","NCIT",NA
"UC","ulcerative colitis","EFO:0000729","EFO",NA
"undetermined_colitis","undetermined colitis","MONDO:0015176","MONDO",NA
"ureteralstone","Ureteric Stone","NCIT:C26902","NCIT",NA
"uveitis","uveitis","EFO:1001231","EFO",NA
"VKH","Vogt-Koyanagi-Harada disease","MONDO:0018092","MONDO",NA
"Weight loss","Weight loss","HP:0001824","HP",NA
"wilson","Wilson disease","MONDO:0010200","MONDO",NA
"wuchereria_bancrofti","Wuchereria bancrofti","NCIT:C122328","NCIT",NA
