"original_value","curated_ontology_term","curated_ontology_term_id","Notes"
"trichomonas_intestinalis","Trichomonas","NCIT:C89825",NA
"trichuris_trichiura","Trichuris trichiura","NCIT:C125973",NA
"UC","ulcerative colitis","EFO:0000729",NA
"undetermined_colitis","undetermined colitis","MONDO:0015176",NA
"ureteralstone","Ureteric stone (disorder)","31054009",NA
"uveitis","uveitis","EFO:1001231",NA
"VKH","Vogt-Koyanagi-Harada disease","MONDO:0018092",NA
"Weight loss","Weight loss","HP:0001824",NA
"wilson","Wilson disease","MONDO:0010200",NA
"wuchereria_bancrofti","Wuchereria bancrofti","NCIT:C122328",NA
