"Name","Reference","All","Mutations","CNA","RNA.Seq","Structural_Variants","Tumor_mRNA_.microarray.","Tumor_miRNA","Methylation_.HM27.","RPPA","Protein_Mass_Spectrometry","Complete","Treatment_Count","pmid","studyId"
"Adenoid Cystic Carcinoma Project (J Clin Invest 2019)","Allen et al. J Clin Invest 2019",1049,1049,928,0,273,0,0,0,0,0,0,0,"31483290","acc_2019"
"Adenoid Cystic Carcinoma of the Breast (MSK, J Pathol. 2015)","Martelotto et al. J Pathol 2015",12,12,12,0,10,0,0,0,0,0,0,0,"26095796","acbc_mskcc_2015"
"Adrenocortical Carcinoma (TCGA, Firehose Legacy)","",92,90,90,79,0,0,0,0,46,0,75,0,NA,"acc_tcga"
"Adrenocortical Carcinoma (TCGA, GDC)","",92,90,90,0,0,0,0,0,0,0,0,0,NA,"acc_tcga_gdc"
"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",92,91,89,78,55,0,0,0,45,0,76,16,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","acc_tcga_pan_can_atlas_2018"
"Adult Soft Tissue Sarcomas (TCGA, Cell 2017)","TCGA, Cell 2017",206,206,206,206,0,0,0,0,0,0,206,0,"29100075","sarc_tcga_pub"
"Ampullary Carcinoma (Baylor College of Medicine, Cell Reports 2016)","Gingras et al. Cell Rep 2016",160,160,0,0,0,0,0,0,0,0,0,0,"26804919","ampca_bcm_2016"
"Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytoma (MSK, Neuro Oncol 2017)","Thomas et al. Neuro Oncol 2017",22,22,22,0,0,0,0,0,0,0,0,0,"28472509","odg_msk_2017"
"Anaplastic Thyroid Cancers (GATCI, Cell Reports 2024)","Zeng, Peter Y F et al. Cell reports",190,190,190,0,0,0,0,0,0,0,0,0,"38412093","thyroid_gatci_2024"
"Appendiceal Cancer (MSK, J Clin Oncol 2022)","Michael B et al. J Clin Oncol 2022",273,273,273,0,22,0,0,0,0,0,0,0,"36493333","appendiceal_msk_2022"
"Atypical Small Cell Lung Cancer (MSK, 2024)","",31,31,31,7,11,0,0,0,0,0,0,19,NA,"asclc_msk_2024"
"BRAF Fusions - ARCHER Clinical Sequencing Cohort (MSKCC)","",107,0,0,0,95,0,0,0,0,0,0,0,NA,"braf_msk_archer_2024"
"BRAF Fusions - IMPACT Clinical Sequencing Cohort (MSKCC)","",105,105,105,0,104,0,0,0,0,0,0,0,NA,"braf_msk_impact_2024"
"Basal Cell Carcinoma (UNIGE, Nat Genet 2016)","Bonilla et al. Nat Genet 2016",293,293,0,0,0,0,0,0,0,0,0,0,"26950094","bcc_unige_2016"
"Bladder Cancer (Columbia University/MSK, Cell 2018)","Lee, Suk Hyung et al. Cell 2018",130,130,130,0,0,0,0,0,0,0,0,0,"29625057","bladder_columbia_msk_2018"
"Bladder Cancer (MSK, Cell Reports 2022)","Clinton et al. Cell Reports 2022",1659,1659,1659,0,357,0,0,0,0,0,0,0,"36543146","paired_bladder_2022"
"Bladder Cancer (MSK, Clin Cancer Res 2023)","Guercio et al. Clin Cancer Res. 2023",526,526,526,0,104,0,0,0,0,0,0,0,"37682528","bladder_msk_2023"
"Bladder Cancer (MSK, Eur Urol 2014)","Kim et al. Eur Urol 2015",109,109,109,0,0,0,0,0,0,0,0,0,"25092538","blca_mskcc_solit_2014"
"Bladder Cancer (MSK, J Clin Onco 2013)","Iyer et al. J Clin Oncol 2013",97,97,97,0,0,58,0,24,0,0,58,0,"23897969","blca_mskcc_solit_2012"
"Bladder Cancer (MSK, Nat Genet 2016)","Al-Ahmadie et al. Nat Genet 2016",34,34,33,0,1,0,0,0,0,0,0,0,"26901067","blca_plasmacytoid_mskcc_2016"
"Bladder Cancer (MSK/TCGA, 2020)","Pietzak et al. Eur Urol 2019",476,474,442,296,231,0,0,0,243,0,294,0,"30290956","blca_msk_tcga_2020"
"Bladder Cancer (TCGA, Cell 2017)","Robertson et al. Cell 2017",413,412,408,408,0,0,0,0,344,0,404,0,"28988769","blca_tcga_pub_2017"
"Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)","Guo et al. Nat Genet 2013",99,99,0,0,0,0,0,0,0,0,0,0,"24121792","blca_bgi"
"Bladder Urothelial Carcinoma (DFCI/MSK, Cancer Discov 2014)","Van Allen et al. Cancer Discov 2014",50,50,0,0,0,0,0,0,0,0,0,0,"25096233","blca_dfarber_mskcc_2014"
"Bladder Urothelial Carcinoma (TCGA, Firehose Legacy)","",413,130,408,408,0,0,0,0,344,0,126,0,NA,"blca_tcga"
"Bladder Urothelial Carcinoma (TCGA, GDC)","",413,408,392,0,0,0,0,0,0,0,0,0,NA,"blca_tcga_gdc"
"Bladder Urothelial Carcinoma (TCGA, Nature 2014)","TCGA, Nature 2014",131,130,128,129,9,0,0,0,120,0,125,0,"24476821","blca_tcga_pub"
"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",411,410,408,407,309,0,0,0,343,0,402,132,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","blca_tcga_pan_can_atlas_2018"
"Brain Lower Grade Glioma (TCGA, Firehose Legacy)","",530,286,513,530,0,27,0,0,435,0,283,0,NA,"lgg_tcga"
"Brain Lower Grade Glioma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",514,514,511,514,248,0,0,0,428,0,511,344,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","lgg_tcga_pan_can_atlas_2018"
"Brain Tumor PDXs (Mayo Clinic, Clin Cancer Res 2020)","Vaubel et al. Clin Cancer Res 2020",106,105,105,66,0,0,0,0,0,0,58,0,"31852831","gbm_mayo_pdx_sarkaria_2019"
"Breast Cancer (CPTAC, GDC)","",154,126,0,0,0,0,0,0,0,0,0,0,NA,"breast_cptac_gdc"
"Breast Cancer (HTAN, 2022)","",5,5,5,0,0,0,0,0,0,0,0,1,NA,"brca_hta9_htan_2022"
"Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)","Pereira et al. Nat Commun 2016, Rueda et al. Nature 2019, Curtis et al. Nature 2012",2509,2433,2173,0,0,1980,0,0,0,0,1866,0,"27161491,30867590,22522925","brca_metabric"
"Breast Cancer (MSK, Cancer Cell 2018)","Razavi et al. Cancer Cell 2018",1918,1918,1918,0,264,0,0,0,0,0,0,0,"30205045","breast_msk_2018"
"Breast Cancer (MSK, Clinical Cancer Res 2020)","Fresia et al. Clinical Cancer Res 2020",60,60,0,0,0,0,0,0,0,0,0,0,"32220886","brca_pareja_msk_2020"
"Breast Cancer (MSK, NPJ Breast Cancer 2019)","Nixon et al. NPJ Breast Cancer 2019",70,70,70,0,0,0,0,0,0,0,0,0,"31552290","brca_mskcc_2019"
"Breast Cancer (MSK, Nature Cancer 2020)","Razavi et al. Nature Cancer 2020",141,141,39,0,1,0,0,0,0,0,0,0,"32864625","breast_alpelisib_2020"
"Breast Cancer (SMC 2018)","Kan et al. Nature Communications 2018",187,186,0,0,0,0,0,0,0,0,0,0,"29713003","brca_smc_2018"
"Breast Cancer Xenografts (British Columbia, Nature 2015)","Eirew et al. Nature 2015",117,116,0,0,0,0,0,0,0,0,0,0,"25470049","brca_bccrc_xenograft_2014"
"Breast Fibroepithelial Tumors (Duke-NUS, Nat Genet 2015)","Tan et al. Nat Genet 2015",22,22,0,0,0,0,0,0,0,0,0,0,"26437033","bfn_duke_nus_2015"
"Breast Invasive Carcinoma (British Columbia, Nature 2012)","Shah et al. Nature",65,65,0,0,0,0,0,0,0,0,0,0,"22495314","brca_bccrc"
"Breast Invasive Carcinoma (Broad, Nature 2012)","Banerji et al. Nature 2012",103,103,0,0,0,0,0,0,0,0,0,0,"22722202","brca_broad"
"Breast Invasive Carcinoma (Sanger, Nature 2012)","Stephens et al. Nature 2012",100,100,0,0,0,0,0,0,0,0,0,0,"22722201","brca_sanger"
"Breast Invasive Carcinoma (TCGA, Cell 2015)","TCGA, Cell 2015",818,817,816,817,0,421,0,264,673,0,816,0,"26451490","brca_tcga_pub2015"
"Breast Invasive Carcinoma (TCGA, Firehose Legacy)","",1108,982,1080,1100,0,529,0,316,892,74,960,0,NA,"brca_tcga"
"Breast Invasive Carcinoma (TCGA, Nature 2012)","TCGA, Nature 2012",825,507,778,0,0,526,300,311,410,0,0,0,"23000897","brca_tcga_pub"
"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",1084,1066,1070,1082,852,0,0,0,876,105,994,790,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","brca_tcga_pan_can_atlas_2018"
"CNS/Brain Cancer (CPTAC, GDC)","",74,74,73,0,0,0,0,0,0,0,0,0,NA,"brain_cptac_gdc"
"Cancer Cell Line Encyclopedia (Broad, 2019)","Stransky et al. Nature. 2015, Nusinow et al. Cell. 2020",1739,1570,1030,1156,1016,0,0,0,0,375,921,0,"31068700,31978347","ccle_broad_2019"
"Cancer Cell Line Encyclopedia (Genetech, Nat biotech 2014)","Klijn, Christiaan et al. Nature biotechnology 2014",675,674,0,674,512,0,0,0,0,0,0,0,"25485619","ccle_genetech_2014"
"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)","Barretina et al. Nature 2012",1020,1020,995,0,0,967,0,0,0,0,877,0,"22460905","cellline_ccle_broad"
"Cancer Therapy and Clonal Hematopoiesis (MSK, Blood Adv 2023)","Stonestrom et al. Blood Adv 2024",42714,42714,0,0,0,0,0,0,0,0,0,0,"38147626","msk_ch_2023"
"Cancer Therapy and Clonal Hematopoiesis (MSK, Clin Cancer Res 2022)","Barbara et al. Clin Cancer Res 2022",657,657,0,0,0,0,0,0,0,0,0,0,"35078859","msk_ch_ped_2021"
"Cancer Therapy and Clonal Hematopoiesis (MSK, Nat Genet 2020)","Kelly et al. Nat Genet 2020",24146,7216,0,0,0,0,0,0,0,0,0,0,"33106634","msk_ch_2020"
"Cervical Cancer (MSK, Clin Cancer Res 2023)","Friedman et al. Clin Cancer Res 2023",177,177,177,0,25,0,0,0,0,0,0,0,"37643132","cervix_msk_2023"
"Cervical Squamous Cell Carcinoma (TCGA, GDC)","",309,289,301,0,0,0,0,0,0,0,0,0,NA,"cesc_tcga_gdc"
"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",297,291,293,294,169,0,0,0,166,0,275,168,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","cesc_tcga_pan_can_atlas_2018"
"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Firehose Legacy)","",310,194,295,306,0,0,0,0,173,0,190,0,NA,"cesc_tcga"
"China Pan-cancer (OrigiMed, Nature 2022)","Wu, Liqun et al. Nature 2022",10194,10194,10194,0,2372,0,0,0,0,0,0,0,"35871175","pan_origimed_2020"
"Cholangiocarcinoma (ICGC, Cancer Discov 2017)","Jusakul et al. Cancer Discov 2017",489,417,0,0,0,0,0,0,0,0,0,0,"28667006","chol_icgc_2017"
"Cholangiocarcinoma (MSK, Clin Cancer Res 2018)","Lowery et al. Clin Cancer Res 2018",195,195,195,0,32,0,0,0,0,0,0,0,"29848569","chol_msk_2018"
"Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)","Chan-on et al. Nat Genet 2013",15,15,0,0,0,0,0,0,0,0,0,0,"24185513","chol_nccs_2013"
"Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)","Ong et al. Nat Genet 2012",8,8,0,0,0,0,0,0,0,0,0,0,"22561520","chol_nus_2012"
"Cholangiocarcinoma (TCGA, Firehose Legacy)","",51,35,36,36,0,0,0,0,30,0,35,0,NA,"chol_tcga"
"Cholangiocarcinoma (TCGA, GDC)","",51,51,36,0,0,0,0,0,0,0,0,0,NA,"chol_tcga_gdc"
"Cholangiocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",36,36,36,36,27,0,0,0,30,0,36,10,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","chol_tcga_pan_can_atlas_2018"
"Chromophobe Renal Cell Carcinoma (TCGA, GDC)","",66,66,66,0,0,0,0,0,0,0,0,0,NA,"chrcc_tcga_gdc"
"Chronic Lymphocytic Leukemia (Broad, Cell 2013)","Landau et al. Cell 2013",160,160,0,0,0,0,0,0,0,0,0,0,"23415222","lcll_broad_2013"
"Chronic Lymphocytic Leukemia (Broad, Nature 2015)","Landau et al. Nature 2015",537,537,0,0,0,0,0,0,0,0,0,0,"26466571","cll_broad_2015"
"Chronic Lymphocytic Leukemia (Broad, Nature Genetics 2022)","Knisbacher et al. Nature 2022",1154,1075,0,715,160,0,0,0,0,0,0,718,"35927489","cll_broad_2022"
"Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)","Puente et al. Nature 2015",506,506,0,0,0,0,0,0,0,0,0,0,"26200345","cll_iuopa_2015"
"Chronic lymphocytic leukemia (ICGC, Nature Genetics 2011)","Quesada et al. Nature Genetics 2011",105,105,0,0,0,0,0,0,0,0,0,0,"22158541","cllsll_icgc_2011"
"Clear Cell Renal Cell Carcinoma (DFCI, Science 2019)","Miao et al. Science 2019",35,35,0,0,0,0,0,0,0,0,0,0,"29301960","ccrcc_dfci_2019"
"Colon Adenocarcinoma (CPTAC, GDC)","",109,104,0,0,0,0,0,0,0,0,0,0,NA,"coad_cptac_gdc"
"Colon Adenocarcinoma (CaseCCC, PNAS 2015)","Guda et al. PNAS 2015",29,29,0,0,0,0,0,0,0,0,0,0,"25583493","coad_caseccc_2015"
"Colon Adenocarcinoma (TCGA, GDC)","",463,429,456,0,0,0,0,0,0,0,0,0,NA,"coad_tcga_gdc"
"Colon Cancer (CPTAC-2 Prospective, Cell 2019)","Vasaikar et al. Cell 2019",110,106,105,106,0,0,105,0,0,97,0,0,"31031003","coad_cptac_2019"
"Colon Cancer (Sidra-LUMC AC-ICAM, Nat Med 2023)","Roelands et al, Nat Med 2023",348,281,281,0,0,0,0,0,0,0,0,0,"37202560","coad_silu_2022"
"Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)","Giannakis et al. Cell Reports 2016",619,619,0,0,0,0,0,0,0,0,0,0,"27149842","coadread_dfci_2016"
"Colorectal Adenocarcinoma (Genentech, Nature 2012)","Seshagiri et al. Nature 2012",74,72,0,0,0,0,0,0,0,0,0,0,"22895193","coadread_genentech"
"Colorectal Adenocarcinoma (MSK, Nat Commun 2022)","Walid K et al. Nat Commun. 2022",179,165,165,0,37,0,0,0,0,0,0,0,"36611031","bowel_colitis_msk_2022"
"Colorectal Adenocarcinoma (TCGA, Firehose Legacy)","",640,223,616,382,0,222,0,0,498,90,7,0,NA,"coadread_tcga"
"Colorectal Adenocarcinoma (TCGA, Nature 2012)","TCGA, Nature 2012",276,224,257,244,0,224,85,236,196,0,195,0,"22810696","coadread_tcga_pub"
"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",594,534,592,592,207,0,0,0,464,84,524,214,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","coadread_tcga_pan_can_atlas_2018"
"Colorectal Adenocarcinoma Triplets (MSK, Genome Biol 2014)","Brannon et al. Genome Biol 2014",138,138,0,0,0,0,0,0,0,0,0,0,"25164765","coadread_mskcc"
"Colorectal Cancer (CAS Shanghai, Cancer Cell 2020)","Li et al. Cancer Cell 2020",146,146,0,0,0,0,0,0,0,0,0,0,"32888432","coadread_cass_2020"
"Colorectal Cancer (MSK, Cancer Discovery 2022)","Yaeger et al. Cancer Discovery 2022",22,22,22,0,4,0,0,0,0,0,0,0,"36355783","coadread_mskresistance_2022"
"Colorectal Cancer (MSK, Gastroenterology 2020)","Mondaca et al. Gastroenterology 2020",471,471,471,0,55,0,0,0,0,0,0,0,"32730818","crc_apc_impact_2020"
"Colorectal Cancer (MSK, JCO Precis Oncol 2022)","Gularte-Merida et al. JCO Precis Oncol 2022",47,47,47,0,3,0,0,0,0,0,0,0,"35235413","crc_dd_2022"
"Colorectal Cancer (MSK, JNCI 2021)","Cercek et al. JNCI 2021",1516,1516,1516,0,175,0,0,0,0,0,0,0,"34405229","crc_eo_2020"
"Combined Hepatocellular and Intrahepatic Cholangiocarcinoma (Peking University, Cancer Cell 2019)","Xue et al. Cancer Cell 2019",173,173,0,0,83,0,0,0,0,0,0,0,"31130341","hccihch_pku_2019"
"Cutaneous Melanoma (TCGA, GDC)","",473,469,468,0,0,0,0,0,0,0,0,0,NA,"skcm_tcga_gdc"
"Cutaneous Squamous Cell Carcinoma (DFCI, Clin Cancer Res 2015)","Li et al. Clin Cancer Res 2015",29,29,0,0,0,0,0,0,0,0,0,0,"25589618","cscc_dfarber_2015"
"Cutaneous Squamous Cell Carcinoma (MD Anderson, Clin Cancer Res 2014)","Pickering et al. Clin Cancer Res 2014",39,39,0,0,0,0,0,0,0,0,0,0,"25303977","cscc_hgsc_bcm_2014"
"Cutaneous Squamous Cell Carcinoma (UCSF, NPJ Genom Med 2021)","Chang et al. NPJ Genom Med 2021",83,83,0,0,0,0,0,0,0,0,0,0,"34272401","cscc_ucsf_2021"
"Cutaneous Squamous Cell Carcinoma (UOW, Front Oncol 2022)","Thind, Amarinder Singh et al. Front Oncol 2022",25,25,0,0,0,0,0,0,0,0,0,0,"35982973","cscc_ranson_2022"
"Cutaneous T Cell Lymphoma (Columbia U, Nat Genet 2015)","Da Silva Almeida et al. Nat Genet 2015",43,43,0,0,0,0,0,0,0,0,0,0,"26551667","ctcl_columbia_2015"
"Cystic Tumor of the Pancreas (Johns Hopkins, PNAS 2011)","Wu et al. PNAS 2011",32,32,0,0,0,0,0,0,0,0,0,0,"22158988","pact_jhu_2011"
"Desmoplastic Melanoma (Broad Institute, Nat Genet 2015)","Shain et al. Nat Genet 2015",20,20,0,0,0,0,0,0,0,0,0,0,"26343386","desm_broad_2015"
"Diffuse Glioma (GLASS Consortium)","Varn et al. Cell 2022, Malta et al. Cancer Res. 2023",693,629,629,355,0,0,0,0,0,0,0,280,"35649412,38117484","difg_glass"
"Diffuse Glioma (GLASS Consortium, Nature 2019)","Barthel & Johnson et al. Nature 2019",444,444,0,79,0,0,0,0,0,0,0,0,"31748746","difg_glass_2019"
"Diffuse Glioma (TCGA, GDC)","",530,523,523,0,0,0,0,0,0,0,0,0,NA,"difg_tcga_gdc"
"Diffuse Large B cell Lymphoma (DFCI, Nat Med 2018)","Chapuy et al. Nat Med 2018",135,135,0,0,51,0,0,0,0,0,0,0,"29713087","dlbcl_dfci_2018"
"Diffuse Large B-Cell Lymphoma (Broad, PNAS 2012)","Lohr et al. PNAS 2012",58,58,0,0,0,0,0,0,0,0,0,0,"22343534","dlbc_broad_2012"
"Diffuse Large B-Cell Lymphoma (Duke, Cell 2017)","Reddy et al. Cell 2017",1001,1001,0,0,0,0,0,0,0,0,0,0,"28985567","dlbcl_duke_2017"
"Diffuse Large B-Cell Lymphoma (MSK, Haematologica 2024)","Zhu, Meng-Lei et al. Haematologica 2024",396,396,396,0,99,0,0,0,0,0,0,0,"38497151","mbn_msk_2024"
"Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",48,41,48,48,24,0,0,0,33,0,37,43,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","dlbc_tcga_pan_can_atlas_2018"
"Diffuse Large B-Cell Lymphoma, NOS (TCGA, GDC)","",48,47,48,0,0,0,0,0,0,0,0,0,NA,"dlbclnos_tcga_gdc"
"Diffuse Large B-cell Lymphoma (BCGSC, Blood 2013)","Morin et al. Blood 2013",53,53,0,0,29,0,0,0,0,0,0,0,"23699601","nhl_bcgsc_2013"
"Disparities in metastatic colorectal cancer between Africans and Americans (MSK, 2020)","Alatise et al. Nat Commun 2021",64,64,64,0,0,0,0,0,0,0,0,0,"34819518","crc_nigerian_2020"
"ERBB2-mutant Endometrial cancer (MSK,2024)","",69,69,69,0,8,0,0,0,0,0,0,0,NA,"ucs_msk_2024"
"Endometrial Cancer (MSK, 2018)","Soumerai et al. Clin Cancer Res. 2018",197,197,197,0,22,0,0,0,0,0,0,0,"30068706","ucec_msk_2018"
"Endometrial Cancer (MSK, Cancer Discovery 2023)","Weigelt et al. Cancer Discovery 2023",1882,1882,1812,0,0,0,0,0,0,0,0,0,"37651310","ucec_ancestry_cds_msk_2023"
"Endometrial Carcinoma (CPTAC, Cell 2020)","Yongchao Dou et al. 2020 Cell.",81,95,95,95,0,0,85,0,0,0,95,0,"32059776","ucec_cptac_2020"
"Endometrial Carcinoma (TCGA, GDC)","",548,512,537,0,0,0,0,0,0,0,0,0,NA,"ucec_tcga_gdc"
"Endometrial Carcinoma MSI (MSK, Clin Cancer Res 2022)","",181,181,0,0,0,0,0,0,0,0,0,0,"35849120","ucec_ccr_msk_2022"
"Endometrial Carcinoma cfDNA (MSK, Clin Cancer Res 2022)","Ashley et al. Clin Cancer Res 2023",44,44,0,0,0,0,0,0,0,0,0,0,"36007103","ucec_ccr_cfdna_msk_2022"
"Endometrial and Ovarian Cancer (MSK, Nature Medicine 2024)","Friedman, Claire F et al. Nature Medicine 2024",33,33,33,0,1,0,0,0,0,0,0,0,"38653864","ucec_msk_2024"
"Esophageal Adenocarcinoma (DFCI, Nat Genet 2013)","Dulak et al. Nat Genet 2013",151,151,0,0,0,0,0,0,0,0,0,0,"23525077","esca_broad"
"Esophageal Adenocarcinoma (TCGA, GDC)","",186,185,184,0,0,0,0,0,0,0,0,0,NA,"esca_tcga_gdc"
"Esophageal Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",182,182,182,181,123,0,0,0,125,0,181,57,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","esca_tcga_pan_can_atlas_2018"
"Esophageal Cancer-TRAP Project (MSK, Lancet Oncol 2020)","Janjigian et al. Lancet Oncol 2020",68,63,63,0,10,0,0,0,0,0,0,0,"32437664","egc_trap_msk_2020"
"Esophageal Carcinoma (TCGA, Firehose Legacy)","",186,185,184,185,0,0,0,0,126,0,183,0,NA,"esca_tcga"
"Esophageal Carcinoma (TCGA, Nature 2017)","TCGA, Nature 2017",559,518,288,0,0,0,0,0,0,0,0,0,"28052061","stes_tcga_pub"
"Esophageal Squamous Cell Carcinoma (ICGC, Nature 2014)","Song et al. Nature 2014",88,88,0,0,0,0,0,0,0,0,0,0,"24670651","escc_icgc"
"Esophageal Squamous Cell Carcinoma (UCLA, Nat Genet 2014)","Lin et al. Nat Genet 2014",139,139,0,0,0,0,0,0,0,0,0,0,"24686850","escc_ucla_2014"
"Esophageal/Stomach Cancer (MSK, 2020)","Sihag et al. Clin Cancer Res 2021",487,487,487,0,141,0,0,0,0,0,0,0,"33795256","egc_mskcc_2020"
"Esophagogastric Cancer (MSK, Clin Cancer Res 2022)","Smita et al. Clin Cancer Res 2022",237,237,237,0,80,0,0,0,0,0,0,0,"35377946","egc_msk_tp53_ccr_2022"
"Esophagogastric Cancer (MSK, Clin Cancer Res 2023)","Steven B et al. Clin Cancer Res 2023",64,64,64,0,0,0,0,0,0,0,0,0,"37406106","egc_trap_ccr_msk_2023"
"Esophagogastric Cancer (MSK, J Natl Cancer Inst 2023)","Melissa A et al. J Natl Cancer Inst 2023",902,902,902,0,220,0,0,0,0,0,0,0,"37699004","egc_msk_2023"
"Ewing Sarcoma (Institut Curie, Cancer Discov 2014)","Tirode et al. Cancer Discov 2014",115,112,0,0,0,0,0,0,0,0,0,0,"25223734","es_iocurie_2014"
"Ewing Sarcoma (MSK, 2023)","",290,290,290,0,289,0,0,0,0,0,0,0,NA,"es_dsrct_msk_2023"
"Gallbladder Cancer (MSK, 2022)","Nicolas A et al. Clin Cancer Res 2022",244,244,244,0,68,0,0,0,0,0,0,0,"36228155","gbc_mskcc_2022"
"Gallbladder Cancer (MSK, Cancer 2018)","Raja et al, Cancer 2018",103,103,103,0,8,0,0,0,0,0,0,0,"30427539","gbc_msk_2018"
"Gallbladder Carcinoma (Shanghai, Nat Genet 2014)","Maolan Li et al. Nat Genet 2014",32,32,0,0,0,0,0,0,0,0,0,0,"24997986","gbc_shanghai_2014"
"Gastric Adenocarcinoma (TMUCIH, PNAS 2015)","Chen et al. PNAS 2015",78,78,0,0,0,0,0,0,0,0,0,0,"25583476","egc_tmucih_2015"
"Gastric Cancer (OncoSG, 2018)","Guo et al. Nat Commun 2018",147,147,108,0,0,0,0,0,0,0,0,0,"29670109","stad_oncosg_2018"
