curated_field,curated_field_completeness,curated_field_unique_values,original_field,original_field_num,original_field_completeness,original_field_unique_values
location,0,21,COUNTRY;TUMOR_SAMPLE_PROCUREMENT_COUNTRY;BIRTH_COUNTRY;COUNTRY_OF_ORIGIN;PARTICIPANT_COUNTRY;COUNTRY_OF_PROCUREMENT,6,1;0;0;0;0;0,23;44;9;14;13;12
population_ancestry_detailed,31,45,RACE;ETHNICITY;PRD_HISPANIC;PRD_RACE;HISPANIC;RACE_CATEGORIZED;ETHNICITY_SELF_IDENTIFY;INFERRED_ETHNICITY;REPORTED_ETHNICITY;ANCESTRY_PRIMARY;RACE_CATEGORY,11,52;22;0;0;0;0;0;0;0;1;0,97;98;4;8;7;6;7;6;8;6;6
population_ancestry,71,25,RACE;ETHNICITY;PRD_HISPANIC;PRD_RACE;HISPANIC;RACE_CATEGORIZED;ETHNICITY_SELF_IDENTIFY;INFERRED_ETHNICITY;REPORTED_ETHNICITY;ANCESTRY_PRIMARY;RACE_CATEGORY,11,52;22;0;0;0;0;0;0;0;1;0,97;98;4;8;7;6;7;6;8;6;6
sex,90,3,SEX;TESTICULAR_INVOLVEMENT;DMETS_DX_OVARY;DMETS_DX_FEMALE_GENITAL;DMETS_DX_MALE_GENITAL;GENDER,6,91;1;14;14;14;0,10;4;3;3;3;3
vital_status,62,4,OS_STATUS;DFS_STATUS;VITAL_STATUS;DSS_STATUS;CLINICAL_STATUS_AT_COLLECTION_EVENT;SURVIVAL_STATUS;OS_STATUS_SORAFENIB;PFS_STATUS_SORAFENIB_TREATMENT;OS_STATUS_IO;PFS_STATUS_IO;OS_FROM_PD1I_STATUS;RFS_STATUS;LFS_STATUS;CRDB_SURVIVAL_STATUS;OS_STATUS_DMT;STATUS;LAST_STATUS;HER2_VITAL_STATUS;PLATINUM_OS_STATUS;OS_NEO_STATUS,20,59;11;11;6;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0,4;4;48;9;3;5;3;3;3;3;3;13;3;3;3;20;11;5;3;3
treatment_name,11.4,579,TYPE_OF_SURGERY;ADJUVANT_CHEMO;NEOADJUVANT_CHEMO;PHARM_TX_MITOTANE_INDICATOR;PHARM_TX_MITOTANE_FOR_MACRO_DISEASE;PHARM_TX_MITOTANE_ADJUVANT;ALTERNATE_THERAPY_OTHER;CUMULATIVE_TREATMENT_REGIMENS;CURRENT_REGIMEN;FIRSTLINE_CHEMO_GROUP;SURGERY;PRIMARY_SURGERY;NGS_PRIOR_THERAPY;CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED;CHEMO_DETAILS;PRIOR_INTRAVESICAL_CHEMOTHERAPY;SURGERY_PROCEDURE;TREATMENT;NONINVASIVE_BLADDER_CA_TX_TYPE;RADADJUVANTRX;CHEMOTHERAPY_AGENTS;PROTOCOL_AND_TREATMENT_ARM;FORMULATION;TIMING_OTHER_NOTES;TX_REG;SURGERY_AT_DX;DX_TYPE;X2YR_FULVESTRANT;X2YR_CAPECITABINE;X2YR_ANTIHER2;X2YR_AIS;X2YR_TAMOXIFEN;X2YR_ANTHRACYCLINE;X2YR_CDK46;BREAST_SURGERY;THERAPY;SURGICAL_PROCEDURE_FIRST;SURGERY_FOR_POSITIVE_MARGINS;SURGERY_FOR_POSITIVE_MARGINS_OTHER;FIRST_SURGICAL_PROCEDURE_OTHER;ENDOCRINE_THERAPY;ALPELISIB_DOSE;ALPELISIB_SCHEDULING;DRUG;PRIOR_TREATMENT;CHEMO_CONCURRENT_TYPE;BRACHYTHERAPY_TYPE;HYSTERECTOMY_TYPE;CHEMO_CONCURRENT_TYPE_OTHER;OTHER_HYSTERECTOMY_TYPE;BRACHYTHERAPY_TYPE_OTHER;SYSTEMIC_TREATMENT;DEFINITIVE_SURGICAL_PROCEDURE;FIRST_LINE_MET_TX;METASTASECTOMY;METASTASECTOMY_SITE;TMZ_CYCLES;TMZ_TREATMENT;RADIATION_OTHER;CHEMO_OTHER;HISTORY_IMMUNOSUPPRESIVE_DX;HISTORY_IMMUNOSUPPRESSIVE_TX_OTHER;DETAILS_FIRST_LINE_COMMENTS;SURGERY_TYPE;TREATMENT_TYPE;PROCEDURE_TYPE;NUMBER_OF_CYCLES_PLATINUM;NUMBER_OF_CYCLES_PEMBROLIZUMAB;NUMBER_OF_CYCLES_FLUORO-PYRIMIDINE;NUMBER_OF_CYCLES_TRASTUZUMAB;2L_TREATMENT;3L_TREATMENT;CHEMO_FIRST_LINE;PD1_INHIBITOR;PD1_INHIBITOR_DRUG;DOSE_OF_PEMBROLIZUMAB_PER_INJECTION (MG/KG);PD1_INHIBITOR_CONCURRENTLY_WITH_NOVO-TTF;PD1_INHIBITOR_WITH_CELECOXIB;DRUG_AND_DOSE_STEROID_DURING_PD1;PD1_INHIBITOR_CONCURRENTLY_WITH_BEV;PD1_INHIBITOR_CONCURRENTLY_WITH_TEMODAR;PD1_INHIBITOR_WITH_IMATINIB;PD1_INHIBITOR_CONCURRENTLY_WITH_DC_VAX;PD1_INHIBITOR_CONCURRENTLY_WITH_BCNU/CCNU;TREATMENT_DETAIL_BEFORE_PDX;CHEMO_REGIMEN_CATEGORY;SORAFENIB_TREATMENT;INTERFERON_ALPHA;AGENT;IMMUNOSUPPRESSION;PREVIOUS_TREATMENT;HEPATECTOMY;INDUCTION;TRANSPLANT_TYPE;PRETREATMENT_HISTORY;IO_DRUG;SECOND_LINE_TC_OR_SURGERY;FIRST_LINE_THERAPY;FIFTH_LINE;FOURTH_LINE;THIRD_LINE;IO_THERAPY;STEROIDS_GT_10MG_DAILY;RADIATION_TREATMENT_ADJUVANT;PRD_PROSTATECTOMY;PLATINUM_TX;FOLIC_ACID_TX;CISPLATIN_TX;TERT_PLATINUM_TX;TERT_CISPLATIN_TX;CARBOPLATIN_TX;TERT_CARBOLATIN_TX;OXALIPLATIN_TX;TERT_OXALIPLATIN_TX;ANTHRACYCLINE_TX;TERT_ANTHRACYCLINE_TX;TERT_TOPO_II_INH_TX;TOPO_II_TX;TERT_TOPO_I_INH_TX;TOPO_I_TX;FIRST_LINE_TREATMENT;TREATMENT_DETAILS;ANY_LINE_IODINE;NUM_LINES_IODINE;INITIAL_RX;SUBSEQUENT_RX;EPINEPHRINE;NOREPINEPHRINE;DOPAMINE;TREATMENT_PRIOR_TO_SURGERY_INDICATOR;ICI;TX_SORAFENIB;TX_APLIDIN;TX_BORTEZOMIB;TX_GSK690693;TX_JNJ26481585;TX_JNJ26854165;TX_MLN4924;TX_RAPAMYCIN;TX_KPT-330;TX_MK-2206;TX_MK-8242;TX_SCH 727965;TX_BAL101553;TX_CISPLATIN;TX_19D12;TX_ABT-263;TX_AZD-2171;TX_AZD-6244;TX_BMS-354825;TX_BMS-754807;TX_CGC(PG)-11047;TX_HGS-ETR1;TX_LENOLIDAMIDE;TX_PCI-32765;TX_RO4929097;TX_SGI-1776;TX_AZD8055;TX_BI6727 (VOLASERTIB);TX_BMN-673;TX_CX-5461 (POL1);TX_PF-03084014;TX_VS-4718;TX_ABT-199;TX_GS-9820;TX_17-DMAG;TX_SAR3419;TX_SU11248;TX_CBL0137;TX_MLN8237;TX_SB-715992;TX_NSC750854;TX_CPX351;TX_PR-104;TX_TOPOTECAN;TX_VINCRISTINE;TX_ERIBULIN;TX_TL32711;TX_LAPATINIB;TX_SAHA;TX_CYCLOPHOSPHAMIDE;TX_RG7112;TX_XL147;TX_SGN-CD19A;TX_AZD1480;TX_INK128-1110-028;TX_GSK923295A;TX_LY 2606368;TX_SVV-001;TX_ACTINOMYCIN D;TX_IMC-A12;TX_FENRETINIDE;TX_CABOZANTINIB (XL-148);TX_STF-118804;TX_E7438/EPZ6438;TX_MM-141;TX_STA9090 (GANETESPIB);TX_PIXANTRONE;TX_CYTARABINE;TX_TRISENOX(ATO);TX_ABRAXANE;TX_GENZ-644282;TX_TAK-701;TX_RUXOLITINIB;TX_CDX-011 (GLEMBATUMUMAB);TX_TB-403;TX_EC1456;CHEMOTHERAPY;ANDROGEN_DEPRIVATION_THERAPY;TREATMENT_PROSTATECTOMY;ADJUVANT_HORMONE_THERAPY;THERAPY_PRIOR_TO_DERIVATION;CRT_CHEMOAGENT;NEOADJ_CHEMOAGENT;ADJUVANT_CHEMO_REGIMEN;MEDICATION;IMMUNE_TREATMENT;NEOADJ_CHEMO,218,0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0,16;9;7;3;3;3;25;539;151;7;36;42;5;11;5;3;3;79;3;3;39;19;7;9;6;14;13;4;4;4;4;4;4;4;3;20;5;5;15;76;3;4;5;2;55;7;4;4;8;7;4;39;9;8;3;61;20;3;11;70;5;3;44;18;49;18;13;13;22;22;15;7;23;3;5;3;3;3;4;3;3;3;3;3;23;62;3;3;39;9;9;6;29;12;7;10;33;43;6;9;21;9;5;17;4;3;3;3;5;5;3;5;3;5;3;5;5;3;5;3;16;7;4;5;11;7;2;2;2;5;20;4;6;6;4;7;7;5;7;6;4;7;7;4;7;6;6;6;5;6;4;4;4;4;3;4;4;5;6;5;5;4;4;5;3;6;6;5;5;7;8;8;4;6;8;8;8;6;4;4;7;7;4;4;6;4;7;4;7;6;4;3;6;4;5;4;4;5;3;4;7;3;3;4;5;3;3;19;5;3;6;14;5;12;13;3;17;12
treatment_type,21.49,114,TYPE_OF_SURGERY;ADJUVANT_TX;RADIATION_THERAPY;ADJUVANT_CHEMO;NEOADJUVANT_CHEMO;PHARMACEUTICAL_TX_ADJUVANT;PHARM_TX_MITOTANE_INDICATOR;PHARM_TX_MITOTANE_FOR_MACRO_DISEASE;PHARM_TX_MITOTANE_ADJUVANT;RADIATION_TREATMENT_ADJUVANT;ALTERNATE_THERAPY;ALTERNATE_THERAPY_OTHER;CHEMOTHERAPY;TREATMENT_TYPE;CUMULATIVE_TREATMENT_TYPES;MOST_RECENT_TREATMENT_TYPE;TYPE_INDUCTION_TREATMENT;PRIORRADIATIONFOROTHERCANCER;CUMULATIVE_CHEMO;TYPE_INDUCTION_TX;PRIOR_MALIGNANCY_RADIATION_TX;PRD_SURGERY;PRD_OTHER_CANCER_RADIATION;PRD_RADIATION;PRD_RADIATION_SURGERY;FIRSTLINE_CHEMO_GROUP;IPCHEMO_FIRST_CRS;SURGERY;IMMUNOTHERAPY;SYSTEMIC_THERAPY;PRIMARY_SURGERY;FIRST_THERAPY;ADC_THERAPY;TARGETED_THERAPY;ADJUVANT_RADIATION_THERAPY;METASTATIC_RADIATION_THERAPY;CHEMOTHERAPY+IMMUNOTHERAPY;ADC+IMMUNOTHERAPY;SURGERY_ADVANCED_DISEASE;PRIMARY_RADIATION_THERAPY;CONCURRENT_CHEMOTHERAPY;CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED;CHEMO_DETAILS;PRIOR_INTRAVESICAL_CHEMOTHERAPY;SURGERY_PROCEDURE;YEAR_OF_SURGERY;STEROIDS;CYTOTOXIC_TREATMENT;SALICYLATES;RADADJUVANTRX;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;COMPLETED_TOTAL_RADIATION_DOSE;RADIATION;RADIATION_SITE;RADIATION_TYPE;CHEMOTHERAPY_AGENTS;CHEMOTHERAPY_TYPE;AGE_AT_CHEMOTHERAPY_START;AGE_AT_CHEMOTHERAPY_STOP;THERAPIES;SURGERY_AT_DX;DX_TYPE;ADJ_XRT;X2YR_TAXANE;X2YR_ALKYLATING_AGENT;X2YR_VEGF_INHIBITOR;HORMONE_THERAPY;BREAST_SURGERY;RADIO_THERAPY;TREATMENT_CHEMOTHERAPY;SURGICAL_PROCEDURE_FIRST;SURGERY_FOR_POSITIVE_MARGINS;SURGERY_FOR_POSITIVE_MARGINS_OTHER;FIRST_SURGICAL_PROCEDURE_OTHER;ENDOCRINE_THERAPY;PRIOR_TREATMENT;TARGETED_MOLECULAR_THERAPY;HISTORY_HORMONAL_CONTRACEPTIVES_USE;CHEMO_CONCURRENT_COURSE;CHEMO_CONCURRENT_FRACTIONS_TOTAL;CHEMO_CONCURRENT_TYPE;CHEMO_CONCURRENT_DOSE;RADIATION_THERAPY_XRT_TYPE;RT_TX_TOTAL_DOSE_TO_PELVIS;BRACHYTHERAPY_TYPE;BRACHYTHERAPY_TOTAL_DOSE_POINT_A;HYSTERECTOMY_TYPE;MARGINS_INVOLVED_HYSTERECTOMY;CHEMO_CONCURRENT_REASON_NOT_GIVEN;CHEMO_CONCURRENT_TYPE_OTHER;OTHER_HYSTERECTOMY_TYPE;RT_TX_REASON_NOT_COMPLETED;RT_TX_REASON_NOT_COMPLETED_OTHER;CHEMO_CONCURRENT_REASON_NOT_OTHER;RADIATION_THERAPY_DOSE_PARAAORTIC_NODES;RADIATION_TYPE_OTHER;BRACHYTHERAPY_TYPE_OTHER;DEFINITIVE_SURGICAL_PROCEDURE;HISTORY_NEOADJUVANT_TRTYN;PRIOR_ADJUVANT_CHEMO;METASTASECTOMY;METASTASECTOMY_SITE;RADIATION_OR_CHEMOTHERAPY;IMMUNOSUPPRESSION;SURGERY NUMBER;ALKYLATING_AGENT;RADIOTHERAPY;RADIOTHERAPY_FRACTIONS;RADIATION_DOSE;RADIATION_OTHER;CHEMO_OTHER;CHEMO_OTHER_CYCLES;SURGERY_INDICATION;HISTORY_IMMUNOSUPPRESIVE_DX;HISTORY_IMMUNOSUPPRESSIVE_TX_OTHER;R_CHOP_LIKE_CHEMO;RECEIVED_IO_AFTER_1ST_LINE;IO_REGIMEN_MONOTHERAPY_VS_COMBINATION;TREATMENT;SURGERY_TYPE;PROCEDURE_TYPE;CHEMO_FIRST_LINE;PATIENT_TO_UNDERGO_SURGERY;HISTORY_REFLUX_DISEASE_TREATMENT;TREATMENT_PRIOR_TO_SURGERY_INDICATOR;PD1_INHIBITOR;PD1_INHIBITOR_DRUG;DOSE_MG_DAY_STEROID_DURING_PD1;DRUG_AND_DOSE_STEROID_DURING_PD1;STREOIDS_DURING_PD1_INHIBITOR;DOSE_MG_DAY_STEROID_PD1_START;STEROIDS_WHEN_STARTED_PD1_INHIBITOR;NUMBER_OF_PD1_INHIBITOR_INJECTIONS;PD1_INHIBITOR_STARTED_FOR_PD;PD1_INHIBITOR_CONCURRENTLY_WITH_RE-IRRADIATION;DOSE_OF_RE-IRRADIATION;THERAPY;CHEMO_CYCLES;CHEMO_REGIMEN_CATEGORY;SALVAGE_CHEMO;RECEIVED_TARGETED_TX;SURGERY_DATE_RELATIVE_TO_DX_MONTHS;TUMOR_SURGERY_NUMBER;IMMUNE_TREATMENT;TARGET_THERAPY;PRIOR_SYSTEMIC_THERAPIES;KINASE_INHIBITOR;INITIAL_TREATMENT;PRIOR_TX_TO_IMPACT_SAMPLE;PREVIOUS_TREATMENT;SYSTEMIC_CHEMO;NEOADJ_CHEMO;HEPATECTOMY;TRANSPLANT_TYPE;HISTORY_NEOADJUVANT_MEDICATION;HISTORY_IONIZING_RT_TO_HEAD;HISTORY_NEOADJUVANT_STEROID_TX;ORAL_CONTRACEPTION;ABLATION_EMBOLIZATION_TX_ADJUVANT;PRIOR_TREATMENT_OF_CYTOTOXIC_CHEMOTHERAPY;POST_SAMPLE_CHEMOTHERAPY;POST_SAMPLE_XRT;POST_SAMPLE_TARGETED;PRE_SAMPLE_TARGETED;PRE_SAMPLE_CHEMOTHERAPY;PRE_SAMPLE_XRT;ADJUVANT_CHEMOTHERAPY;ADJUVANT_XRT;HAD_SURGERY;NEOADJUVANT_CHEMOTHERAPY;POST_SAMPLE_IMMUNOTHERAPY;PRE_SAMPLE_IMMUNOTHERAPY;NEOADJUVANT_TARGETED;NEOADJUVANT_XRT;ADJUVANT_TARGETED;NEOADJUVANT_IMMUNOTHERAPY;ADJUVANT_IMMUNOTHERAPY;TKI_TREATMENT;IO_DRUG;IO_LINE;SECOND_LINE_TC_OR_SURGERY;FOURTH_LINE;THIRD_LINE;IO_THERAPY;ALKYLATING_CHEMOTHERAPY;STEROIDS_GT_10MG_DAILY;PRIOR_MAPK_TX;POST_MAPK_TX;POAR_COMBINED_CTLA_PD1;PREVIOUS_MAPKI;DRUG_TYPE;PRD_CHEMOTHERAPY;PRD_HORMONE_THERAPY;PRD_OTHER_THERAPY;PRD_PROSTATECTOMY;CHEMO_TX;XRT_TX;TAXANE_TX;TARGETED_TX;NUCLEOSIDE_TX;ALKYLATING_TX;ANTIMETABOLITE_TX;CYTOTOXIC_TX;TERT_TARGETED_TX;TERT_ANTIMETABOLITE_TX;TERT_CYTOTOXIC_TX;TERT_ALKYLATING_TX;TERT_TAXANE_TX;IO_TX;TERT_IO_TX;MICROTUBULE_TX;OTHER_CYTOTOXIC_TX;TERT_OTHER_CYTOTOXIC_TX;TERT_MICROTUBULE_TX;RADIOTHERAPY_TX;GYN_DIAGNOSIS_CHEMO_INTENT_DESCRIPTION;PROCEDURE;ANY_LINE_CHEMO;NUM_LINES_CHEMO;ANY_LINE_HORMONE;NUM_LINES_HORMONE;ANY_LINE_NTRK;NUM_LINES_NTRK;ANY_LINE_TARGETED;NUM_LINES_TARGETED;ANY_LINE_IMMUNO;NUM_LINES_IMMUNO;SYSTEMIC_TREATMENT;INTRAVESICAL_TREATMENT;TX_BET_PRI_MET_SAMPLE_COLLECTION;SUBSEQUENT_RX;TREATMENT_CATEGORY;TREATED_WITH_ICI;ANDROGEN_DEPRIVATION_THERAPY;TREATMENT_HORMONE_THERAPY;TREATMENT_PALLIATIVE_RADIATION;TREATMENT_RADIATION;TREATMENT_PROSTATECTOMY;ADJUVANT_HORMONE_THERAPY;CRT_CHEMOAGENT;NEOADJUVANT_TREATMENT_DETAILS;RADIATION_DOSE_PELVIC_NODES_PRIMARY_TUMOR.;NEOADJ_CHEMOCYCLES;NEOADJ_CHEMOAGENT;ADJUVANT_CT;ADJUVANT_CHEMO_REGIMEN;TREATMENT_PRIOR_TO_RESECTION;HISTORY_NEOADJUVANT_TX_TYPE;IFN_TX_90_DAYS_PRIOR_TO_RESECTION;UV_RATE;POSTOPERATIVE_TX;SURGICAL_APPROACH_AT_DIAGNOSIS;HISTORY_MENOPAUSAL_HORMONE_THERAPY,254,0;0;5;0;0;2;0;0;0;3;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;7;6;6;6;6;6;7;6;6;7;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;12;9;9;7;4;3;3;3;17;21;25;19;49;74;12;6;3;3;5;3;4;4;3;5;7;3;36;2;4;42;11;2;2;3;4;2;2;4;3;4;11;5;3;3;18;4;4;5;3;48;50;14;5;5;5;39;4;41;39;5;14;13;5;4;4;4;3;3;3;6;5;5;15;76;3;55;4;4;5;12;7;18;5;16;4;81;4;6;6;8;7;5;3;2;4;3;4;9;7;3;3;61;3;9;6;3;3;17;21;11;70;32;6;5;3;3;4;3;79;18;18;23;4;4;5;3;5;11;4;3;6;3;21;3;3;14;20;13;62;3;3;230;8;17;5;6;3;28;7;9;3;12;6;12;3;3;3;4;3;8;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;10;8;33;9;21;9;140;5;3;3;4;3;7;3;3;3;4;3;3;3;3;3;3;3;3;5;5;5;5;5;3;4;3;3;5;5;3;3;4;4;6;4;5;4;6;4;6;3;4;39;6;5;7;13;3;5;2;3;3;3;6;5;5;19;15;12;3;13;10;5;3;312;4;3;3
treatment_dose,0.63,437,CUMULATIVE_TREATMENT_REGIMENS;COMPLETED_TOTAL_RADIATION_DOSE;COMPLETED_RADIATION_DOSE;FORMULATION;ALPELISIB_DOSE;TREATMENT_GROUP;CHEMO_CONCURRENT_FRACTIONS_TOTAL;CHEMO_CONCURRENT_DOSE;RT_TX_TOTAL_DOSE_TO_PELVIS;BRACHYTHERAPY_TOTAL_DOSE_POINT_A;RADIATION_THERAPY_DOSE_PARAAORTIC_NODES;RADIATION_DOSE;CHEMO_OTHER_CYCLES;DOSE_OF_PEMBROLIZUMAB_PER_INJECTION (MG/KG);DOSE_MG_DAY_STEROID_DURING_PD1;DOSE_MG_DAY_STEROID_PD1_START;DOSE_OF_RE-IRRADIATION;INDUCTION;AGENT;THIRD_LINE;STEROIDS_GT_10MG_DAILY;PRIOR_TREATMENT;INITIAL_RX;SUBSEQUENT_RX;RADIATION_DOSE_PELVIC_NODES_PRIMARY_TUMOR.;UV_RATE,26,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0,539;14;17;7;4;7;12;18;16;81;4;21;32;3;11;6;14;29;39;21;5;55;11;7;19;312
treatment_number,2.36,175,CUMULATIVE_TREATMENT_REGIMEN_COUNT;CUMULATIVE_TREATMENT_STAGE_COUNT;CUMULATIVE_TREATMENT_TYPE_COUNT;CHEMO_CONCURRENT_FRACTIONS_TOTAL;CHEMO_CONCURRENT_DOSE;SURGERY NUMBER;TMZ_CYCLES;RADIOTHERAPY_FRACTIONS;CHEMO_OTHER_CYCLES;NUMBER_OF_LINES_OF_TREATMENT_FOR_MET_DISEASE;NUMBER_OF_CYCLES_PLATINUM;NUMBER_OF_CYCLES_PEMBROLIZUMAB;NUMBER_OF_CYCLES_FLUORO-PYRIMIDINE;NUMBER_OF_CYCLES_TRASTUZUMAB;NUMBER_OF_PD1_INHIBITOR_INJECTIONS;DOSE_OF_RE-IRRADIATION;CHEMO_CYCLES;PRIOR_LINES_OF_THERAPY;LINES_OF_TX_PRIOR_IMPACT;SECOND_LINE_TC_OR_SURGERY;THIRD_LINE;FIFTH_LINE;CYCLES_ON_THERAPY;PRIOR_LINES;PRIOR_TREATMENT;CYCLES_COMPLETED;TREATMENT_DETAILS;LINES_OF_TX;NUM_LINES_CHEMO;NUM_LINES_HORMONE;NUM_LINES_NTRK;NUM_LINES_TARGETED;NUM_LINES;NUM_LINES_IMMUNO;NUM_LINES_IODINE;INITIAL_RX;SUBSEQUENT_RX;NEOADJ_CHEMOCYCLES;TOTAL_CYCLES_NUM_NEOADJUVANT_ADJUVANT;ADJUVANT_CYCLES_NUM;NEOADJ_CHEMO,41,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;10;8;12;18;6;20;17;32;10;13;13;22;22;21;14;13;10;9;33;21;6;44;8;55;15;7;8;6;5;6;6;11;4;5;11;7;15;13;14;12
treatment_start,0.22,351,YEAR_OF_SURGERY;TX_90DAYS_POST_RESECTION;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;AGE_AT_CHEMOTHERAPY_START;AGE_AT_CHEMOTHERAPY_STOP;DOSE_OF_RE-IRRADIATION;DRUG_LAST_ADMIN;DRUG_START,9,0;0;0;0;0;0;0;0;0,18;3;48;50;41;39;14;243;247
treatment_end,0.22,417,CRDB_TREATMENT_END_DAYS;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;AGE_AT_CHEMOTHERAPY_STOP;AGE_AT_CHEMOTHERAPY_START;TIMING_OTHER_NOTES;DOSE_OF_RE-IRRADIATION;DRUG_LAST_ADMIN;DRUG_START,9,0;0;0;0;0;0;0;0;0,86;48;50;39;41;9;14;243;247
treatment_frequency,0.05,4,TIMING_OTHER_NOTES;ALPELISIB_SCHEDULING;CHEMO_CONCURRENT_COURSE;DOSE_MG_DAY_STEROID_DURING_PD1;DOSE_MG_DAY_STEROID_PD1_START;STEROIDS_GT_10MG_DAILY;TREATMENT_SCHEDULE,7,0;0;0;0;0;0;0,9;5;5;11;6;5;3
treatment_duration,1.24,690,MOST_RECENT_TREATMENT_DURATION;DURATION_OF_INDUCTION_TREATMENT;ANY_THERAPY_2YRS;X2YR_FULVESTRANT;X2YR_CAPECITABINE;X2YR_ANTIHER2;X2YR_AIS;X2YR_TAMOXIFEN;X2YR_ANTHRACYCLINE;X2YR_CDK46;X2YR_TAXANE;X2YR_ALKYLATING_AGENT;X2YR_VEGF_INHIBITOR;MONTHS_ON_TREATMENT;WEEKS_ON_STUDY;CHEMO_OTHER_CYCLES;TOTAL_TIME_PERIOD_MONTHS;SURGERY_DATE_RELATIVE_TO_DX_MONTHS;DOT_MONTHS;ORAL_CONTRACEPTION;ADMINISTRATION_OF_DRUG_WEEKS;WEEKS_ON_TREATMENT;PRIOR_TREATMENT;DURATION_OF_THERAPY_WEEKS;DURATION_OF_THERAPY_DAYS,25,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0,152;71;5;4;4;4;4;4;4;4;4;4;4;71;33;32;220;230;19;4;3;68;55;27;80
