"col.name","col.class","uniqueness","requiredness","multiplevalues","allowedvalues","description","ontology"
"bodysite","character","non-unique","optional",FALSE,"skin epidermis|milk|nasal cavity|oral cavity|feces|vagina","Subject's bodysite the given sample was collected from","UBERON:0001003|UBERON:0001913|UBERON:0001707|UBERON:0000167|UBERON:0001988|UBERON:0000996"
"body_subsite","character","non-unique","optional",FALSE,"elbow|retroauricular region|vagina orifice|anterior naris|buccal mucosa|chest|hard palate|gingiva|left ear|lung|median vaginal canal|palatine tonsil|posterior fornix of vagina|rectum|right ear|saliva|sputum|subgingival dental plaque|supragingival dental plaque|throat|dorsum of tongue|dentition|colon|sigmoid colon|lumbar vertebra 2|lumbar vertebra 3|lumbar vertebra 4|left colon|right colon","Subject's body subsite the given sample was collected from. Should be more specific information than bodysite","UBERON:0001461|UBERON:8480047|UBERON:0012317|UBERON:2001427|UBERON:0006956|UBERON:0001443|UBERON:0003216|UBERON:0001828|UBERON:0035295|UBERON:0002048|UBERON:0013524|UBERON:0002373|UBERON:0016486|UBERON:0001052|UBERON:0035174|UBERON:0001836|UBERON:0007311|UBERON:0016484|UBERON:0016485|UBERON:0000341|UBERON:0009471|UBERON:0003672|UBERON:0001155|UBERON:0001159|UBERON:0004618|UBERON:0004619|UBERON:0004620|UBERON:0008971|UBERON:0008972"
"sex","character","non-unique","optional",FALSE,"Female|Male|NA","Biological sex of the subject","NCIT:C16576|NCIT:C20197"
"antibiotics_current_use","character","non-unique","optional",FALSE,"Yes|No|NA","Antibiotics current usage. `Yes` for currently using and `No` for not using",NA
"biomarker_name","character","non-unique","optional",FALSE,"Triglyceride Measurement|Glycosylated Hemoglobin (HbA1C) Measurement|Cholesterol Measurement|LDL Particles Measurement|High Density Lipoprotein Cholesterol Measurement|High Sensitivity C-Reactive Protein Measurement|Diastolic Blood Pressure|Systolic Blood Pressure|Creatinine Measurement|Albumin Measurement|human MHC class II protein complex with serotype|Direct Bilirubin Measurement|Glucose Measurement|High Sensitivity C-Reactive Protein (hsCRP) Measurement|Urea Nitrogen Measurement|Creatine Measurement|Aspartate Aminotransferase Measurement|Globulin Protein Measurement|Alanine Aminotransferase Measurement|Prothrombin Time|C-peptide Measurement|White blood cell count (procedure)|Red blood cell count (procedure)|Hemoglobinometry|fasting blood glucose measurement|Glucagon-like Peptide-1 Measurement|Scavenger Receptor Cysteine-Rich Type 1 Protein M130 (CD163) Measurement|Interleukin 1 Measurement|Fibroblast Growth Factor 19 Measurement|Measurement of glutamate decarboxylase 65 antibody (procedure)|Adiponectin Measurement|Leptin Measurement|International Normalized Ratio of Prothrombin Time (INR)|Estimated Glomerular Filtration Rate|fasting blood insulin measurement|HLA Complex|Erythrocyte Sedimentation Rate Measurement|Autoantibody titer measurement (procedure)","","NCIT:C64812|NCIT:C64849|NCIT:C105586|NCIT:C120636|NCIT:C105587|NCIT:C157114|NCIT:C25299|NCIT:C25298|NCIT:C64547|NCIT:C64431|MRO:0001676|NCIT:C64481|NCIT:C105585|NCIT:C125949|NCIT:C201455|NCIT:C64467|NCIT:C74738|NCIT:C64433|NCIT:C62656|NCIT:C74736|SNOMED:767002|SNOMED:14089001|OMIT:0007621|EFO:0004465|NCIT:C80183|NCIT:C154728|NCIT:C74805|NCIT:C154727|SNOMED:117907009|NCIT:C74839|NCIT:C74866|NCIT:C64805|NCIT:C110935|EFO:0004466|NCIT:C121977|NCIT:C74611|SNOMED:165848009"
"biomarker_value","numeric","non-unique","optional",FALSE,"^[1-9]\d*(\.\d+)?$","",NA
"biomarker_unit","character","non-unique","optional",FALSE,NA,"",NA
"Probing_pocket_depth","numeric","non-unique","optional",FALSE,"[0-9]+","Depth of periodontal pocket (observable entity)",""
"dietary_restriction","character","non-unique","optional",FALSE,"omnivore|vegan|vegetarian","Dietary regime (partial match to SNOMED:182922004 or SNOMED:162536008)",NA
"disease_stage","character","non-unique","optional",FALSE,"0|I|II|III|IV|III/IV","",NA
"feces_phenotype_metric","character","non-unique","optional",FALSE,"Bristol stool form score (observable entity)|Calprotectin Measurement|Harvey-Bradshaw Index Clinical Classification","Measurements collected from stool sample, including observation, chemical test, and diagnostic procedure","SNOMED:443172007|NCIT:C82005|NCIT:C191036"
"feces_phenotype_value","numeric","non-unique","optional",FALSE,"^[1-9]\d*(\.\d+)?$","Measured value for the metric specified under 'feces_phenotype_metric'",NA
"FMT_id","character","non-unique","optional",TRUE,NA,"The id assigned to the FMT (Fecal microbiota transplantation) participants in the study",NA
"FMT_role","character","non-unique","optional",FALSE,"Donor|Recipient (before procedure)|Recipient (after procedure)","The role of the FMT (Fecal microbiota transplantation) participants. For recipient's samples, timing information (i.e., before or after FMT) is included as well.",NA
"neonatal","character","non-unique","optional",FALSE,NA,NA,NA
"westernized","character","non-unique","optional",FALSE,"Yes|No","The typical Western (American) diet charactered by low in fruits and vegetables, and high in fat and sodium. Also, refers the diet consists of large portions, high calories, and excess sugar",NA
"obgyn_menopause","character","non-unique","optional",FALSE,"Premenopausal|Postmenopausal","An indicator as to whether the female subject is in menopause","NCIT:C15491|NCIT:C15421"
"obgyn_pregnancy","character","non-unique","optional",FALSE,"Pregnant|Not Pregnant","The pregnancy status of an individual.","NCIT:C124295|NCIT:C82475"
"obgyn_birth_control","character","non-unique","optional",FALSE,"Yes|No","Use of birth control pill (Oral Contraceptive)",NA
"RECIST","character","non-unique","optional",FALSE,"RECIST Complete Response|RECIST Partial Response|RECIST Progressive Disease|RECIST Stable Disease","Response Evaluation Criteria in Solid Tumors (RECIST, DICOM:112022): Standard parameters to be used when documenting response of solid tumors to treatment; a set of published rules that define when cancer patients improve (`respond`), stay the same (`stable`), or worsen (`progression`) during treatments. (from www.recist.com)","NCIT:C159715|NCIT:C159547|NCIT:C159716|NCIT:C159546"
"ORR","character","non-unique","optional",FALSE,"Yes|No|NA","Overal Response (ORR, NCIT:C96613): An assessment of the overall response of the disease to the therapy",NA
"PFS","character","non-unique","optional",FALSE,"Yes|No|NA","Progression Free Survival (PFS, EFO:0004920): Progression free survival is a measurement from a defined time point e.g. diagnosis and indicates that the disease did not progress i.e. tumours did not increase in size and new incidences did not occur. PFS is usually used in analyzing results of treatment for advanced disease.",NA
"PFS_timepoint_months","character","non-unique","optional",FALSE,NA,"A time point used to observe PFS. Unit is 'month'",NA
"smoker","character","non-unique","optional",FALSE,"smoker (finding)|Non-smoker (finding)|Ex-smoker (finding)","Tobacco smoking behavior","SNOMED:77176002|SNOMED:8392000|SNOMED:8517006"
"BMI","double","non-unique","optional",FALSE,"[0-9]+\.?[0-9]*","Body mass index (kg/m2).",NA
"lifestyle","character","non-unique","optional",FALSE,"Hunter-gatherer|Agriculturalist|Agropastoralist|Pastoralist|Fisher","to describe the lifestyle of non-westernized people",NA
"days_from_first_collection","integer","non-unique","optional",FALSE,"[0-9]+","Used for time series studies.",NA
"sequencing_platform","character","non-unique","required",FALSE,"IlluminaHiSeq|IlluminaMiSeq|IlluminaNextSeq|IlluminaNovaSeq|IonProton","This will be modified as new sequencing platforms are added to the database.",NA
"DNA_extraction_kit","character","non-unique","optional",FALSE,"Qiagen|Gnome|MoBio|MPBio|NorgenBiotek|Illuminakit|Maxwell_LEV|PSP_Spin_Stool|Tiangen|PowerSoil|Chemagen|other|PowerSoilPro|ZR_Fecal_DNA_MiniPrep|KAMA_Hyper_Prep|thermo_fisher|QIAamp","DNA extraction kit.",NA
"PMID","character","non-unique","optional",FALSE,"[0-9]{8}|NA","Identifier of the main publication in PubMed.",NA
"number_reads","integer","non-unique","required",FALSE,"[0-9]+","Number of final reads - calculated from raw data.",NA
"number_bases","double","non-unique","required",FALSE,"[0-9]+","Total number of bases sequenced in the sample - calculated from raw data.",NA
"minimum_read_length","integer","non-unique","required",FALSE,"[0-9]+|NA","Minimum read length - calculated from raw data.",NA
"median_read_length","integer","non-unique","required",FALSE,"[0-9]+|NA","Median read length - calculated from raw data.",NA
"NCBI_accession","character","unique","optional",TRUE,"[ES]R[SR][0-9]+","Semicolon-separated vector of NCBI accessions.",NA
"family","character","non-unique","optional",FALSE,".+","A number identifying the family subjects belong; not corrected for meta-analyses.",NA
"family_role","character","non-unique","optional",FALSE,"child|mother|father","Role in the family when multiple samples come from the same family but different persons.",NA
"zigosity","character","non-unique","optional",FALSE,"monozygotic|dizygotic","Zigosity.",NA
"subcohort","character","non-unique","optional",FALSE,"[0-9a-zA-Z]\S+","Identifier of a sub-set of the cohort. Can be everything.",NA
"curator","character","non-unique","required",TRUE,"Paolo_Manghi|Valentina_Giunchiglia|Pamela_Ferretti|Marisa_Metzger|Giacomo_DAmato|Jacob_Wirbel|Arianna_Bonetti|Anna_Pedrotti|Francesca_DeFilippis|Aitor_Blanco_Miguez|Arianna_Bonetti;Anna_Pedrotti|Francesco_Asnicar;Paolo_Manghi|Ilya_Likhotkin;Paolo_Manghi|Aitor_Blanco_Miguez;Paolo_Manghi|Giacomo_Damato;Paolo_Manghi|Anna_Pedrotti;Paolo_Manghi|Mireia_VallesColomer|Andrew_Malthez_Thomas|Andrea_Zen|Bryan_Merrill","Curator name.",NA
"uncurated_metadata","character","non-unique","optional",FALSE,".+","A row for whatever field has not be included here.",NA
