"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"FIRSTLINE_GROUP","First-Line Therapy;Group","NCIT:C45792;NCIT:C43359","NCIT;NCIT"
"FIRST_LINE","First-Line Therapy","NCIT:C45792","NCIT"
"FIRST_LINE_MET","First-Line Therapy","NCIT:C45792","NCIT"
"FOURTH_LINE","Fourth-Line Therapy","NCIT:C133522","NCIT"
"Frontline","Frontline Study","NCIT:C185306","NCIT"
"HISTORY","History","NCIT:C54625","NCIT"
"HISTORY_Current User","Current;User","NCIT:C25471;NCIT:C164662","NCIT;NCIT"
"HISTORY_Former User","Previous;User","NCIT:C25627;NCIT:C164662","NCIT;NCIT"
"HISTORY_MENOPAUSAL_Yes, I have taken menopausal hormone therapy in the past, but no longer do.","Formerly Used Menopausal Hormone Therapy","NCIT:C160250","NCIT"
"HISTORY_NEOADJUVANT","History;Neoadjuvant Therapy","NCIT:C54625;NCIT:C15665","NCIT;NCIT"
"HISTORY_TX","History of Medical Treatment Present","NCIT:C160179","NCIT"
"INDUCTION","Induction Therapy","NCIT:C158876","NCIT"
"INITIAL","Initial Usage","NCIT:C53612","NCIT"
"IRS-3 Arm","Protocol Treatment Arm","NCIT:C15538","NCIT"
"IRS3 Arm","Protocol Treatment Arm","NCIT:C15538","NCIT"
"In progress","Currently Receiving","NCIT:C159274","NCIT"
"Incyte trial","Clinical Trial","NCIT:C71104","NCIT"
"Induction","Induction Therapy","NCIT:C158876","NCIT"
"Intensification","Intensification Therapy","NCIT:C173105","NCIT"
"LINE_1","First-Line Therapy","NCIT:C45792","NCIT"
"LINE_2","Second-Line Therapy","NCIT:C54350","NCIT"
"LINE_3","Third-Line Therapy","NCIT:C94628","NCIT"
"LINE_4","Fourth-Line Therapy","NCIT:C133522","NCIT"
"LINE_5","Fifth-Line Therapy","NCIT:C133524","NCIT"
"LINE_6","Sixth-Line Therapy","NCIT:C133526","NCIT"
"LINE_7","Seventh-Line Therapy","NCIT:C133528","NCIT"
"Lowered doses","Dose Reduced","NCIT:C49505","NCIT"
"MAINTENANCE","Maintenance Therapy","NCIT:C15688","NCIT"
"METASTATIC","Metastatic","NCIT:C14174","NCIT"
"MOST_RECENT","Most Recent","NCIT:C25577","NCIT"
"Maintenance","Maintenance Therapy","NCIT:C15688","NCIT"
"Modified Treatment","Treatment changed (situation)","445528004","SNOMED"
"NAIVE","No Prior Therapy","NCIT:C118903","NCIT"
"NEOADJUVANT","Neoadjuvant Therapy","NCIT:C15665","NCIT"
"NOT_COMPLETED","Have Not Completed Treatment","NCIT:C127040","NCIT"
"OFF_TREATMENT","Off Treatment","NCIT:C25601","NCIT"
"ONGOING","Treatment Ongoing","NCIT:C165209","NCIT"
"ON_TREATMENT","On Treatment","NCIT:C142170","NCIT"
"Observational","Observational Study","NCIT:C16084","NCIT"
"Observational Arm","Observational Study","NCIT:C16084","NCIT"
"PALLIATIVE","Palliative","NCIT:C101516","NCIT"
"PD1_INHIBITOR_CONCURRENTLY","Concurrent;PD1 Inhibitor","NCIT:C25456;NCIT:C124946","NCIT;NCIT"
"POST","Post","NCIT:C38008","NCIT"
"POSTOPERATIVE","Postoperative","NCIT:C28006","NCIT"
"POST_RESECTION","Post;Resection","NCIT:C38008;NCIT:C158758","NCIT;NCIT"
"POST_SAMPLE","Post;Specimen","NCIT:C38008;NCIT:C19157","NCIT;NCIT"
"PRETREATED","Pretreatment","NCIT:C103339","NCIT"
"PRETREATMENT_HISTORY","Pretreatment","NCIT:C103339","NCIT"
"PREVIOUS","Previous","NCIT:C25627","NCIT"
"PRE_SAMPLE","Prior;Specimen","NCIT:C25629;NCIT:C19157","NCIT;NCIT"
"PRIMARY","Primary","NCIT:C25251","NCIT"
"PRIOR","Prior","NCIT:C25629","NCIT"
"PRIOR_ADJUVANT","Prior Therapy;Adjuvant","NCIT:C16124;NCIT:C2140","NCIT;NCIT"
"PRIOR_FOR_OTHER_CANCER","Prior","NCIT:C25629","NCIT"
"PRIOR_THERAPIES","Prior Therapy","NCIT:C16124","NCIT"
"PRIOR_TO_DERIVATION","Prior;Derivation","NCIT:C25629;NCIT:C41378","NCIT;NCIT"
"PRIOR_TO_RESECTION","Prior;Resection","NCIT:C25629;NCIT:C158758","NCIT;NCIT"
"PRIOR_TO_SURGERY","Prior;Surgery","NCIT:C25629;NCIT:C17173","NCIT;NCIT"
"PRIOR_TREATMENT_prior therapy","Prior Therapy","NCIT:C16124","NCIT"
"Post-treatment","Post-Therapy","NCIT:C54735","NCIT"
"Prior to Resection","Prior;Resection","NCIT:C25629;NCIT:C158758","NCIT;NCIT"
"Progression","Disease Progression","NCIT:C17747","NCIT"
"Prophylactic","Prophylactic","NCIT:C95560","NCIT"
"REPEAT","Repeat","NCIT:C47886","NCIT"
"Re-Induction","Reinduction Therapy","NCIT:C158877","NCIT"
"Re-induction","Reinduction Therapy","NCIT:C158877","NCIT"
"Resected_GROUP","Resected;Group","NCIT:C25654;NCIT:C43359","NCIT;NCIT"
"SALVAGE","Salvage Therapy","NCIT:C15359","NCIT"
"SECOND_LINE_OR_SURGERY","Second-Line Therapy","NCIT:C54350","NCIT"
"SOC","Best Practice","NCIT:C94396","NCIT"
"Salvage","Salvage Therapy","NCIT:C15359","NCIT"
"Standard of care","Best Practice","NCIT:C94396","NCIT"
"THIRD_LINE","Third-Line Therapy","NCIT:C94628","NCIT"
"TOTAL_ADJUVANT_NEOADJUVANT","Adjuvant;Neoadjuvant Therapy","NCIT:C2140;NCIT:C15665","NCIT;NCIT"
"TOTAL_COMPLETED","Total;Complete","NCIT:C25304;NCIT:C25250","NCIT;NCIT"
"TO_UNDERGO_Surgery already performed","Surgery;Performed","NCIT:C17173;NCIT:C38000","NCIT;NCIT"
"TO_UNDERGO_Yes","Future;Surgery","NCIT:C67527;NCIT:C17173","NCIT;NCIT"
"TREATED_AT_ENROLLMENT","Enrollment","NCIT:C37948","NCIT"
"TREATMENT_CHANGED_AT_12 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_18 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_24 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_3 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_42 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_6 Month Update","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_CHANGED_AT_Diagnosis","Treatment changed (situation)","445528004","SNOMED"
"TREATMENT_ONGOING","Treatment Ongoing","NCIT:C165209","NCIT"
"TUMOR_SURGERY","Tumor Mass;Surgery","NCIT:C98275;NCIT:C17173","NCIT;NCIT"
"Therapeutic","Therapeutic","NCIT:C25277","NCIT"
"Trial","Clinical Trial","NCIT:C71104","NCIT"
"Unresected_GROUP","Unresected;Group","NCIT:C94255;NCIT:C43359","NCIT;NCIT"
"WITH_PD1_INHIBITOR","Concurrent;PD1 Inhibitor","NCIT:C25456;NCIT:C124946","NCIT;NCIT"
"active surveillance","Surveillance","NCIT:C15719","NCIT"
"adjuvant","Adjuvant","NCIT:C2140","NCIT"
"alone","Single","NCIT:C48440","NCIT"
"curative","Curative Therapy","NCIT:C185614","NCIT"
"during radiotherapy","During;Radiation Therapy","NCIT:C25490;NCIT:C15313","NCIT;NCIT"
"first treatment","First-Line Therapy","NCIT:C45792","NCIT"
"induction","Induction Therapy","NCIT:C158876","NCIT"
"maintenance","Maintenance Therapy","NCIT:C15688","NCIT"
"neoadj","Neoadjuvant Therapy","NCIT:C15665","NCIT"
"neoadjuvant","Neoadjuvant Therapy","NCIT:C15665","NCIT"
"pallative","Palliative","NCIT:C101516","NCIT"
"palliative","Palliative","NCIT:C101516","NCIT"
"placebo","Placebo","NCIT:C753","NCIT"
"previous","Previous","NCIT:C25627","NCIT"
"prior","Prior","NCIT:C25629","NCIT"
"repeat","Repeat","NCIT:C47886","NCIT"
"salvage","Salvage Therapy","NCIT:C15359","NCIT"
"second treatment","Second-Line Therapy","NCIT:C54350","NCIT"
"surveillance","Surveillance","NCIT:C15719","NCIT"
"third treatment","Third-Line Therapy","NCIT:C94628","NCIT"
