"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"Bilateral Salpingectomy","Bilateral Salpingectomy","NCIT:C51667","NCIT"
"Bilateral Salpingo-Oophorectomy","Bilateral Salpingectomy with Oophorectomy","NCIT:C51765","NCIT"
"Bilateral breast reconstruction with tissue expanders.","Tissue Expander-Implant Breast Reconstruction;Bilateral","NCIT:C160627;NCIT:C13332","NCIT;NCIT"
"Bilateral skin sparing Mastectomy","Bilateral;Skin-Sparing Mastectomy","NCIT:C13332;NCIT:C107211","NCIT;NCIT"
"Bile Duct Resection","Bile Duct;Resection","NCIT:C12376;NCIT:C158758","NCIT;NCIT"
"Binimetinib (MEK162)","Binimetinib","NCIT:C84865","NCIT"
"Biochemo","Biochemotherapy","NCIT:C154330","NCIT"
"Biochemotherapy","Biochemotherapy","NCIT:C154330","NCIT"
"Biopsy","Biopsy","NCIT:C15189","NCIT"
"Bisulfan","Busulfan","NCIT:C321","NCIT"
"Bladder diverticulectomy","bladder diverticulectomy","MAXO:0001096","MAXO"
"Bleo","Bleomycin","NCIT:C313","NCIT"
"Bleomycin","Bleomycin","NCIT:C313","NCIT"
"Blood Draw","Blood Sample","NCIT:C17610","NCIT"
"Bone Marrow Transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"Bone marrow transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"Bortezomib","Bortezomib","NCIT:C1851","NCIT"
"Breast Conservation","Breast Conservation Treatment","NCIT:C15280","NCIT"
"Bu","Busulfan","NCIT:C321","NCIT"
"Buparlisib","Buparlisib","NCIT:C90565","NCIT"
"Busul","Busulfan","NCIT:C321","NCIT"
"Busulfan","Busulfan","NCIT:C321","NCIT"
"CABOZANTINIB (XL-148)","Cabozantinib","NCIT:C52200","NCIT"
"CAI (NABTT 97212)","Carboxyamidotriazole","NCIT:C1141","NCIT"
"CAPECITABINE","Capecitabine","NCIT:C1794","NCIT"
"CARBOPLATIN","Carboplatin","NCIT:C1282","NCIT"
"CBL0137","FACT Complex-targeting Curaxin CBL0137","NCIT:C107239","NCIT"
"CC115","DNA-PK/TOR Kinase Inhibitor CC-115","NCIT:C97040","NCIT"
"CCNU","Lomustine","NCIT:C617","NCIT"
"CD123","Immunotherapeutic Agent","NCIT:C308","NCIT"
"CD3","Anti-CD3 Monoclonal Antibody","NCIT:C112883","NCIT"
"CDK46","Cyclin-Dependent Kinase Inhibitor","NCIT:C2185","NCIT"
"CDX-011 (GLEMBATUMUMAB)","Glembatumumab","NCIT:C84520","NCIT"
"CELECOXIB","Celecoxib","NCIT:C1728","NCIT"
"CGC(PG)-11047","Polyamine Analogue PG11047","NCIT:C60816","NCIT"
"CHEMO","Chemotherapy","NCIT:C15632","NCIT"
"CHEMOTHERAPY","Chemotherapy","NCIT:C15632","NCIT"
"CI-980","Mivobulin Isethionate","NCIT:C1357","NCIT"
"CIS","Cisplatin","NCIT:C376","NCIT"
"CISPLATIN","Cisplatin","NCIT:C376","NCIT"
"CONTRACEPTION","Contraception","NCIT:C37932","NCIT"
"CORE","Core Biopsy","NCIT:C15680","NCIT"
"CPI-613","Devimistat","NCIT:C80039","NCIT"
"CPT-11","Irinotecan Hydrochloride","NCIT:C1381","NCIT"
"CPX-351","Liposome-encapsulated Daunorubicin-Cytarabine","NCIT:C67504","NCIT"
"CPX351","Liposome-encapsulated Daunorubicin-Cytarabine","NCIT:C67504","NCIT"
"CRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"CSF1R inhibitor","Immunosuppressant","NCIT:C574","NCIT"
"CT","Chemotherapy","NCIT:C15632","NCIT"
"CTL019","Tisagenlecleucel","NCIT:C102758","NCIT"
"CTLA-4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"CTLA4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"CTRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"CVT","Regadenoson","NCIT:C74420","NCIT"
"CX-01","Dociparstat sodium","NCIT:C99130","NCIT"
"CX-5461 (POL1)","Pidnarulex","NCIT:C126798","NCIT"
"CXCR4 inhibitor","CXCR4 Inhibitor","NCIT:C107589","NCIT"
"CY","Cyclophosphamide","NCIT:C405","NCIT"
"CYCLOPHOSPHAMIDE","Cyclophosphamide","NCIT:C405","NCIT"
"CYSTOPROSTATECTOMY","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"CYTARABINE","Cytarabine","NCIT:C408","NCIT"
"CYTOTOXIC","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"CYTOTOXIC_CHEMOTHERAPY","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"Cabazitaxel","Cabazitaxel","NCIT:C66937","NCIT"
"Cabivalizumab","Cabiralizumab","NCIT:C123831","NCIT"
"Cabo","Cabozantinib","NCIT:C52200","NCIT"
"Cabozantinib","Cabozantinib","NCIT:C52200","NCIT"
"Cape","Capecitabine","NCIT:C1794","NCIT"
"Capecitabine","Capecitabine","NCIT:C1794","NCIT"
"Capectitabine","Capecitabine","NCIT:C1794","NCIT"
"Carbo","Carboplatin","NCIT:C1282","NCIT"
"Carboplatin","Carboplatin","NCIT:C1282","NCIT"
"Carmustine","Carmustine","NCIT:C349","NCIT"
"Cart-T cell therapy","Chimeric Antigen Receptor T-Cell Therapy","NCIT:C126102","NCIT"
"Casodex","Bicalutamide","NCIT:C1599","NCIT"
"Casoxdex","Bicalutamide","NCIT:C1599","NCIT"
"Caudate segmentectomy","Caudate Lobe;Segmentectomy","NCIT:C33000;NCIT:C91061","NCIT;NCIT"
"Cediranib","Cediranib","NCIT:C80867","NCIT"
"Celgene CC-15","DNA-PK/TOR Kinase Inhibitor CC-115","NCIT:C97040","NCIT"
"Cellcept","Mycophenolate Mofetil","NCIT:C1468","NCIT"
"Cepecitabine","Capecitabine","NCIT:C1794","NCIT"
"Cetuximab","Cetuximab","NCIT:C1723","NCIT"
"Chemo","Chemotherapy","NCIT:C15632","NCIT"
"Chemoradiation","Chemoradiotherapy","NCIT:C94626","NCIT"
"Chemoradiation*","Chemoradiotherapy","NCIT:C94626","NCIT"
"Chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"Cilengitide","Cilengitide","NCIT:C1834","NCIT"
"Cis","Cisplatin","NCIT:C376","NCIT"
"Cisplatin","Cisplatin","NCIT:C376","NCIT"
"Cladribine","Cladribine","NCIT:C1336","NCIT"
"Clofarabine","Clofarabine","NCIT:C26638","NCIT"
"Cobemitinib","Cobimetinib","NCIT:C68923","NCIT"
"Cobimetinib","Cobimetinib","NCIT:C68923","NCIT"
"Combination","PD-1 Ligand Inhibitor;Anti-CTLA-4 Monoclonal Antibody","NCIT:C156893;NCIT:C128036","NCIT;NCIT"
"Conformal","Radiotherapy, Conformal","OMIT:0020176","OMIT"
"Conformal RT","Radiotherapy, Conformal","OMIT:0020176","OMIT"
"Core Biopsy of liver lesion","Core Biopsy;Liver Lesion","NCIT:C15680;NCIT:C159516","NCIT;NCIT"
"Craniotomy","Craniotomy","NCIT:C15214","NCIT"
"Crenolanib","Crenolanib","NCIT:C64639","NCIT"
"CsPt","Cisplatin","NCIT:C376","NCIT"
"Ctx","Cyclophosphamide","NCIT:C405","NCIT"
"Cy","Cyclophosphamide","NCIT:C405","NCIT"
"CyPh","Cyclophosphamide","NCIT:C405","NCIT"
"Cyclophoshamide","Cyclophosphamide","NCIT:C405","NCIT"
"Cyclophospha","Cyclophosphamide","NCIT:C405","NCIT"
"Cyclophosphamide","Cyclophosphamide","NCIT:C405","NCIT"
"Cystectomy","Cystectomy","NCIT:C15217","NCIT"
"Cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"Cystoprostatectomy (robotic)","Radical Cystoprostatectomy;Robot-Assisted Surgery","NCIT:C51899;NCIT:C140885","NCIT;NCIT"
"Cystoprotatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"Cytarabine","Cytarabine","NCIT:C408","NCIT"
"Cytarabine - liposomal","Liposomal Cytarabine","NCIT:C2388","NCIT"
"Cytosine","Cytosine","NCIT:C410","NCIT"
"Cytoxan","Cyclophosphamide","NCIT:C405","NCIT"
"Cyx","Cyclophosphamide","NCIT:C405","NCIT"
"DC vaccine","Dendritic Cell Vaccine","NCIT:C28310","NCIT"
"DC_VAX","Dendritic Cell Vaccine","NCIT:C28310","NCIT"
"DEFINITIVE_SURGICAL_PROCEDURE","Surgical Procedure","NCIT:C15329","NCIT"
"DLI","Donor Lymphocyte Infusion","NCIT:C16145","NCIT"
"DLL4/VEGF antibody OMP-305B83","Navicixizumab","NCIT:C119620","NCIT"
"DOPAMINE","Dopamine","NCIT:C62025","NCIT"
"DRUG","Pharmacologic Substance","NCIT:C1909","NCIT"
"DTIC","Dacarbazine","NCIT:C411","NCIT"
"DURVALUMAB","Durvalumab","NCIT:C103194","NCIT"
"Dabrafenib","Dabrafenib","NCIT:C82386","NCIT"
"Dacomitinib","Dacomitinib","NCIT:C53398","NCIT"
"Daratumumab","Daratumumab","NCIT:C74007","NCIT"
"Dasatinib","Dasatinib","NCIT:C38713","NCIT"
"Daunorubicin","Daunorubicin","NCIT:C62091","NCIT"
"Debio-1347","Zoligratinib","NCIT:C174762","NCIT"
"Debulking surgery","Tumor Debulking","NCIT:C15749","NCIT"
"Decitabine","Decitabine","NCIT:C981","NCIT"
"Decitbne","Decitabine","NCIT:C981","NCIT"
"Decortin H","Prednisolone","NCIT:C769","NCIT"
"Dexamethasone","Dexamethasone","NCIT:C422","NCIT"
"Dissection","Dissection","NCIT:C15227","NCIT"
"Distal pancreatectomy","Distal Pancreatectomy","NCIT:C51647","NCIT"
"Docetaxel","Docetaxel","NCIT:C1526","NCIT"
"Donor Lymphocyte Infusion","Donor Lymphocyte Infusion","NCIT:C16145","NCIT"
"Double Umbilical Cord Blood Transplant (DUCBT)","Double-Unit Umbilical Cord Blood Transplantation","NCIT:C116470","NCIT"
"Doxorubicin","Doxorubicin","NCIT:C456","NCIT"
"Doxorubicin Hydrochloride","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"Durvalumab","Durvalumab","NCIT:C103194","NCIT"
"Durvalumab (GIC026)","Durvalumab","NCIT:C103194","NCIT"
"Dutasteride","Dutasteride","NCIT:C47503","NCIT"
"E7070","Indisulam","NCIT:C25797","NCIT"
"E7438/EPZ6438","Tazemetostat","NCIT:C107506","NCIT"
"EBRT","External Beam Radiation Therapy","NCIT:C15751","NCIT"
"EC1456","Folate Receptor-Targeted Tubulysin Conjugate EC1456","NCIT:C113176","NCIT"
"EGFR inhibitor","Anti-EGFR Monoclonal Antibody","NCIT:C133878","NCIT"
"ENDOCRINE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"EPINEPHRINE","Epinephrine","NCIT:C2292","NCIT"
"ERIBULIN","Eribulin","NCIT:C96748","NCIT"
"ESD","Endoscopic Submucosal Dissection","NCIT:C157837","NCIT"
"EXCISION","Excision","NCIT:C15232","NCIT"
"EXCISION WITH NEEDLE WIRE LOCALIZATION","Excision;Wire-Guided Localization","NCIT:C15232;NCIT:C91832","NCIT;NCIT"
"Enasidenib","Enasidenib","NCIT:C111573","NCIT"
"Endocrinotherapy","Hormone Therapy","NCIT:C15445","NCIT"
"Endoxan","Cyclophosphamide","NCIT:C405","NCIT"
"Entospletinib","Entospletinib","NCIT:C105402","NCIT"
"Enucleation","Enucleation","NCIT:C48601","NCIT"
"Enzalutamide","Enzalutamide","NCIT:C71744","NCIT"
"Epirubicin","Epirubicin","NCIT:C62028","NCIT"
"Eribulin","Eribulin","NCIT:C96748","NCIT"
"Esophagectomy","Esophagectomy","NCIT:C15357","NCIT"
"Esophagectomy (outside)","Esophagectomy;External","NCIT:C15357;NCIT:C44280","NCIT;NCIT"
"Estramustine","Estramustine","NCIT:C479","NCIT"
"Et","Etoposide","NCIT:C491","NCIT"
"Etoposide","Etoposide","NCIT:C491","NCIT"
"Etopside","Etoposide","NCIT:C491","NCIT"
"Everolimus","Everolimus","NCIT:C48387","NCIT"
"Excision","Excision","NCIT:C15232","NCIT"
"Excisional biopsy","Excisional Biopsy","NCIT:C15385","NCIT"
"Excisional biospy","Excisional Biopsy","NCIT:C15385","NCIT"
"Exemestane","Exemestane","NCIT:C1097","NCIT"
"Exploration","Exploratory Surgery","NCIT:C66747","NCIT"
"Exploration (outside)","Exploratory Surgery;External","NCIT:C66747;NCIT:C44280","NCIT;NCIT"
"Exploratory laparotomy","Exploratory Surgery;Laparotomy","NCIT:C66747;NCIT:C15266","NCIT;NCIT"
"Extended Lobectomy","Extend;Lobectomy","NCIT:C25270;NCIT:C15272","NCIT;NCIT"
"External Beam","External Beam Radiation Therapy","NCIT:C15751","NCIT"
"External Beam, 3D Conformal","External Beam Radiation Therapy;3-Dimensional Conformal Radiation Therapy","NCIT:C15751;NCIT:C16035","NCIT;NCIT"
"FENRETINIDE","Fenretinide","NCIT:C1098","NCIT"
"FLUORO-PYRIMIDINE","Fluoropyrimidine","NCIT:C94728","NCIT"
"FLX925","FLT3/CDK4/6 Inhibitor FLX925","NCIT:C120209","NCIT"
"FNA","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"FOLIC_ACID","Folic Acid","NCIT:C510","NCIT"
"FSRT","Fractionated Stereotactic Radiation Therapy","NCIT:C156862","NCIT"
"FU","Fluorouracil","NCIT:C505","NCIT"
"FUDR","Floxuridine","NCIT:C504","NCIT"
"FULVESTRANT","Fulvestrant","NCIT:C1379","NCIT"
"Farnesyltransferase inhibitor","Farnesyl Transferase Inhibitor","NCIT:C2020","NCIT"
"Filgrastim","Filgrastim","NCIT:C1474","NCIT"
"Fine Needle aspiration biopsy","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"Fine needle aspiration biopsy","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"Flu","Fludarabine","NCIT:C1094","NCIT"
"Fludarabine","Fludarabine","NCIT:C1094","NCIT"
"Fluorouracil","Fluorouracil","NCIT:C505","NCIT"
"Fluorouracil (5-FU)","Fluorouracil","NCIT:C505","NCIT"
"Fluropyrimidine","Fluoropyrimidine","NCIT:C94728","NCIT"
"Fotemustine","Fotemustine","NCIT:C1106","NCIT"
"G-CSF","Granulocyte Colony-Stimulating Factor","NCIT:C26078","NCIT"
"G3139","Oblimersen Sodium","NCIT:C66722","NCIT"
"GCSF","Granulocyte Colony-Stimulating Factor","NCIT:C26078","NCIT"
"GDC0032","Taselisib","NCIT:C116876","NCIT"
"GEM","Gemcitabine","NCIT:C66876","NCIT"
"GENZ-644282","Topoisomerase I Inhibitor Genz-644282","NCIT:C84851","NCIT"
"GK","Gamma Knife","NCIT:C15382","NCIT"
"GS-9820","Acalisib","NCIT:C103277","NCIT"
"GSK690693","Pan-AKT Kinase Inhibitor GSK690693","NCIT:C71711","NCIT"
"GSK923295A","CENP-E Inhibitor GSK-923295A","NCIT:C91080","NCIT"
"Galunisertib","Galunisertib","NCIT:C116891","NCIT"
"Gamma knife","Gamma Knife","NCIT:C15382","NCIT"
"Gastrectomy","Gastrectomy","NCIT:C15236","NCIT"
"Gefitinib","Gefitinib","NCIT:C1855","NCIT"
"Gem","Gemcitabine","NCIT:C66876","NCIT"
"Gemcitabin","Gemcitabine","NCIT:C66876","NCIT"
"Gemcitabine","Gemcitabine","NCIT:C66876","NCIT"
"Gemtuzumab","Gemtuzumab","NCIT:C171025","NCIT"
"Gemtuzumab Ozogamicin","Gemtuzumab Ozogamicin","NCIT:C1806","NCIT"
"Gemtuzumab ozogamicin","Gemtuzumab Ozogamicin","NCIT:C1806","NCIT"
"Genasense","Oblimersen Sodium","NCIT:C66722","NCIT"
"Gengraft (anti-GVHD)","Cyclosporine","NCIT:C406","NCIT"
"Gilteritinib","Gilteritinib","NCIT:C116722","NCIT"
"Gilteritinib (ASP2215)","Gilteritinib","NCIT:C116722","NCIT"
"Gleevac","Imatinib Regimen","NCIT:C160054","NCIT"
"H2 Blockers","Histamine-2 Receptor Antagonist","NCIT:C29702","NCIT"
"HAI","Intrahepatic Infusion Procedure","NCIT:C15731","NCIT"
"HDAC inhibitor","Histone Deacetylase Inhibitor","NCIT:C1946","NCIT"
"HDR","High-Dose Rate Brachytherapy","NCIT:C15651","NCIT"
"HEPATECTOMY","Hepatectomy","NCIT:C15249","NCIT"
"HER2","HER2 Inhibitor","NCIT:C159156","NCIT"
"HGS-ETR1","Mapatumumab","NCIT:C61502","NCIT"
"HORM","Hormone Therapy","NCIT:C15445","NCIT"
"HORMONAL_CONTRACEPTIVES","Hormonal Contraception","NCIT:C92808","NCIT"
"HORMONE","Hormone Therapy","NCIT:C15445","NCIT"
"HORMONE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"HSPPC-96 vaccine","Vitespen","NCIT:C2432","NCIT"
"HU","Hydroxyurea","NCIT:C560","NCIT"
"HYSTERECTOMY","Hysterectomy","NCIT:C15256","NCIT"
"Haplo","Haploidentical Hematopoietic Cell Transplantation","NCIT:C138187","NCIT"
"Herceptin","Trastuzumab","NCIT:C1647","NCIT"
"Hydrea","Hydroxyurea","NCIT:C560","NCIT"
"Hydroxyurea","Hydroxyurea","NCIT:C560","NCIT"
"Hysterectomy","Hysterectomy","NCIT:C15256","NCIT"
"ICI","Immune Checkpoint Inhibitor","NCIT:C143250","NCIT"
"IDAC","Cytarabine","NCIT:C408","NCIT"
"IDO-1","IDO Inhibitor","NCIT:C141137","NCIT"
"IDO1 inhibitor","IDO Inhibitor","NCIT:C141137","NCIT"
"IDO1 inhibitor (BMS986205)","Linrodostat","NCIT:C141135","NCIT"
"IFN","Interferon Therapy","NCIT:C15469","NCIT"
"IFR","Involved-Field Radiation Therapy","NCIT:C113812","NCIT"
"IGN523","Anti-CD98 Monoclonal Antibody IGN523","NCIT:C113659","NCIT"
"IGRT","Image Guided Radiation Therapy","NCIT:C62727","NCIT"
"IL-2","Aldesleukin","NCIT:C1498","NCIT"
"IMATINIB","Imatinib","NCIT:C62035","NCIT"
"IMC-A12","Cixutumumab","NCIT:C79828","NCIT"
"IMGN779 (Immunogen Trial)","Anti-CD33 Antibody-drug Conjugate IMGN779","NCIT:C125717","NCIT"
"IMMUNE","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNE_TREATMENT","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNO","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNOSUPPRESSION","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"IMMUNOSUPPRESSIVE","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"IMMUNOTHERAPY","Immunotherapy","NCIT:C15262","NCIT"
"IMRT","Intensity-Modulated Radiation Therapy","NCIT:C16135","NCIT"
"INK128-1110-028","Sapanisertib","NCIT:C90548","NCIT"
"INTERFERON_ALPHA","Interferon Alpha","NCIT:C20494","NCIT"
"INTRAVESICAL","Intravesical Route of Administration","NCIT:C38278","NCIT"
"INTRAVESICAL_CHEMOTHERAPY","Intravesical Route of Administration;Chemotherapy","NCIT:C38278;NCIT:C15632","NCIT;NCIT"
"IO","Immunotherapy","NCIT:C15262","NCIT"
"IODINE","Iodine","NCIT:C594","NCIT"
"IONIZING_RADIATION","Ionizing Radiation","NCIT:C17052","NCIT"
"IO_Combination","Multiple Agent Therapy;Immunotherapy","NCIT:C157515;NCIT:C15262","NCIT;NCIT"
