"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"62","INTRAVESICAL_CHEMOTHERAPY","Intravesical Route of Administration;Chemotherapy","NCIT:C38278;NCIT:C15632","NCIT;NCIT"
"63","IO","Immunotherapy","NCIT:C15262","NCIT"
"64","IONIZING_RADIATION","Ionizing Radiation","NCIT:C17052","NCIT"
"65","IO_Combination","Multiple Agent Therapy;Immunotherapy","NCIT:C157515;NCIT:C15262","NCIT;NCIT"
"66","IO_Monotherapy","Single Agent Therapy;Immunotherapy","NCIT:C157514;NCIT:C15262","NCIT;NCIT"
"67","IO_THERAPY","Immunotherapy","NCIT:C15262","NCIT"
"68","IPCHEMO","Intraperitoneal Chemotherapy","NCIT:C15581","NCIT"
"69","IRRADIATION","Radiation Therapy","NCIT:C15313","NCIT"
"70","Immunotherapy","Immunotherapy","NCIT:C15262","NCIT"
"71","Incomplete Resection","Incomplete Resection (10-90%)","NCIT:C182305","NCIT"
"72","Interferon","Interferon Therapy","NCIT:C15469","NCIT"
"73","Interferon therapy","Interferon Therapy","NCIT:C15469","NCIT"
"74","Intrathecal","Intrathecal Route of Administration","NCIT:C38267","NCIT"
"75","KINASE_INHIBITOR","Protein Kinase Inhibitor","NCIT:C1404","NCIT"
"76","Kinase Inhibitor(s)","Kinase Inhibitor UCT-03-008","NCIT:C185428","NCIT"
"77","LAG-3","Anti-LAG-3 Monoclonal Antibody","NCIT:C134305","NCIT"
"78","LH-RH Analogon","Gonadotropin-releasing Hormone Analog","NCIT:C1910","NCIT"
"79","LUMPECTOMY","Lumpectomy","NCIT:C15755","NCIT"
"80","MAPKI","Mitogen-Activated Protein Kinase Inhibitor","NCIT:C2149","NCIT"
"81","MAPK_TX","Mitogen-Activated Protein Kinase Inhibitor","NCIT:C2149","NCIT"
"82","MASTECTOMY","Mastectomy","NCIT:C15277","NCIT"
"83","MEDICATION","Medication","NCIT:C459","NCIT"
"84","METASTASECTOMY","Metastasectomy","NCIT:C94461","NCIT"
"85","MICROTUBULE","Antimitotic Agent","NCIT:C273","NCIT"
"86","Medically Treated","Therapeutic Procedure","NCIT:C49236","NCIT"
"87","Mohs surgery","Mohs Surgery","NCIT:C28208","NCIT"
"88","Monoclonal Antibodies","Monoclonal Antibody","NCIT:C20401","NCIT"
"89","Monotherapy","PD-1 Ligand Inhibitor","NCIT:C156893","NCIT"
"90","NKG2A","Immunotherapeutic Agent","NCIT:C308","NCIT"
"91","NO_CHEMO","Chemotherapy Not Received","NCIT:C160337","NCIT"
"92","NTRK","TRK Inhibitor","NCIT:C155765","NCIT"
"93","NUCLEOSIDE","Nucleoside analog (substance)","714629005","SNOMED"
"94","Neck Dissection","Neck Dissection","NCIT:C15643","NCIT"
"95","Nonstandard Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"96","OTHER THERAPY","Other Therapy","NCIT:C15645","NCIT"
"97","OTHER_THERAPY","Other Therapy","NCIT:C15645","NCIT"
"98","OX40","Anti-OX40 Monoclonal Antibody","NCIT:C96040","NCIT"
"99","Other","Other","NCIT:C17649","NCIT"
"100","Other Therapy","Other Therapy","NCIT:C15645","NCIT"
"101","Other_Treatments","Other Therapy","NCIT:C15645","NCIT"
"102","PD-1","PD1 Inhibitor","NCIT:C124946","NCIT"
"103","PD-1/PDL-1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"104","PD-1/PDL-1_CTLA4_COMBO","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318;Anti-CTLA-4 Monoclonal Antibody","NCIT:C171938;NCIT:C128036","NCIT;NCIT"
"105","PD-L1","PD-1 Ligand Inhibitor","NCIT:C156893","NCIT"
"106","PD1","PD1 Inhibitor","NCIT:C124946","NCIT"
"107","PD1_INHIBITOR","PD1 Inhibitor","NCIT:C124946","NCIT"
"108","PD1_Yes","PD1 Inhibitor","NCIT:C124946","NCIT"
"109","PHARM","Pharmacotherapy","NCIT:C15986","NCIT"
"110","PHARMACEUTICAL","Pharmacotherapy","NCIT:C15986","NCIT"
"111","PROCEDURE","Physical Medical Procedure","NCIT:C98769","NCIT"
"112","PROSTATECTOMY","Prostatectomy","NCIT:C15307","NCIT"
"113","Pharmaceutical","Pharmacotherapy","NCIT:C15986","NCIT"
"114","Proton Pump Inhibitors","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"115","RAD","Radiation Therapy","NCIT:C15313","NCIT"
"116","RADIATION","Radiation Therapy","NCIT:C15313","NCIT"
"117","RADIATION (NOS)","Radiation Therapy","NCIT:C15313","NCIT"
"118","RADIATION_NA|Yes","Radiation Therapy","NCIT:C15313","NCIT"
"119","RADIATION_Yes","Radiation Therapy","NCIT:C15313","NCIT"
"120","RADIOTHERAPY","Radiation Therapy","NCIT:C15313","NCIT"
"121","RADIO_THERAPY","Radiation Therapy","NCIT:C15313","NCIT"
"122","RT","Radiation Therapy","NCIT:C15313","NCIT"
"123","Rad","Radiation Therapy","NCIT:C15313","NCIT"
"124","Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"125","Radiation (NOS)","Radiation Therapy","NCIT:C15313","NCIT"
"126","Radiation Therapy","Radiation Therapy","NCIT:C15313","NCIT"
"127","Radiation outside","Radiation Therapy;External","NCIT:C15313;NCIT:C44280","NCIT;NCIT"
"128","Radiation_Therapy","Radiation Therapy","NCIT:C15313","NCIT"
"129","Radiotherapy","Radiation Therapy","NCIT:C15313","NCIT"
"130","Resection","Resection","NCIT:C158758","NCIT"
"131","SALICYLATES_Yes","Salicylates","OMIT:0013364","OMIT"
"132","SKIN LESION BIOPSY","Skin Biopsy","NCIT:C51692","NCIT"
"133","STEROID","Steroid Therapy","NCIT:C15370","NCIT"
"134","STEROIDS","Steroid Therapy","NCIT:C15370","NCIT"
"135","SURGERY","Surgical Procedure","NCIT:C15329","NCIT"
"136","SURGICAL_PROCEDURE","Surgical Procedure","NCIT:C15329","NCIT"
"137","SYSTEMIC","Systemic Therapy","NCIT:C15698","NCIT"
"138","SYSTEMIC_CHEMO","Systemic Chemotherapy","NCIT:C64261","NCIT"
"139","SYSTEMIC_THERAPIES","Systemic Therapy","NCIT:C15698","NCIT"
"140","SYSTEMIC_THERAPY","Systemic Therapy","NCIT:C15698","NCIT"
"141","Standard Chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"142","Standard Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"143","Stem Cell Transplant","Hematopoietic Cell Transplantation","NCIT:C15431","NCIT"
"144","Supportive/Palliative Care","Supportive Care;Palliative Therapy","NCIT:C15747;NCIT:C15292","NCIT;NCIT"
"145","Surgery","Surgical Procedure","NCIT:C15329","NCIT"
"146","Surgically Treated","Surgical Procedure","NCIT:C15329","NCIT"
"147","TARGETED","Targeted Therapy","NCIT:C93352","NCIT"
"148","TARGETED_MOLECULAR","Targeted Molecular Therapy","NCIT:C76243","NCIT"
"149","TARGETED_MOLECULAR_THERAPY","Targeted Molecular Therapy","NCIT:C76243","NCIT"
"150","TARGETED_THERAPY","Targeted Therapy","NCIT:C93352","NCIT"
"151","TARGET_THERAPY","Targeted Therapy","NCIT:C93352","NCIT"
"152","TAXANE","Taxane Compound","NCIT:C1490","NCIT"
"153","THC Chemotherapy","Tetrahydrocannabinol (substance);Chemotherapy","72024007;NCIT:C15632","SNOMED;NCIT"
"154","THERAPY","Therapeutic Procedure","NCIT:C49236","NCIT"
"155","TKI_TREATMENT","Tyrosine Kinase Inhibitor","NCIT:C1967","NCIT"
"156","TMZ Chemo","Temozolomide","NCIT:C1244","NCIT"
"157","TMZ Chemoradiation","Temozolomide;Chemoradiotherapy","NCIT:C1244;NCIT:C94626","NCIT;NCIT"
"158","TRANSPLANT","Graft","NCIT:C12981","NCIT"
"159","Targeted Therapy","Targeted Therapy","NCIT:C93352","NCIT"
"160","Targeted Therapy - Other","Targeted Therapy","NCIT:C93352","NCIT"
"161","Targeted_Therapy","Targeted Therapy","NCIT:C93352","NCIT"
"162","Taxane treatment","Taxane Compound","NCIT:C1490","NCIT"
"163","Transplant","Graft","NCIT:C12981","NCIT"
"164","UNo Prior Taxane Treatment","No Therapy;Prior;Taxane Compound","NCIT:C157513;NCIT:C25629;NCIT:C1490","NCIT;NCIT;NCIT"
"165","UV","UV Light Therapy","NCIT:C15344","NCIT"
"166","Unspecified Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"167","Unspecified Therapy","Unspecified;Therapeutic Procedure","NCIT:C38046;NCIT:C49236","NCIT;NCIT"
"168","VEGF_INHIBITOR","Immunotherapeutic Agent","NCIT:C308","NCIT"
"169","Vaccine","Vaccine","NCIT:C923","NCIT"
"170","XRT","Radiation Therapy","NCIT:C15313","NCIT"
"171","Xrt","Radiation Therapy","NCIT:C15313","NCIT"
"172","active surveillance","Patient Observation","NCIT:C15722","NCIT"
"173","anti-CTLA-4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"174","anti-PD-1/PD-L1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"175","anti-PD-1/anti-PD-L1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"176","anti-PD1","Anti-PD1 Monoclonal Antibody","NCIT:C128037","NCIT"
"177","chemo","Chemotherapy","NCIT:C15632","NCIT"
"178","chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"179","hospice","Hospice","NCIT:C53532","NCIT"
"180","pd1","PD1 Inhibitor","NCIT:C124946","NCIT"
"181","quad shot RT","Cyclical Hypofractionated Radiotherapy","NCIT:C172159","NCIT"
"182","rad001","Everolimus","NCIT:C48387","NCIT"
"183","radiation","Radiation Therapy","NCIT:C15313","NCIT"
"184","radiation therapy","Radiation Therapy","NCIT:C15313","NCIT"
"185","radiotherapy","Radiation Therapy","NCIT:C15313","NCIT"
"186","surgery","Surgical Procedure","NCIT:C15329","NCIT"
"187","surveillance","Surveillance","NCIT:C15719","NCIT"
"188","taxanes","Taxane Compound","NCIT:C1490","NCIT"
"189","whole brain radiation therapy","Whole-Brain Radiotherapy","NCIT:C16187","NCIT"
