"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"244","Epirubicin","Epirubicin","NCIT:C62028","NCIT"
"245","Eribulin","Eribulin","NCIT:C96748","NCIT"
"246","Esophagectomy","Esophagectomy","NCIT:C15357","NCIT"
"247","Esophagectomy (outside)","Esophagectomy;External","NCIT:C15357;NCIT:C44280","NCIT;NCIT"
"248","Estramustine","Estramustine","NCIT:C479","NCIT"
"249","Et","Etoposide","NCIT:C491","NCIT"
"250","Etoposide","Etoposide","NCIT:C491","NCIT"
"251","Etopside","Etoposide","NCIT:C491","NCIT"
"252","Everolimus","Everolimus","NCIT:C48387","NCIT"
"253","Excision","Excision","NCIT:C15232","NCIT"
"254","Excisional biopsy","Excisional Biopsy","NCIT:C15385","NCIT"
"255","Excisional biospy","Excisional Biopsy","NCIT:C15385","NCIT"
"256","Exemestane","Exemestane","NCIT:C1097","NCIT"
"257","Exploration","Exploratory Surgery","NCIT:C66747","NCIT"
"258","Exploration (outside)","Exploratory Surgery;External","NCIT:C66747;NCIT:C44280","NCIT;NCIT"
"259","Exploratory laparotomy","Exploratory Surgery;Laparotomy","NCIT:C66747;NCIT:C15266","NCIT;NCIT"
"260","Extended Lobectomy","Extend;Lobectomy","NCIT:C25270;NCIT:C15272","NCIT;NCIT"
"261","External Beam","External Beam Radiation Therapy","NCIT:C15751","NCIT"
"262","External Beam, 3D Conformal","External Beam Radiation Therapy;3-Dimensional Conformal Radiation Therapy","NCIT:C15751;NCIT:C16035","NCIT;NCIT"
"263","FENRETINIDE","Fenretinide","NCIT:C1098","NCIT"
"264","FLUORO-PYRIMIDINE","Fluoropyrimidine","NCIT:C94728","NCIT"
"265","FLX925","FLT3/CDK4/6 Inhibitor FLX925","NCIT:C120209","NCIT"
"266","FNA","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"267","FOLIC_ACID","Folic Acid","NCIT:C510","NCIT"
"268","FSRT","Fractionated Stereotactic Radiation Therapy","NCIT:C156862","NCIT"
"269","FU","Fluorouracil","NCIT:C505","NCIT"
"270","FUDR","Floxuridine","NCIT:C504","NCIT"
"271","FULVESTRANT","Fulvestrant","NCIT:C1379","NCIT"
"272","Filgrastim","Filgrastim","NCIT:C1474","NCIT"
"273","Fine Needle aspiration biopsy","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"274","Fine needle aspiration biopsy","Fine-Needle Aspiration","NCIT:C15361","NCIT"
"275","Flu","Fludarabine","NCIT:C1094","NCIT"
"276","Fludarabine","Fludarabine","NCIT:C1094","NCIT"
"277","Fluorouracil","Fluorouracil","NCIT:C505","NCIT"
"278","Fluorouracil (5-FU)","Fluorouracil","NCIT:C505","NCIT"
"279","Fluropyrimidine","Fluoropyrimidine","NCIT:C94728","NCIT"
"280","Fotemustine","Fotemustine","NCIT:C1106","NCIT"
"281","G-CSF","Granulocyte Colony-Stimulating Factor","NCIT:C26078","NCIT"
"282","G3139","Oblimersen Sodium","NCIT:C66722","NCIT"
"283","GCSF","Granulocyte Colony-Stimulating Factor","NCIT:C26078","NCIT"
"284","GDC0032","Taselisib","NCIT:C116876","NCIT"
"285","GEM","Gemcitabine","NCIT:C66876","NCIT"
"286","GENZ-644282","Topoisomerase I Inhibitor Genz-644282","NCIT:C84851","NCIT"
"287","GK","Gamma Knife","NCIT:C15382","NCIT"
"288","GS-9820","Acalisib","NCIT:C103277","NCIT"
"289","GSK690693","Pan-AKT Kinase Inhibitor GSK690693","NCIT:C71711","NCIT"
"290","GSK923295A","CENP-E Inhibitor GSK-923295A","NCIT:C91080","NCIT"
"291","Galunisertib","Galunisertib","NCIT:C116891","NCIT"
"292","Gamma knife","Gamma Knife","NCIT:C15382","NCIT"
"293","Gastrectomy","Gastrectomy","NCIT:C15236","NCIT"
"294","Gefitinib","Gefitinib","NCIT:C1855","NCIT"
"295","Gem","Gemcitabine","NCIT:C66876","NCIT"
"296","Gemcitabin","Gemcitabine","NCIT:C66876","NCIT"
"297","Gemcitabine","Gemcitabine","NCIT:C66876","NCIT"
"298","Gemtuzumab","Gemtuzumab","NCIT:C171025","NCIT"
"299","Gemtuzumab Ozogamicin","Gemtuzumab Ozogamicin","NCIT:C1806","NCIT"
"300","Gemtuzumab ozogamicin","Gemtuzumab Ozogamicin","NCIT:C1806","NCIT"
"301","Genasense","Oblimersen Sodium","NCIT:C66722","NCIT"
"302","Gengraft (anti-GVHD)","Cyclosporine","NCIT:C406","NCIT"
"303","Gilteritinib","Gilteritinib","NCIT:C116722","NCIT"
"304","Gilteritinib (ASP2215)","Gilteritinib","NCIT:C116722","NCIT"
"305","Gleevac","Imatinib Regimen","NCIT:C160054","NCIT"
"306","HAI","Intrahepatic Infusion Procedure","NCIT:C15731","NCIT"
"307","HDAC inhibitor","Histone Deacetylase Inhibitor","NCIT:C1946","NCIT"
"308","HDR","High-Dose Rate Brachytherapy","NCIT:C15651","NCIT"
"309","HGS-ETR1","Mapatumumab","NCIT:C61502","NCIT"
"310","HSPPC-96 vaccine","Vitespen","NCIT:C2432","NCIT"
"311","HU","Hydroxyurea","NCIT:C560","NCIT"
"312","Haplo","Haploidentical Hematopoietic Cell Transplantation","NCIT:C138187","NCIT"
"313","Herceptin","Trastuzumab","NCIT:C1647","NCIT"
"314","Hydrea","Hydroxyurea","NCIT:C560","NCIT"
"315","Hydroxyurea","Hydroxyurea","NCIT:C560","NCIT"
"316","Hysterectomy","Hysterectomy","NCIT:C15256","NCIT"
"317","IDAC","Cytarabine","NCIT:C408","NCIT"
"318","IDO1 inhibitor","IDO Inhibitor","NCIT:C141137","NCIT"
"319","IDO1 inhibitor (BMS986205)","Linrodostat","NCIT:C141135","NCIT"
"320","IFR","Involved-Field Radiation Therapy","NCIT:C113812","NCIT"
"321","IGN523","Anti-CD98 Monoclonal Antibody IGN523","NCIT:C113659","NCIT"
"322","IL-2","Aldesleukin","NCIT:C1498","NCIT"
"323","IMATINIB","Imatinib","NCIT:C62035","NCIT"
"324","IMC-A12","Cixutumumab","NCIT:C79828","NCIT"
"325","IMGN779 (Immunogen Trial)","Anti-CD33 Antibody-drug Conjugate IMGN779","NCIT:C125717","NCIT"
"326","IMRT","Intensity-Modulated Radiation Therapy","NCIT:C16135","NCIT"
"327","INK128-1110-028","Sapanisertib","NCIT:C90548","NCIT"
"328","INTERFERON_ALPHA","Interferon Alpha","NCIT:C20494","NCIT"
"329","IODINE","Iodine","NCIT:C594","NCIT"
"330","IPI","Ipilimumab","NCIT:C2654","NCIT"
"331","IT","Intrathecal Route of Administration","NCIT:C38267","NCIT"
"332","IT Methotrexate","Methotrexate","NCIT:C642","NCIT"
"333","IT/IV Cytarabine","Cytarabine","NCIT:C408","NCIT"
"334","Ibrutinib","Ibrutinib","NCIT:C81934","NCIT"
"335","Ida","Idarubicin","NCIT:C562","NCIT"
"336","Idarubicin","Idarubicin","NCIT:C562","NCIT"
"337","Idasanutlin","Idasanutlin","NCIT:C99131","NCIT"
"338","Ifosfamid","Ifosfamide","NCIT:C564","NCIT"
"339","Ifosfamide","Ifosfamide","NCIT:C564","NCIT"
"340","Il-2","Aldesleukin","NCIT:C1498","NCIT"
"341","Ileal conduit Creation","Urinary Diversion","NCIT:C91841","NCIT"
"342","Imatinib","Imatinib","NCIT:C62035","NCIT"
"343","Immunoglobulin","Immunoglobulin","NCIT:C572","NCIT"
"344","Implants-tandem","Tandem Brachytherapy","NCIT:C106076","NCIT"
"345","Imuran","Azathioprine Sodium","NCIT:C47961","NCIT"
"346","Indoximod","Indoximod","NCIT:C71535","NCIT"
"347","Iniparib","Iniparib","NCIT:C62526","NCIT"
"348","Interval Debulking","Interval Debulking Surgery","NCIT:C160866","NCIT"
"349","Ipi","Ipilimumab","NCIT:C2654","NCIT"
"350","Ipilimumab","Ipilimumab","NCIT:C2654","NCIT"
"351","Ipilumumab","Ipilimumab","NCIT:C2654","NCIT"
"352","Irinotecan","Irinotecan","NCIT:C62040","NCIT"
"353","Isotretinoin","Isotretinoin","NCIT:C603","NCIT"
"354","Itacitinib","Itacitinib","NCIT:C116855","NCIT"
"355","Ivosidenib","Ivosidenib","NCIT:C114383","NCIT"
"356","JAK 1 inhibitor","JAK1 Inhibitor","NCIT:C129650","NCIT"
"357","JNJ-40346527 (CSF1R inhibitor)","Edicotinib","NCIT:C101519","NCIT"
"358","JNJ26481585","Quisinostat","NCIT:C77912","NCIT"
"359","JNJ26854165","Serdemetan","NCIT:C77904","NCIT"
"360","Jakafi","Ruxolitinib","NCIT:C77888","NCIT"
"361","KB004","Ifabotuzumab","NCIT:C116629","NCIT"
"362","KPT-330","Selinexor","NCIT:C102546","NCIT"
"363","Ketoconazole","Ketoconazole","NCIT:C605","NCIT"
"364","L Radical Nephrectomy","Left;Radical Nephrectomy","NCIT:C25229;NCIT:C51778","NCIT;NCIT"
"365","L Total Mastectomy","Left;Total Mastectomy","NCIT:C25229;NCIT:C15281","NCIT;NCIT"
"366","L-Asparaginase","Asparaginase","NCIT:C286","NCIT"
"367","LAPATINIB","Lapatinib","NCIT:C26653","NCIT"
"368","LAR","Low Anterior Resection","NCIT:C113716","NCIT"
"369","LBH","Panobinostat","NCIT:C66948","NCIT"
"370","LDR","Low-Dose Rate Brachytherapy","NCIT:C85254","NCIT"
"371","LE","Local excision (procedure)","86743009","SNOMED"
"372","LENOLIDAMIDE","Lenalidomide","NCIT:C2668","NCIT"
"373","LHRH","Gonadotrophin Releasing Hormone","NCIT:C2270","NCIT"
"374","LHRH agonist","Gonadotropin-releasing Hormone Analog","NCIT:C1910","NCIT"
"375","LN dissection","Lymphadenectomy","NCIT:C15275","NCIT"
"376","LND","Lymphadenectomy","NCIT:C15275","NCIT"
"377","LUMPCTOMY","Lumpectomy","NCIT:C15755","NCIT"
"378","LUMPECTOMY","Lumpectomy","NCIT:C15755","NCIT"
"379","LV","Leucovorin","NCIT:C71631","NCIT"
