original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
HIGH_GRADE_SEROUS,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
HGSOC,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
LOW-GRADE SEROUS OVARIAN CANCER,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
"ADENOCARCINOMA, LOW GRADE SEROUS",Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
LOW_GRADE_SEROUS,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
OVARIAN LOW-GRADE SEROUS,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
LGSOC,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
CLAUDIN-LOW,Claudin-Low,NCIT:C105907,NCIT
UTERINE CARCINOSARCOMA/MMMT: HOMOLOGOUS TYPE,"Uterine Carcinosarcoma, Homologous Type<;>Malignant Mixed Mesodermal (Mullerian) Tumor",NCIT:C113238<;>NCIT:C8975,NCIT
UTERINE CARCINOSARCOMA/ MMMT: HETEROLOGOUS TYPE,"Uterine Carcinosarcoma, Heterologous Type<;>Malignant Mixed Mesodermal (Mullerian) Tumor",NCIT:C113239<;>NCIT:C8975,NCIT
NEAR HAPLOID,Near-Haploidy,NCIT:C114474,NCIT
MASKED NEAR HAPLOID,Masked Near-Haploidy,NCIT:C114475,NCIT
ENDOMETRIAL ADENOSQUAMOUS CARCINOMA,Endometrial Adenosquamous Carcinoma,NCIT:C114656,NCIT
ENDOMETRIAL_ADENOSQUAMOUS,Endometrial Adenosquamous Carcinoma,NCIT:C114656,NCIT
MELANOMA MUCOSAL,Mucosal Melanoma,NCIT:C114828,NCIT
MUCM,Mucosal Melanoma,NCIT:C114828,NCIT
ANORECTAL MUCOSAL MELANOMA,Mucosal Melanoma<;>Anorectal,NCIT:C114828<;>NCIT:C129464,NCIT
BLAST_CRISIS,Blastic Phase,NCIT:C115160,NCIT
TURBT,Transurethral Resection of Bladder Tumor,NCIT:C116651,NCIT
BLOOD CANCER,Liquid Tumor,NCIT:C116915,NCIT
"BLOOD CANCER, NOS",Liquid Tumor,NCIT:C116915,NCIT
DIPLOID,Diploidy,NCIT:C118941,NCIT
NON-GLABROUS SKIN,Non-Glabrous Skin,NCIT:C120321,NCIT
NON-SEMINOMATOUS GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-GERMINOMATOUS GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-SEMINOMATOUS GERM CELL TUMO,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-SEMINOMA,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
"NON-SEMINOMATOUS GERM CELL TUMOR, PREDOMINANTLY YOLK SAC TYPE",Nongerminomatous Germ Cell Tumor<;>Yolk Sac Tumor,NCIT:C121619<;>NCIT:C3011,NCIT
NON-SEMINOMATOUS MIXED GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor<;>Mixed Germ Cell Tumor,NCIT:C121619<;>NCIT:C4290,NCIT
SPINDLE CELL/SCLEROSING RHABDOMYOSARCOMA,Spindle Cell/Sclerosing Rhabdomyosarcoma,NCIT:C121654,NCIT
SCLEROSING RHABDOMYOSARCOMA,Sclerosing Rhabdomyosarcoma,NCIT:C121655,NCIT
PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA,Pseudomyogenic Hemangioendothelioma,NCIT:C121668,NCIT
EPITHELIOID CELL TUMOR,Malignant PEComa,NCIT:C121792,NCIT
UNDIFFERENTIATED SARCOMA,Undifferentiated Soft Tissue Sarcoma,NCIT:C121793,NCIT
"ROUND CELL SARCOMA, OTHER",Round Cell Sarcoma,NCIT:C121799,NCIT
"ROUND CELL SARCOMA, NOS",Undifferentiated Round Cell Sarcoma,NCIT:C121799,NCIT
GIANT CELL TUMOR OF BONE,Giant Cell Tumor of Bone,NCIT:C121932,NCIT
CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,Clear Cell Papillary Renal Neoplasm,NCIT:C121955,NCIT
"SEROUS BORDERLINE OVARIAN TUMOR, MICROPAPILLARY",Borderline Ovarian Serous Tumor-Micropapillary Variant,NCIT:C122585,NCIT
ASCENDING COLON,Ascending Colon,NCIT:C12265,NCIT
HEPATIC FLEXURE,Hepatic Flexure,NCIT:C12266,NCIT
SPLENIC FLEXURE,Splenic Flexure,NCIT:C12267,NCIT
DESCENDING COLON,Descending Colon,NCIT:C12268,NCIT
CERVIX,Cervix Uteri,NCIT:C12311,NCIT
ENDOMETRIUM,Endometrium,NCIT:C12313,NCIT
LEPIDIC ADENOCARCINOMA 82503,Lepidic Adenocarcinoma,NCIT:C123160,NCIT
LEPIDIC,Lepidic Adenocarcinoma,NCIT:C123160,NCIT
OVARY/FALLOPIAN TUBE,Appendage of the Uterus,NCIT:C12321,NCIT
MAMMARY ANALOGUE SECRETORY CARCINOMA OF SALIVARY GLAND ORIGIN,Salivary Gland Secretory Carcinoma,NCIT:C123384,NCIT
FIRST RECURRENCE,First Relapse,NCIT:C123399,NCIT
BONE,Bone,NCIT:C12366,NCIT
 METASTATIC SITE: BONE,Bone<;>Site of Metastasis,NCIT:C12366<;>NCIT:C172233,NCIT
ADENOCARCINOMA- PROSTATE; METASTATIC SITE: BONE;,Bone<;>Site of Metastasis<;>Prostate Adenocarcinoma,NCIT:C12366<;>NCIT:C172233<;>NCIT:C2919,NCIT
FUSION+ RMS,Fusion-Positive Rhabdomyosarcoma,NCIT:C123735,NCIT
FUSION- RMS,Fusion-Negative Rhabdomyosarcoma,NCIT:C123736,NCIT
BILE_DUCT,Bile Duct,NCIT:C12376,NCIT
CECUM,Cecum,NCIT:C12381,NCIT
COLON,Colon,NCIT:C12382,NCIT
SIGMOID COLON,Sigmoid Colon,NCIT:C12384,NCIT
TRANSVERSE COLON,Transverse Colon,NCIT:C12385,NCIT
JEJUNUM,Jejunum,NCIT:C12388,NCIT
ESOPHAGUS,Esophagus,NCIT:C12389,NCIT
RECTUM,Rectum,NCIT:C12390,NCIT
STOMACH,Stomach,NCIT:C12391,NCIT
LIVER,Liver,NCIT:C12392,NCIT
PANCREAS,Pancreas,NCIT:C12393,NCIT
THYROID,Thyroid Gland,NCIT:C12400,NCIT
OVARY,Ovary,NCIT:C12404,NCIT
PROSTATE,Prostate Gland,NCIT:C12410,NCIT
BLADDER/URINARY TRACT,Urinary System,NCIT:C12413,NCIT
URINARY_TRACT,Urinary System,NCIT:C12413,NCIT
BLADDER,Bladder,NCIT:C12414,NCIT
KIDNEY,Kidney,NCIT:C12415,NCIT
HEAD AND NECK,Head and Neck,NCIT:C12418,NCIT
TONGUE,Tongue,NCIT:C12422,NCIT
PHARYNX,Pharynx,NCIT:C12425,NCIT
SALIVARY_GLAND,Salivary Gland,NCIT:C12426,NCIT
CNS/BRAIN,Central Nervous System<;>Brain,NCIT:C12438<;>NCIT:C12439,NCIT
BRAIN,Brain,NCIT:C12439,NCIT
 METASTATIC SITE: BRAIN,Brain<;>Site of Metastasis,NCIT:C12439<;>NCIT:C172233,NCIT
PROSTATE; METASTATIC SITE: BRAIN; CARCINOMA PATIENT WITH METASTATIC CARCINOMA OF THE PROSTATE AND A 3 YEAR HISTORY OF LYMPHOCYTIC LEUKEMIA.,Brain<;>Site of Metastasis<;>Metastatic Prostate Carcinoma<;>Lymphoid Leukemia,NCIT:C12439<;>NCIT:C172233<;>NCIT:C8946<;>NCIT:C7539,NCIT
CORTICAL,Cerebral Cortex,NCIT:C12443,NCIT
PERIPHERAL NERVOUS SYSTEM,Peripheral Nervous System,NCIT:C12465,NCIT
LUNG,Lung,NCIT:C12468,NCIT
PLEURA,Pleura,NCIT:C12469,NCIT
SKIN,Skin,NCIT:C12470,NCIT
SOFT TISSUE,Soft Tissue,NCIT:C12471,NCIT
SOFT_TISSUE,Soft Tissue,NCIT:C12471,NCIT
B-CELL,B-Lymphocyte,NCIT:C12474,NCIT
B_CELL,B-Lymphocyte,NCIT:C12474,NCIT
T-CELL,T-Lymphocyte,NCIT:C12476,NCIT
T_CELL,T-Lymphocyte,NCIT:C12476,NCIT
PDAC-CLEAR CELL,Clear Cell,NCIT:C12478,NCIT
CLEAR_CELL,Clear Cell,NCIT:C12478,NCIT
FIBROBLAST_UPPER_AERODIGESTIVE,Fibroblast<;>upper aerodigestive tract,NCIT:C12482<;>MONDO:0005398,NCIT
FIBROBLAST_URINARY_TRACT,Fibroblast<;>Urinary System,NCIT:C12482<;>NCIT:C12413,NCIT
FIBROBLAST_SOFT_TISSUE,Fibroblast<;>Soft Tissue,NCIT:C12482<;>NCIT:C12471,NCIT
FIBROBLAST_LYMPHOCYTE,Fibroblast<;>Lymphocyte,NCIT:C12482<;>NCIT:C12535,NCIT
FIBROBLAST_COLORECTAL,Fibroblast<;>Colorectal,NCIT:C12482<;>NCIT:C13363,NCIT
SIGNET_RING_CELL,Signet Ring Cell,NCIT:C12487,NCIT
SMALL CELL,Small Cell,NCIT:C12488,NCIT
EPITHELIOID CELL,Epithelioid Cell,NCIT:C12559,NCIT
EPITHELIOID,Epithelioid Cell,NCIT:C12559,NCIT
EPITHELIOID CELLSPINDLE CELL,Epithelioid Cell<;>Spindle Cell Neoplasm,NCIT:C12559<;>NCIT:C27263,NCIT
SPINDLE CELLEPITHELIOID CELL,Epithelioid Cell<;>Spindle Cell Neoplasm,NCIT:C12559<;>NCIT:C27263,NCIT
"HIGH-GRADE B-CELL LYMPHOMA, WITH MYC AND BCL2 AND/OR BCL6 REARRANGEMENTS",High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements,NCIT:C125904,NCIT
GERM CELL,Germ Cell,NCIT:C12597,NCIT
GIANT_CELL,Giant Cell,NCIT:C12607,NCIT
CRIBIFORM MORULAR,Thyroid Gland Cribriform Morular Carcinoma,NCIT:C126408,NCIT
HIGH-GRADE SEROUS FALLOPIAN TUBE CANCER,Fallopian Tube High Grade Serous Adenocarcinoma,NCIT:C126456,NCIT
THYROID PAPILLARY CARCINOMA - FOLLICULAR >= 99% FOLLICULAR PATTERNED,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT:C126594,NCIT
PAPILLARY CARCINOMA: MIXED PAPILLARY AND FOLLICULAR VARIANT,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT:C126594,NCIT
ABDOMEN,Abdomen,NCIT:C12664,NCIT
ADRENAL GLAND,Adrenal Gland,NCIT:C12666,NCIT
ADRENAL,Adrenal Gland,NCIT:C12666,NCIT
UTERINE DEDIFFERENTIATED CARCINOMA,Endometrial Dedifferentiated Carcinoma,NCIT:C126769,NCIT
BILIARY TRACT,Biliary Tract,NCIT:C12678,NCIT
DIAPHRAGM,Diaphragm,NCIT:C12702,NCIT
EXOCRINE,Exocrine Gland,NCIT:C12712,NCIT
BOWEL,Intestine,NCIT:C12736,NCIT
LYMPH NODE,Lymph Node,NCIT:C12745,NCIT
PERITONEUM,Peritoneum,NCIT:C12770,NCIT
EBER+ III,Epstein-Barr Virus Early RNA Positive,NCIT:C128833,NCIT
EBER+ - LIKELY II,Epstein-Barr Virus Early RNA Positive,NCIT:C128833,NCIT
EBER+ II,Epstein-Barr Virus Early RNA Positive,NCIT:C128833,NCIT
HPV+ SCC I OR II,Human Papillomavirus Positive<;>Squamous Cell Carcinoma,NCIT:C128839<;>NCIT:C2929,NCIT
PH_POSITIVE,Philadelphia Chromosome Positive,NCIT:C128843,NCIT
LUNG MICROPAPILLARY ADENOCARCINOMA,Lung Micropapillary Adenocarcinoma,NCIT:C128847,NCIT
MICROPAPILLARY ADENOCARCINOMA 82653,Lung Micropapillary Adenocarcinoma,NCIT:C128847,NCIT
"DIFFUSE ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 2",NCIT:C129271,NCIT
"ANAPLASTIC ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 3",NCIT:C129290,NCIT
"ANAPLASTIC ASTROCYTOMA, IDH-WILDTYPE","Anaplastic Astrocytoma, IDH-Wildtype",NCIT:C129291,NCIT
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT","Diffuse Midline Glioma, H3 K27M-Mutant",NCIT:C129309,NCIT
"OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129318,NCIT
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129321,NCIT
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q CO-DELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129321,NCIT
DIFFUSE GLIOMA,Diffuse Glioma,NCIT:C129325,NCIT
ANAPLASTIC PLEOMORPHIC XANTHOASTROCYTOMA,Anaplastic Pleomorphic Xanthoastrocytoma,NCIT:C129327,NCIT
ST-RELPOS,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",NCIT:C129351,NCIT
RELA-FUSION,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",NCIT:C129351,NCIT
CHROMOTHRIPSIS,Chromothripsis,NCIT:C129355,NCIT
DIFFUSE LEPTOMENINGEAL  GLIONEURONAL TUMOR,Diffuse Leptomeningeal Glioneuronal Tumor,NCIT:C129424,NCIT
LARGE CELL/ANAPLASTIC MEDULLOBLASTOMA,Large Cell/Anaplastic Medulloblastoma,NCIT:C129436,NCIT
MED_GROUP_3,"Medulloblastoma, Non-WNT/Non-SHH, Group 3",NCIT:C129445,NCIT
SMALL_CELL_ADENOCARCINOMA,Small Cell Adenocarcinoma,NCIT:C129449,NCIT
NEUROENDOCRINE,Neuroendocrine System,NCIT:C12945,NCIT
SUN-EXPOSED,Sun-exposed Site,NCIT:C129465,NCIT
CLASSIC,Classic Histology,NCIT:C129470,NCIT
CLASSICAL,Classic Histology,NCIT:C129470,NCIT
DUCT,Duct,NCIT:C12948,NCIT
 DUCT,Duct,NCIT:C12948,NCIT
SOLITARY FIBROUS TUMOR OF THE CENTRAL NERVOUS SYSTEM,Central Nervous System Solitary Fibrous Tumor,NCIT:C129526,NCIT
BREAST,Breast,NCIT:C12971,NCIT
 BREAST,Breast,NCIT:C12971,NCIT
AML WITH BIALLELIC MUTATIONS OF CEBPA,Acute Myeloid Leukemia with Biallelic Mutations of CEBPA,NCIT:C129782,NCIT
AML WITH MUTATED RUNX1,Acute Myeloid Leukemia with Mutated RUNX1,NCIT:C129786,NCIT
BCR-ABL1,"B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",NCIT:C129787,NCIT
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA, BCR-ABL1 LIKE","B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",NCIT:C129787,NCIT
ORAL DYSPLASIA,Oral Epithelial Dysplasia,NCIT:C129863,NCIT
"CHORDOMA, SACRAL",Sacral Chordoma,NCIT:C129927,NCIT
CHORDOMA_SACRAL,Sacral Chordoma,NCIT:C129927,NCIT
SPINE,Vertebral Column,NCIT:C12998,NCIT
MDS WITH RING SIDEROBLASTS AND SINGLE LINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,NCIT:C130037,NCIT
EARLY T-CELL PRECURSOR LYMPHOBLASTIC LEUKEMIA,Early T Acute Lymphoblastic Leukemia,NCIT:C130043,NCIT
ETP-ALL,Early T Acute Lymphoblastic Leukemia,NCIT:C130043,NCIT
CASTRATION-RESISTANT PROSTATE CANCER,Castration-Resistant Prostate Carcinoma,NCIT:C130234,NCIT
NON-METASTATIC CASTRATION-RESISTANT,Castration-Resistant Prostate Carcinoma<;>Non-Metastatic Prostate Carcinoma,NCIT:C130234<;>NCIT:C162638,NCIT
CRPC-ADENO,Castration-Resistant Prostate Carcinoma<;>Prostate Adenocarcinoma,NCIT:C130234<;>NCIT:C2919,NCIT
CRPC-NE,Castration-Resistant Prostate Carcinoma<;>Prostate Neuroendocrine Neoplasm,NCIT:C130234<;>NCIT:C5545,NCIT
METASTATIC CASTRATION-RESISTANT,Castration-Resistant Prostate Carcinoma<;>Metastatic Prostate Carcinoma,NCIT:C130234<;>NCIT:C8946,NCIT
MUSCLE,Muscle,NCIT:C13056,NCIT
ACINAR,Acinar Cell,NCIT:C13077,NCIT
MSS,Microsatellite Stable,NCIT:C131459,NCIT
COLUMNAR,Columnar Cell,NCIT:C13158,NCIT
MUCOSAL,Mucosa,NCIT:C13166,NCIT
KATAEGIS,Kataegis,NCIT:C132063,NCIT
LGG,Low Grade Glioma,NCIT:C132067,NCIT
"LOW-GRADE GLIOMA, NOS",Low Grade Glioma,NCIT:C132067,NCIT
LOW-GRADE GLIOMA NOS,Low Grade Glioma,NCIT:C132067,NCIT
LOW-GRADE GLIOMA/ASTROCYTOMA,Low Grade Glioma<;>Low Grade Astrocytoma,NCIT:C132067<;>NCIT:C116342,NCIT
LGG_IDHMUT-NON-CODEL,Low Grade Glioma<;>IDH Gene Family Mutation,NCIT:C132067<;>NCIT:C129264,NCIT
LGG_IDHMUT-CODEL,Low Grade Glioma<;>IDH Gene Family Mutation,NCIT:C132067<;>NCIT:C129264,NCIT
LGG_IDHWT,Low Grade Glioma<;>IDH Family Wildtype,NCIT:C132067<;>NCIT:C136567,NCIT
PEDIATRIC LOW GRADE GLIOMAS,Low Grade Glioma<;>Pediatric,NCIT:C132067<;>NCIT:C39299,NCIT
LARYNGEAL,Laryngeal,NCIT:C13305,NCIT
GASTRIC,Gastric,NCIT:C13307,NCIT
EPITHELIAL,Epithelial,NCIT:C13315,NCIT
 EPITHELIAL,Epithelial,NCIT:C13315,NCIT
HEAD AND NECK MUCOSAL MELANOMA,Mucosal Melanoma of the Head and Neck,NCIT:C133187,NCIT
BILATERAL,Bilateral,NCIT:C13332,NCIT
COLORECTAL,Colorectal,NCIT:C13363,NCIT
WELL-DIFFERENTIATED NEUROENDOCRINE TUMOR OF THE RECTUM,Rectal Neuroendocrine Tumor<;>Well Differentiated,NCIT:C135213<;>NCIT:C14171,NCIT
LUNG ADENOCARCINOMA IN SITU,Lung Adenocarcinoma In Situ,NCIT:C136486,NCIT
BRONCHIOALVEOLAR_CARCINOMA,Lung Adenocarcinoma In Situ,NCIT:C136486,NCIT
BRONCHIOALVEOLAR_CARCINOMA; NON-SMALL_CELL LUNG_CANCER,Lung Adenocarcinoma In Situ<;>Lung Non-Small Cell Carcinoma,NCIT:C136486<;>NCIT:C2926,NCIT
INVASIVE MUCINOUS ADENOCARCINOMA 82533,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
INVASIVE MUCINOUS ADCA,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
INVASIVE-MUCINOUS,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
INTRAHEPATIC,Intrahepatic,NCIT:C13808,NCIT
 INTRAHEPATIC,Intrahepatic,NCIT:C13808,NCIT
LYMPHOID,Lymphoid,NCIT:C13810,NCIT
ESOPHAGEAL LN,Esophageal Lymph Node,NCIT:C139196,NCIT
ANAPLASTIC,Anaplastic,NCIT:C14144,NCIT
LOCALIZED,Localized,NCIT:C14146,NCIT
OCCULT,Occult Stage,NCIT:C141461,NCIT
ALVEOLAR,Alveolar,NCIT:C14155,NCIT
INVASIVE,Invasive,NCIT:C14159,NCIT
MODERATELY DIFFERENTIATED,Moderately Differentiated,NCIT:C14162,NCIT
MUCINOUS,Mucinous,NCIT:C14163,NCIT
PAPILLARY,Papillary,NCIT:C14166,NCIT
POORLY DIFFERENTIATED,Poorly Differentiated,NCIT:C14167,NCIT
 POORLY DIFFERENTIATED,Poorly Differentiated,NCIT:C14167,NCIT
SEROUS,Serous,NCIT:C14168,NCIT
TUBULAR,Tubular,NCIT:C14169,NCIT
WELL DIFFERENTIATED,Well Differentiated,NCIT:C14171,NCIT
 WELL DIFFERENTIATED,Well Differentiated,NCIT:C14171,NCIT
RECURRENT,Recurrent,NCIT:C14173,NCIT
MET,Metastatic,NCIT:C14174,NCIT
METASTATIC,Metastatic,NCIT:C14174,NCIT
DIFFUSE,Diffuse,NCIT:C14175,NCIT
UNDIFFERENTIATED,Undifferentiated,NCIT:C14176,NCIT
EBV,Epstein-Barr Virus,NCIT:C14204,NCIT
ABC,Activated B-Cell Positive,NCIT:C142124,NCIT
HBV,Hepatitis B Virus,NCIT:C14215,NCIT
CONGENITAL FIBROSARCOMA,Congenital Peribronchial Myofibroblastic Tumor,NCIT:C142823,NCIT
RECURRENCE FIRST HGG RECORD,Recurrent Malignant Glioma,NCIT:C142848,NCIT
HCV,Hepatitis C Virus,NCIT:C14312,NCIT
RELAPSED_AML,Recurrent Acute Myeloid Leukemia,NCIT:C148427,NCIT
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,NCIT:C148427,NCIT
RECURRENT_ENDOMETRIAL_CARCINOMA,Recurrent Endometrial Carcinoma,NCIT:C150094,NCIT
CYSTECTOMY,Cystectomy,NCIT:C15217,NCIT
BIOPSY/PARACENTESIS,Paracentesis<;>Biopsy,NCIT:C15310<;>NCIT:C15189,NCIT
SURGERY,Surgical Procedure,NCIT:C15329,NCIT
METASTATIC HORMONE-SENSITIVE,Castration-Sensitive Prostate Carcinoma,NCIT:C153336,NCIT
MELANOMA OF UNKNOWN PRIMARY,Melanoma of Unknown Primary,NCIT:C154473,NCIT
MIT FAMILY TRANSLOCATION RENAL CELL CARCINOMA,MiT Family Translocation-Associated Renal Cell Carcinoma,NCIT:C154494,NCIT
TRANSLOCATION-ASSOCIATED RENAL CELL CARCINOMA,MiT Family Translocation-Associated Renal Cell Carcinoma,NCIT:C154494,NCIT
ER+,Estrogen Receptor Positive,NCIT:C15492,NCIT
ERPOS_HER2POS,Estrogen Receptor Positive<;>HER2/Neu Positive,NCIT:C15492<;>NCIT:C68748,NCIT
ER+HER2+,Estrogen Receptor Positive<;>HER2/Neu Positive<;>HER2-Positive Breast Carcinoma,NCIT:C15492<;>NCIT:C68748<;>NCIT:C53556,NCIT
ERPOS_HER2NEG,Estrogen Receptor Positive<;>HER2/Neu Negative,NCIT:C15492<;>NCIT:C68749,NCIT
ERNEG_HER2POS,Estrogen Receptor Negative<;>HER2/Neu Positive,NCIT:C15493<;>NCIT:C68748,NCIT
ERNEG_HER2NEG,Estrogen Receptor Negative<;>HER2/Neu Negative,NCIT:C15493<;>NCIT:C68749,NCIT
METASTATIC_OVARIAN_CANCER,Metastatic Ovarian Carcinoma,NCIT:C156064,NCIT
ASTOMOSIS RECURRENCE,Anastomosis<;>Recurrence,NCIT:C15609<;>NCIT:C3352,NCIT
MCRC METASTASIS,Metastatic Colorectal Carcinoma,NCIT:C156096,NCIT
