original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id,notes
UPPER TRACT UROTHELIAL CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0020659,MONDO,upper tract urothelial carcinoma,MONDO_0020659,
UPPER TRACT UROTHELIAL,http://purl.obolibrary.org/obo/MONDO_0020659,MONDO,upper tract urothelial carcinoma,MONDO_0020659,
UTUC,http://purl.obolibrary.org/obo/MONDO_0020659,MONDO,upper tract urothelial carcinoma,MONDO_0020659,
FIBROTHECOMA,http://purl.obolibrary.org/obo/MONDO_0700036,MONDO,Fibrothecoma,MONDO_0700036,
6-FOXA1,http://purl.obolibrary.org/obo/NCIT_C101646,NCIT,FOXA1 Gene,NCIT_C101646,
5-SPOP,http://purl.obolibrary.org/obo/NCIT_C102534,NCIT,SPOP Gene,NCIT_C102534,
"SQUAMOUS CELL CARCINOMA, PHARYNX",http://purl.obolibrary.org/obo/NCIT_C102872,NCIT,Pharyngeal Squamous Cell Carcinoma,NCIT_C102872,
ASTROCYTOMA_GRADE_III-IV,http://purl.obolibrary.org/obo/NCIT_C102897,NCIT,High Grade Astrocytic Tumor,NCIT_C102897,
ESOPHAGOGASTRIC CANCER,http://purl.obolibrary.org/obo/NCIT_C103064,NCIT,Gastroesophageal Cancer,NCIT_C103064,
ESOPHAGOGASTRIC CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C103064,NCIT,Gastroesophageal Cancer,NCIT_C103064,
PRIMARY ESOPHAGUS,http://purl.obolibrary.org/obo/NCIT_C103064<;>http://purl.obolibrary.org/obo/NCIT_C8509,NCIT,Gastroesophageal Cancer<;>Primary Neoplasm,NCIT_C103064<;>NCIT_C8509,
HIGH-GRADE SEROUS OVARIAN CANCER,http://purl.obolibrary.org/obo/NCIT_C105555,NCIT,Ovarian High Grade Serous Adenocarcinoma,NCIT_C105555,
OVARIAN HIGH-GRADE SEROUS,http://purl.obolibrary.org/obo/NCIT_C105555,NCIT,Ovarian High Grade Serous Adenocarcinoma,NCIT_C105555,
HIGH_GRADE_SEROUS,http://purl.obolibrary.org/obo/NCIT_C105555,NCIT,Ovarian High Grade Serous Adenocarcinoma,NCIT_C105555,
HGSOC,http://purl.obolibrary.org/obo/NCIT_C105555,NCIT,Ovarian High Grade Serous Adenocarcinoma,NCIT_C105555,
LOW-GRADE SEROUS OVARIAN CANCER,http://purl.obolibrary.org/obo/NCIT_C105556,NCIT,Ovarian Low Grade Serous Adenocarcinoma,NCIT_C105556,
"ADENOCARCINOMA, LOW GRADE SEROUS",http://purl.obolibrary.org/obo/NCIT_C105556,NCIT,Ovarian Low Grade Serous Adenocarcinoma,NCIT_C105556,
LOW_GRADE_SEROUS,http://purl.obolibrary.org/obo/NCIT_C105556,NCIT,Ovarian Low Grade Serous Adenocarcinoma,NCIT_C105556,
OVARIAN LOW-GRADE SEROUS,http://purl.obolibrary.org/obo/NCIT_C105556,NCIT,Ovarian Low Grade Serous Adenocarcinoma,NCIT_C105556,
LGSOC,http://purl.obolibrary.org/obo/NCIT_C105556,NCIT,Ovarian Low Grade Serous Adenocarcinoma,NCIT_C105556,
CLAUDIN-LOW,http://purl.obolibrary.org/obo/NCIT_C105907,NCIT,Claudin-Low,NCIT_C105907,
UTERINE CARCINOSARCOMA/MMMT: HOMOLOGOUS TYPE,http://purl.obolibrary.org/obo/NCIT_C113238<;>http://purl.obolibrary.org/obo/NCIT_C8975,NCIT,"Uterine Carcinosarcoma, Homologous Type<;>Malignant Mixed Mesodermal (Mullerian) Tumor",NCIT_C113238<;>NCIT_C8975,
UTERINE CARCINOSARCOMA/ MMMT: HETEROLOGOUS TYPE,http://purl.obolibrary.org/obo/NCIT_C113239<;>http://purl.obolibrary.org/obo/NCIT_C8975,NCIT,"Uterine Carcinosarcoma, Heterologous Type<;>Malignant Mixed Mesodermal (Mullerian) Tumor",NCIT_C113239<;>NCIT_C8975,
NEAR HAPLOID,http://purl.obolibrary.org/obo/NCIT_C114474,NCIT,Near-Haploidy,NCIT_C114474,
MASKED NEAR HAPLOID,http://purl.obolibrary.org/obo/NCIT_C114475,NCIT,Masked Near-Haploidy,NCIT_C114475,
ENDOMETRIAL ADENOSQUAMOUS CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C114656,NCIT,Endometrial Adenosquamous Carcinoma,NCIT_C114656,
ENDOMETRIAL_ADENOSQUAMOUS,http://purl.obolibrary.org/obo/NCIT_C114656,NCIT,Endometrial Adenosquamous Carcinoma,NCIT_C114656,
MELANOMA MUCOSAL,http://purl.obolibrary.org/obo/NCIT_C114828,NCIT,Mucosal Melanoma,NCIT_C114828,
MUCM,http://purl.obolibrary.org/obo/NCIT_C114828,NCIT,Mucosal Melanoma,NCIT_C114828,
ANORECTAL MUCOSAL MELANOMA,http://purl.obolibrary.org/obo/NCIT_C114828<;>http://purl.obolibrary.org/obo/NCIT_C129464,NCIT,Mucosal Melanoma<;>Anorectal,NCIT_C114828<;>NCIT_C129464,
BLAST_CRISIS,http://purl.obolibrary.org/obo/NCIT_C115160,NCIT,Blastic Phase,NCIT_C115160,
TURBT,http://purl.obolibrary.org/obo/NCIT_C116651,NCIT,Transurethral Resection of Bladder Tumor,NCIT_C116651,
BLOOD CANCER,http://purl.obolibrary.org/obo/NCIT_C116915,NCIT,Liquid Tumor,NCIT_C116915,
"BLOOD CANCER, NOS",http://purl.obolibrary.org/obo/NCIT_C116915,NCIT,Liquid Tumor,NCIT_C116915,
DIPLOID,http://purl.obolibrary.org/obo/NCIT_C118941,NCIT,Diploidy,NCIT_C118941,
NON-GLABROUS SKIN,http://purl.obolibrary.org/obo/NCIT_C120321,NCIT,Non-Glabrous Skin,NCIT_C120321,
NON-SEMINOMATOUS GERM CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C121619,NCIT,Nongerminomatous Germ Cell Tumor,NCIT_C121619,
NON-GERMINOMATOUS GERM CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C121619,NCIT,Nongerminomatous Germ Cell Tumor,NCIT_C121619,
NON-SEMINOMATOUS GERM CELL TUMO,http://purl.obolibrary.org/obo/NCIT_C121619,NCIT,Nongerminomatous Germ Cell Tumor,NCIT_C121619,
NON-SEMINOMA,http://purl.obolibrary.org/obo/NCIT_C121619,NCIT,Nongerminomatous Germ Cell Tumor,NCIT_C121619,
"NON-SEMINOMATOUS GERM CELL TUMOR, PREDOMINANTLY YOLK SAC TYPE",http://purl.obolibrary.org/obo/NCIT_C121619<;>http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Nongerminomatous Germ Cell Tumor<;>Yolk Sac Tumor,NCIT_C121619<;>NCIT_C3011,
NON-SEMINOMATOUS MIXED GERM CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C121619<;>http://purl.obolibrary.org/obo/NCIT_C4290,NCIT,Nongerminomatous Germ Cell Tumor<;>Mixed Germ Cell Tumor,NCIT_C121619<;>NCIT_C4290,
SPINDLE CELL/SCLEROSING RHABDOMYOSARCOMA,http://purl.obolibrary.org/obo/NCIT_C121654,NCIT,Spindle Cell/Sclerosing Rhabdomyosarcoma,NCIT_C121654,
SCLEROSING RHABDOMYOSARCOMA,http://purl.obolibrary.org/obo/NCIT_C121655,NCIT,Sclerosing Rhabdomyosarcoma,NCIT_C121655,
PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA,http://purl.obolibrary.org/obo/NCIT_C121668,NCIT,Pseudomyogenic Hemangioendothelioma,NCIT_C121668,
EPITHELIOID CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C121792,NCIT,Malignant PEComa,NCIT_C121792,
UNDIFFERENTIATED SARCOMA,http://purl.obolibrary.org/obo/NCIT_C121793,NCIT,Undifferentiated Soft Tissue Sarcoma,NCIT_C121793,
"ROUND CELL SARCOMA, OTHER",http://purl.obolibrary.org/obo/NCIT_C121799,NCIT,Round Cell Sarcoma,NCIT_C121799,
"ROUND CELL SARCOMA, NOS",http://purl.obolibrary.org/obo/NCIT_C121799,NCIT,Undifferentiated Round Cell Sarcoma,NCIT_C121799,
GIANT CELL TUMOR OF BONE,http://purl.obolibrary.org/obo/NCIT_C121932,NCIT,Giant Cell Tumor of Bone,NCIT_C121932,
CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C121955,NCIT,Clear Cell Papillary Renal Neoplasm,NCIT_C121955,
"SEROUS BORDERLINE OVARIAN TUMOR, MICROPAPILLARY",http://purl.obolibrary.org/obo/NCIT_C122585,NCIT,Borderline Ovarian Serous Tumor-Micropapillary Variant,NCIT_C122585,
ASCENDING COLON,http://purl.obolibrary.org/obo/NCIT_C12265,NCIT,Ascending Colon,NCIT_C12265,
HEPATIC FLEXURE,http://purl.obolibrary.org/obo/NCIT_C12266,NCIT,Hepatic Flexure,NCIT_C12266,
SPLENIC FLEXURE,http://purl.obolibrary.org/obo/NCIT_C12267,NCIT,Splenic Flexure,NCIT_C12267,
DESCENDING COLON,http://purl.obolibrary.org/obo/NCIT_C12268,NCIT,Descending Colon,NCIT_C12268,
CERVIX,http://purl.obolibrary.org/obo/NCIT_C12311,NCIT,Cervix Uteri,NCIT_C12311,
ENDOMETRIUM,http://purl.obolibrary.org/obo/NCIT_C12313,NCIT,Endometrium,NCIT_C12313,
LEPIDIC ADENOCARCINOMA 82503,http://purl.obolibrary.org/obo/NCIT_C123160,NCIT,Lepidic Adenocarcinoma,NCIT_C123160,
LEPIDIC,http://purl.obolibrary.org/obo/NCIT_C123160,NCIT,Lepidic Adenocarcinoma,NCIT_C123160,
OVARY/FALLOPIAN TUBE,http://purl.obolibrary.org/obo/NCIT_C12321,NCIT,Appendage of the Uterus,NCIT_C12321,
MAMMARY ANALOGUE SECRETORY CARCINOMA OF SALIVARY GLAND ORIGIN,http://purl.obolibrary.org/obo/NCIT_C123384,NCIT,Salivary Gland Secretory Carcinoma,NCIT_C123384,
FIRST RECURRENCE,http://purl.obolibrary.org/obo/NCIT_C123399,NCIT,First Relapse,NCIT_C123399,
BONE,http://purl.obolibrary.org/obo/NCIT_C12366,NCIT,Bone,NCIT_C12366,
 METASTATIC SITE: BONE,http://purl.obolibrary.org/obo/NCIT_C12366<;>http://purl.obolibrary.org/obo/NCIT_C172233,NCIT,Bone<;>Site of Metastasis,NCIT_C12366<;>NCIT_C172233,
ADENOCARCINOMA- PROSTATE; METASTATIC SITE: BONE;,http://purl.obolibrary.org/obo/NCIT_C12366<;>http://purl.obolibrary.org/obo/NCIT_C172233<;>http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Bone<;>Site of Metastasis<;>Prostate Adenocarcinoma,NCIT_C12366<;>NCIT_C172233<;>NCIT_C2919,
FUSION+ RMS,http://purl.obolibrary.org/obo/NCIT_C123735,NCIT,Fusion-Positive Rhabdomyosarcoma,NCIT_C123735,
FUSION- RMS,http://purl.obolibrary.org/obo/NCIT_C123736,NCIT,Fusion-Negative Rhabdomyosarcoma,NCIT_C123736,
BILE_DUCT,http://purl.obolibrary.org/obo/NCIT_C12376,NCIT,Bile Duct,NCIT_C12376,
CECUM,http://purl.obolibrary.org/obo/NCIT_C12381,NCIT,Cecum,NCIT_C12381,
COLON,http://purl.obolibrary.org/obo/NCIT_C12382,NCIT,Colon,NCIT_C12382,
SIGMOID COLON,http://purl.obolibrary.org/obo/NCIT_C12384,NCIT,Sigmoid Colon,NCIT_C12384,
TRANSVERSE COLON,http://purl.obolibrary.org/obo/NCIT_C12385,NCIT,Transverse Colon,NCIT_C12385,
JEJUNUM,http://purl.obolibrary.org/obo/NCIT_C12388,NCIT,Jejunum,NCIT_C12388,
ESOPHAGUS,http://purl.obolibrary.org/obo/NCIT_C12389,NCIT,Esophagus,NCIT_C12389,
RECTUM,http://purl.obolibrary.org/obo/NCIT_C12390,NCIT,Rectum,NCIT_C12390,
STOMACH,http://purl.obolibrary.org/obo/NCIT_C12391,NCIT,Stomach,NCIT_C12391,
LIVER,http://purl.obolibrary.org/obo/NCIT_C12392,NCIT,Liver,NCIT_C12392,
PANCREAS,http://purl.obolibrary.org/obo/NCIT_C12393,NCIT,Pancreas,NCIT_C12393,
THYROID,http://purl.obolibrary.org/obo/NCIT_C12400,NCIT,Thyroid Gland,NCIT_C12400,
OVARY,http://purl.obolibrary.org/obo/NCIT_C12404,NCIT,Ovary,NCIT_C12404,
PROSTATE,http://purl.obolibrary.org/obo/NCIT_C12410,NCIT,Prostate Gland,NCIT_C12410,
BLADDER/URINARY TRACT,http://purl.obolibrary.org/obo/NCIT_C12413,NCIT,Urinary System,NCIT_C12413,
URINARY_TRACT,http://purl.obolibrary.org/obo/NCIT_C12413,NCIT,Urinary System,NCIT_C12413,
BLADDER,http://purl.obolibrary.org/obo/NCIT_C12414,NCIT,Bladder,NCIT_C12414,
KIDNEY,http://purl.obolibrary.org/obo/NCIT_C12415,NCIT,Kidney,NCIT_C12415,
HEAD AND NECK,http://purl.obolibrary.org/obo/NCIT_C12418,NCIT,Head and Neck,NCIT_C12418,
TONGUE,http://purl.obolibrary.org/obo/NCIT_C12422,NCIT,Tongue,NCIT_C12422,
PHARYNX,http://purl.obolibrary.org/obo/NCIT_C12425,NCIT,Pharynx,NCIT_C12425,
SALIVARY_GLAND,http://purl.obolibrary.org/obo/NCIT_C12426,NCIT,Salivary Gland,NCIT_C12426,
CNS/BRAIN,http://purl.obolibrary.org/obo/NCIT_C12438<;>http://purl.obolibrary.org/obo/NCIT_C12439,NCIT,Central Nervous System<;>Brain,NCIT_C12438<;>NCIT_C12439,
BRAIN,http://purl.obolibrary.org/obo/NCIT_C12439,NCIT,Brain,NCIT_C12439,
 METASTATIC SITE: BRAIN,http://purl.obolibrary.org/obo/NCIT_C12439<;>http://purl.obolibrary.org/obo/NCIT_C172233,NCIT,Brain<;>Site of Metastasis,NCIT_C12439<;>NCIT_C172233,
PROSTATE; METASTATIC SITE: BRAIN; CARCINOMA PATIENT WITH METASTATIC CARCINOMA OF THE PROSTATE AND A 3 YEAR HISTORY OF LYMPHOCYTIC LEUKEMIA.,http://purl.obolibrary.org/obo/NCIT_C12439<;>http://purl.obolibrary.org/obo/NCIT_C172233<;>http://purl.obolibrary.org/obo/NCIT_C8946<;>http://purl.obolibrary.org/obo/NCIT_C7539,NCIT,Brain<;>Site of Metastasis<;>Metastatic Prostate Carcinoma<;>Lymphoid Leukemia,NCIT_C12439<;>NCIT_C172233<;>NCIT_C8946<;>NCIT_C7539,
CORTICAL,http://purl.obolibrary.org/obo/NCIT_C12443,NCIT,Cerebral Cortex,NCIT_C12443,
PERIPHERAL NERVOUS SYSTEM,http://purl.obolibrary.org/obo/NCIT_C12465,NCIT,Peripheral Nervous System,NCIT_C12465,
LUNG,http://purl.obolibrary.org/obo/NCIT_C12468,NCIT,Lung,NCIT_C12468,
PLEURA,http://purl.obolibrary.org/obo/NCIT_C12469,NCIT,Pleura,NCIT_C12469,
SKIN,http://purl.obolibrary.org/obo/NCIT_C12470,NCIT,Skin,NCIT_C12470,
SOFT TISSUE,http://purl.obolibrary.org/obo/NCIT_C12471,NCIT,Soft Tissue,NCIT_C12471,
SOFT_TISSUE,http://purl.obolibrary.org/obo/NCIT_C12471,NCIT,Soft Tissue,NCIT_C12471,
B-CELL,http://purl.obolibrary.org/obo/NCIT_C12474,NCIT,B-Lymphocyte,NCIT_C12474,
B_CELL,http://purl.obolibrary.org/obo/NCIT_C12474,NCIT,B-Lymphocyte,NCIT_C12474,
T-CELL,http://purl.obolibrary.org/obo/NCIT_C12476,NCIT,T-Lymphocyte,NCIT_C12476,
T_CELL,http://purl.obolibrary.org/obo/NCIT_C12476,NCIT,T-Lymphocyte,NCIT_C12476,
PDAC-CLEAR CELL,http://purl.obolibrary.org/obo/NCIT_C12478,NCIT,Clear Cell,NCIT_C12478,
CLEAR_CELL,http://purl.obolibrary.org/obo/NCIT_C12478,NCIT,Clear Cell,NCIT_C12478,
FIBROBLAST_UPPER_AERODIGESTIVE,http://purl.obolibrary.org/obo/NCIT_C12482<;>http://purl.obolibrary.org/obo/MONDO_0005398,NCIT,Fibroblast<;>upper aerodigestive tract,NCIT_C12482<;>MONDO_0005398,
FIBROBLAST_URINARY_TRACT,http://purl.obolibrary.org/obo/NCIT_C12482<;>http://purl.obolibrary.org/obo/NCIT_C12413,NCIT,Fibroblast<;>Urinary System,NCIT_C12482<;>NCIT_C12413,
FIBROBLAST_SOFT_TISSUE,http://purl.obolibrary.org/obo/NCIT_C12482<;>http://purl.obolibrary.org/obo/NCIT_C12471,NCIT,Fibroblast<;>Soft Tissue,NCIT_C12482<;>NCIT_C12471,
FIBROBLAST_LYMPHOCYTE,http://purl.obolibrary.org/obo/NCIT_C12482<;>http://purl.obolibrary.org/obo/NCIT_C12535,NCIT,Fibroblast<;>Lymphocyte,NCIT_C12482<;>NCIT_C12535,
FIBROBLAST_COLORECTAL,http://purl.obolibrary.org/obo/NCIT_C12482<;>http://purl.obolibrary.org/obo/NCIT_C13363,NCIT,Fibroblast<;>Colorectal,NCIT_C12482<;>NCIT_C13363,
SIGNET_RING_CELL,http://purl.obolibrary.org/obo/NCIT_C12487,NCIT,Signet Ring Cell,NCIT_C12487,
SMALL CELL,http://purl.obolibrary.org/obo/NCIT_C12488,NCIT,Small Cell,NCIT_C12488,
EPITHELIOID CELL,http://purl.obolibrary.org/obo/NCIT_C12559,NCIT,Epithelioid Cell,NCIT_C12559,
EPITHELIOID,http://purl.obolibrary.org/obo/NCIT_C12559,NCIT,Epithelioid Cell,NCIT_C12559,
EPITHELIOID CELLSPINDLE CELL,http://purl.obolibrary.org/obo/NCIT_C12559<;>http://purl.obolibrary.org/obo/NCIT_C27263,NCIT,Epithelioid Cell<;>Spindle Cell Neoplasm,NCIT_C12559<;>NCIT_C27263,
SPINDLE CELLEPITHELIOID CELL,http://purl.obolibrary.org/obo/NCIT_C12559<;>http://purl.obolibrary.org/obo/NCIT_C27263,NCIT,Epithelioid Cell<;>Spindle Cell Neoplasm,NCIT_C12559<;>NCIT_C27263,
"HIGH-GRADE B-CELL LYMPHOMA, WITH MYC AND BCL2 AND/OR BCL6 REARRANGEMENTS",http://purl.obolibrary.org/obo/NCIT_C125904,NCIT,High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements,NCIT_C125904,
GERM CELL,http://purl.obolibrary.org/obo/NCIT_C12597,NCIT,Germ Cell,NCIT_C12597,
GIANT_CELL,http://purl.obolibrary.org/obo/NCIT_C12607,NCIT,Giant Cell,NCIT_C12607,
CRIBIFORM MORULAR,http://purl.obolibrary.org/obo/NCIT_C126408,NCIT,Thyroid Gland Cribriform Morular Carcinoma,NCIT_C126408,
HIGH-GRADE SEROUS FALLOPIAN TUBE CANCER,http://purl.obolibrary.org/obo/NCIT_C126456,NCIT,Fallopian Tube High Grade Serous Adenocarcinoma,NCIT_C126456,
THYROID PAPILLARY CARCINOMA - FOLLICULAR >= 99% FOLLICULAR PATTERNED,http://purl.obolibrary.org/obo/NCIT_C126594,NCIT,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT_C126594,
PAPILLARY CARCINOMA: MIXED PAPILLARY AND FOLLICULAR VARIANT,http://purl.obolibrary.org/obo/NCIT_C126594,NCIT,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT_C126594,
ABDOMEN,http://purl.obolibrary.org/obo/NCIT_C12664,NCIT,Abdomen,NCIT_C12664,
ADRENAL GLAND,http://purl.obolibrary.org/obo/NCIT_C12666,NCIT,Adrenal Gland,NCIT_C12666,
ADRENAL,http://purl.obolibrary.org/obo/NCIT_C12666,NCIT,Adrenal Gland,NCIT_C12666,
UTERINE DEDIFFERENTIATED CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C126769,NCIT,Endometrial Dedifferentiated Carcinoma,NCIT_C126769,
BILIARY TRACT,http://purl.obolibrary.org/obo/NCIT_C12678,NCIT,Biliary Tract,NCIT_C12678,
DIAPHRAGM,http://purl.obolibrary.org/obo/NCIT_C12702,NCIT,Diaphragm,NCIT_C12702,
EXOCRINE,http://purl.obolibrary.org/obo/NCIT_C12712,NCIT,Exocrine Gland,NCIT_C12712,
BOWEL,http://purl.obolibrary.org/obo/NCIT_C12736,NCIT,Intestine,NCIT_C12736,
LYMPH NODE,http://purl.obolibrary.org/obo/NCIT_C12745,NCIT,Lymph Node,NCIT_C12745,
PERITONEUM,http://purl.obolibrary.org/obo/NCIT_C12770,NCIT,Peritoneum,NCIT_C12770,
EBER+ III,http://purl.obolibrary.org/obo/NCIT_C128833,NCIT,Epstein-Barr Virus Early RNA Positive,NCIT_C128833,
EBER+ - LIKELY II,http://purl.obolibrary.org/obo/NCIT_C128833,NCIT,Epstein-Barr Virus Early RNA Positive,NCIT_C128833,
EBER+ II,http://purl.obolibrary.org/obo/NCIT_C128833,NCIT,Epstein-Barr Virus Early RNA Positive,NCIT_C128833,
HPV+ SCC I OR II,http://purl.obolibrary.org/obo/NCIT_C128839<;>http://purl.obolibrary.org/obo/NCIT_C2929,NCIT,Human Papillomavirus Positive<;>Squamous Cell Carcinoma,NCIT_C128839<;>NCIT_C2929,
PH_POSITIVE,http://purl.obolibrary.org/obo/NCIT_C128843,NCIT,Philadelphia Chromosome Positive,NCIT_C128843,
LUNG MICROPAPILLARY ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C128847,NCIT,Lung Micropapillary Adenocarcinoma,NCIT_C128847,
MICROPAPILLARY ADENOCARCINOMA 82653,http://purl.obolibrary.org/obo/NCIT_C128847,NCIT,Lung Micropapillary Adenocarcinoma,NCIT_C128847,
"DIFFUSE ASTROCYTOMA, IDH-MUTANT",http://purl.obolibrary.org/obo/NCIT_C129271,NCIT,"Astrocytoma, IDH-Mutant, Grade 2",NCIT_C129271,
"ANAPLASTIC ASTROCYTOMA, IDH-MUTANT",http://purl.obolibrary.org/obo/NCIT_C129290,NCIT,"Astrocytoma, IDH-Mutant, Grade 3",NCIT_C129290,
"ANAPLASTIC ASTROCYTOMA, IDH-WILDTYPE",http://purl.obolibrary.org/obo/NCIT_C129291,NCIT,"Anaplastic Astrocytoma, IDH-Wildtype",NCIT_C129291,
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT",http://purl.obolibrary.org/obo/NCIT_C129309,NCIT,"Diffuse Midline Glioma, H3 K27M-Mutant",NCIT_C129309,
