"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"Chemoradiation","Chemoradiotherapy","NCIT:C94626","NCIT"
"Chemoradiation*","Chemoradiotherapy","NCIT:C94626","NCIT"
"Chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"Combination","PD-1 Ligand Inhibitor;Anti-CTLA-4 Monoclonal Antibody","NCIT:C156893;NCIT:C128036","NCIT;NCIT"
"Conformal RT","Radiotherapy, Conformal","OMIT:0020176","OMIT"
"DEFINITIVE_SURGICAL_PROCEDURE","Surgical Procedure","NCIT:C15329","NCIT"
"DLI","Donor Lymphocyte Infusion","NCIT:C16145","NCIT"
"DRUG","Pharmacologic Substance","NCIT:C1909","NCIT"
"Dissection","Dissection","NCIT:C15227","NCIT"
"ENDOCRINE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"EXCISION","Excision","NCIT:C15232","NCIT"
"Endocrinotherapy","Hormone Therapy","NCIT:C15445","NCIT"
"Farnesyltransferase inhibitor","Farnesyl Transferase Inhibitor","NCIT:C2020","NCIT"
"H2 Blockers","Histamine-2 Receptor Antagonist","NCIT:C29702","NCIT"
"HEPATECTOMY","Hepatectomy","NCIT:C15249","NCIT"
"HER2","HER2 Inhibitor","NCIT:C159156","NCIT"
"HORM","Hormone Therapy","NCIT:C15445","NCIT"
"HORMONAL_CONTRACEPTIVES","Hormonal Contraception","NCIT:C92808","NCIT"
"HORMONE","Hormone Therapy","NCIT:C15445","NCIT"
"HORMONE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"HYSTERECTOMY","Hysterectomy","NCIT:C15256","NCIT"
"ICI","Immune Checkpoint Inhibitor","NCIT:C143250","NCIT"
"IDO-1","IDO Inhibitor","NCIT:C141137","NCIT"
"IFN","Interferon Therapy","NCIT:C15469","NCIT"
"IGRT","Image Guided Radiation Therapy","NCIT:C62727","NCIT"
"IMMUNE","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNE_TREATMENT","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNO","Immunotherapy","NCIT:C15262","NCIT"
"IMMUNOSUPPRESSION","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"IMMUNOSUPPRESSIVE","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"IMMUNOTHERAPY","Immunotherapy","NCIT:C15262","NCIT"
"INTRAVESICAL","Intravesical Route of Administration","NCIT:C38278","NCIT"
"INTRAVESICAL_CHEMOTHERAPY","Intravesical Route of Administration;Chemotherapy","NCIT:C38278;NCIT:C15632","NCIT;NCIT"
"IO","Immunotherapy","NCIT:C15262","NCIT"
"IONIZING_RADIATION","Ionizing Radiation","NCIT:C17052","NCIT"
"IO_Combination","Multiple Agent Therapy;Immunotherapy","NCIT:C157515;NCIT:C15262","NCIT;NCIT"
"IO_Monotherapy","Single Agent Therapy;Immunotherapy","NCIT:C157514;NCIT:C15262","NCIT;NCIT"
"IO_THERAPY","Immunotherapy","NCIT:C15262","NCIT"
"IPCHEMO","Intraperitoneal Chemotherapy","NCIT:C15581","NCIT"
"IRRADIATION","Radiation Therapy","NCIT:C15313","NCIT"
"Immunotherapy","Immunotherapy","NCIT:C15262","NCIT"
"Incomplete Resection","Incomplete Resection (10-90%)","NCIT:C182305","NCIT"
"Interferon","Interferon Therapy","NCIT:C15469","NCIT"
"Interferon therapy","Interferon Therapy","NCIT:C15469","NCIT"
"Intrathecal","Intrathecal Route of Administration","NCIT:C38267","NCIT"
"KINASE_INHIBITOR","Protein Kinase Inhibitor","NCIT:C1404","NCIT"
"Kinase Inhibitor(s)","Kinase Inhibitor UCT-03-008","NCIT:C185428","NCIT"
"LAG-3","Anti-LAG-3 Monoclonal Antibody","NCIT:C134305","NCIT"
"LH-RH Analogon","Gonadotropin-releasing Hormone Analog","NCIT:C1910","NCIT"
"LUMPECTOMY","Lumpectomy","NCIT:C15755","NCIT"
"MAPKI","Mitogen-Activated Protein Kinase Inhibitor","NCIT:C2149","NCIT"
"MAPK_TX","Mitogen-Activated Protein Kinase Inhibitor","NCIT:C2149","NCIT"
"MASTECTOMY","Mastectomy","NCIT:C15277","NCIT"
"MEDICATION","Medication","NCIT:C459","NCIT"
"METASTASECTOMY","Metastasectomy","NCIT:C94461","NCIT"
"MICROTUBULE","Antimitotic Agent","NCIT:C273","NCIT"
"Medically Treated","Therapeutic Procedure","NCIT:C49236","NCIT"
"Mohs surgery","Mohs Surgery","NCIT:C28208","NCIT"
"Monoclonal Antibodies","Monoclonal Antibody","NCIT:C20401","NCIT"
"Monotherapy","PD-1 Ligand Inhibitor","NCIT:C156893","NCIT"
"NKG2A","Immunotherapeutic Agent","NCIT:C308","NCIT"
"NO_CHEMO","Chemotherapy Not Received","NCIT:C160337","NCIT"
"NTRK","TRK Inhibitor","NCIT:C155765","NCIT"
"NUCLEOSIDE","Nucleoside analog (substance)","714629005","SNOMED"
"Neck Dissection","Neck Dissection","NCIT:C15643","NCIT"
"Nonstandard Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"OTHER THERAPY","Other Therapy","NCIT:C15645","NCIT"
"OTHER_THERAPY","Other Therapy","NCIT:C15645","NCIT"
"OX40","Anti-OX40 Monoclonal Antibody","NCIT:C96040","NCIT"
"Other","Other","NCIT:C17649","NCIT"
"Other Therapy","Other Therapy","NCIT:C15645","NCIT"
"Other_Treatments","Other Therapy","NCIT:C15645","NCIT"
"PD-1","PD1 Inhibitor","NCIT:C124946","NCIT"
"PD-1/PDL-1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"PD-1/PDL-1_CTLA4_COMBO","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318;Anti-CTLA-4 Monoclonal Antibody","NCIT:C171938;NCIT:C128036","NCIT;NCIT"
"PD-L1","PD-1 Ligand Inhibitor","NCIT:C156893","NCIT"
"PD1","PD1 Inhibitor","NCIT:C124946","NCIT"
"PD1_INHIBITOR","PD1 Inhibitor","NCIT:C124946","NCIT"
"PD1_Yes","PD1 Inhibitor","NCIT:C124946","NCIT"
"PHARM","Pharmacotherapy","NCIT:C15986","NCIT"
"PHARMACEUTICAL","Pharmacotherapy","NCIT:C15986","NCIT"
"PROCEDURE","Physical Medical Procedure","NCIT:C98769","NCIT"
"PROSTATECTOMY","Prostatectomy","NCIT:C15307","NCIT"
"Pharmaceutical","Pharmacotherapy","NCIT:C15986","NCIT"
"Proton Pump Inhibitors","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"RAD","Radiation Therapy","NCIT:C15313","NCIT"
"RADIATION","Radiation Therapy","NCIT:C15313","NCIT"
"RADIATION (NOS)","Radiation Therapy","NCIT:C15313","NCIT"
"RADIATION_NA|Yes","Radiation Therapy","NCIT:C15313","NCIT"
"RADIATION_Yes","Radiation Therapy","NCIT:C15313","NCIT"
"RADIOTHERAPY","Radiation Therapy","NCIT:C15313","NCIT"
"RADIO_THERAPY","Radiation Therapy","NCIT:C15313","NCIT"
"RT","Radiation Therapy","NCIT:C15313","NCIT"
"Rad","Radiation Therapy","NCIT:C15313","NCIT"
"Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"Radiation (NOS)","Radiation Therapy","NCIT:C15313","NCIT"
"Radiation Therapy","Radiation Therapy","NCIT:C15313","NCIT"
"Radiation outside","Radiation Therapy;External","NCIT:C15313;NCIT:C44280","NCIT;NCIT"
"Radiation_Therapy","Radiation Therapy","NCIT:C15313","NCIT"
"Radiotherapy","Radiation Therapy","NCIT:C15313","NCIT"
"Resection","Resection","NCIT:C158758","NCIT"
"SALICYLATES_Yes","Salicylates","OMIT:0013364","OMIT"
"SKIN LESION BIOPSY","Skin Biopsy","NCIT:C51692","NCIT"
"STEROID","Steroid Therapy","NCIT:C15370","NCIT"
"STEROIDS","Steroid Therapy","NCIT:C15370","NCIT"
"SURGERY","Surgical Procedure","NCIT:C15329","NCIT"
"SURGICAL_PROCEDURE","Surgical Procedure","NCIT:C15329","NCIT"
"SYSTEMIC","Systemic Therapy","NCIT:C15698","NCIT"
"SYSTEMIC_CHEMO","Systemic Chemotherapy","NCIT:C64261","NCIT"
"SYSTEMIC_THERAPIES","Systemic Therapy","NCIT:C15698","NCIT"
"SYSTEMIC_THERAPY","Systemic Therapy","NCIT:C15698","NCIT"
"Standard Chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"Standard Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"Stem Cell Transplant","Hematopoietic Cell Transplantation","NCIT:C15431","NCIT"
"Supportive/Palliative Care","Supportive Care;Palliative Therapy","NCIT:C15747;NCIT:C15292","NCIT;NCIT"
"Surgery","Surgical Procedure","NCIT:C15329","NCIT"
"Surgically Treated","Surgical Procedure","NCIT:C15329","NCIT"
"TARGETED","Targeted Therapy","NCIT:C93352","NCIT"
"TARGETED_MOLECULAR","Targeted Molecular Therapy","NCIT:C76243","NCIT"
"TARGETED_MOLECULAR_THERAPY","Targeted Molecular Therapy","NCIT:C76243","NCIT"
"TARGETED_THERAPY","Targeted Therapy","NCIT:C93352","NCIT"
"TARGET_THERAPY","Targeted Therapy","NCIT:C93352","NCIT"
"TAXANE","Taxane Compound","NCIT:C1490","NCIT"
"THC Chemotherapy","Tetrahydrocannabinol (substance);Chemotherapy","72024007;NCIT:C15632","SNOMED;NCIT"
"THERAPY","Therapeutic Procedure","NCIT:C49236","NCIT"
"TKI_TREATMENT","Tyrosine Kinase Inhibitor","NCIT:C1967","NCIT"
"TMZ Chemo","Temozolomide","NCIT:C1244","NCIT"
"TMZ Chemoradiation","Temozolomide;Chemoradiotherapy","NCIT:C1244;NCIT:C94626","NCIT;NCIT"
"TRANSPLANT","Graft","NCIT:C12981","NCIT"
"Targeted Therapy","Targeted Therapy","NCIT:C93352","NCIT"
"Targeted Therapy - Other","Targeted Therapy","NCIT:C93352","NCIT"
"Targeted_Therapy","Targeted Therapy","NCIT:C93352","NCIT"
"Taxane treatment","Taxane Compound","NCIT:C1490","NCIT"
"Transplant","Graft","NCIT:C12981","NCIT"
"UNo Prior Taxane Treatment","No Therapy;Prior;Taxane Compound","NCIT:C157513;NCIT:C25629;NCIT:C1490","NCIT;NCIT;NCIT"
"UV","UV Light Therapy","NCIT:C15344","NCIT"
"Unspecified Radiation","Radiation Therapy","NCIT:C15313","NCIT"
"Unspecified Therapy","Unspecified;Therapeutic Procedure","NCIT:C38046;NCIT:C49236","NCIT;NCIT"
"VEGF_INHIBITOR","Immunotherapeutic Agent","NCIT:C308","NCIT"
"Vaccine","Vaccine","NCIT:C923","NCIT"
"XRT","Radiation Therapy","NCIT:C15313","NCIT"
"Xrt","Radiation Therapy","NCIT:C15313","NCIT"
"active surveillance","Patient Observation","NCIT:C15722","NCIT"
"anti-CTLA-4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"anti-PD-1/PD-L1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"anti-PD-1/anti-PD-L1","Anti-PD-1/Anti-PD-L1 Bispecific Antibody IBI318","NCIT:C171938","NCIT"
"anti-PD1","Anti-PD1 Monoclonal Antibody","NCIT:C128037","NCIT"
"chemo","Chemotherapy","NCIT:C15632","NCIT"
"chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"hospice","Hospice","NCIT:C53532","NCIT"
"pd1","PD1 Inhibitor","NCIT:C124946","NCIT"
"quad shot RT","Cyclical Hypofractionated Radiotherapy","NCIT:C172159","NCIT"
"rad001","Everolimus","NCIT:C48387","NCIT"
"radiation","Radiation Therapy","NCIT:C15313","NCIT"
"radiation therapy","Radiation Therapy","NCIT:C15313","NCIT"
"radiotherapy","Radiation Therapy","NCIT:C15313","NCIT"
"surgery","Surgical Procedure","NCIT:C15329","NCIT"
"surveillance","Surveillance","NCIT:C15719","NCIT"
"taxanes","Taxane Compound","NCIT:C1490","NCIT"
"whole brain radiation therapy","Whole-Brain Radiotherapy","NCIT:C16187","NCIT"
