original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
W/NAT AMER,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C41259,NCIT,White;American Indian or Alaska Native,NCIT_C41261;NCIT_C41259
"AMERICAN INDIAN, ALEUTIAN, ESKIMO",http://purl.obolibrary.org/obo/NCIT_C41259;http://purl.obolibrary.org/obo/NCIT_C43389;http://purl.obolibrary.org/obo/NCIT_C43390,NCIT,American Indian or Alaska Native;Aleutian;Eskimo,NCIT_C41259;NCIT_C43389;NCIT_C43390
ASIAN INDIAN PAKISTANI,http://purl.obolibrary.org/obo/NCIT_C41262;http://purl.obolibrary.org/obo/NCIT_C43427;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian Indian;Pakistani;Asian,NCIT_C41262;NCIT_C43427;NCIT_C41260
EASTASIAN,http://purl.obolibrary.org/obo/NCIT_C161419;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,East Asian;Asian,NCIT_C161419;NCIT_C41260
ASIAN: FAR EAST/INDIAN,http://purl.obolibrary.org/obo/NCIT_C161419;http://purl.obolibrary.org/obo/NCIT_C41262;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,East Asian;Asian Indian;Asian,NCIT_C161419;NCIT_C41262;NCIT_C41260
WHITE-BRITISH,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/HANCESTRO_0462,NCIT;HANCESTRO,White;British,NCIT_C41261;HANCESTRO_0462
WHITE-IRISH,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C43856,NCIT,White;Irish,NCIT_C41261;NCIT_C43856
"BLACK/AFRICAN, WHITE/CAUCASIAN",http://purl.obolibrary.org/obo/NCIT_C42331;http://purl.obolibrary.org/obo/NCIT_C128938;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,African;Black;White,NCIT_C42331;NCIT_C128938;NCIT_C41261
"ASIAN, WHITE/CAUCASIAN",http://purl.obolibrary.org/obo/NCIT_C41260;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,Asian;White,NCIT_C41260;NCIT_C41261
ASIAN/FILIPINO,http://purl.obolibrary.org/obo/NCIT_C43393;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Filipino;Asian,NCIT_C43393;NCIT_C41260
NH/C,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,White;Not Hispanic or Latino,NCIT_C41261;NCIT_C41222
NH/B,http://purl.obolibrary.org/obo/NCIT_C128938;http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Black;Not Hispanic or Latino,NCIT_C128938;NCIT_C41222
NH/A,http://purl.obolibrary.org/obo/NCIT_C41260;http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Asian;Not Hispanic or Latino,NCIT_C41260;NCIT_C41222
NHC,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,White;Not Hispanic or Latino,NCIT_C41261;NCIT_C41222
NH/AA,http://purl.obolibrary.org/obo/NCIT_C128937;http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,African American;Not Hispanic or Latino,NCIT_C128937;NCIT_C41222
SLAVIC,http://purl.obolibrary.org/obo/NCIT_C77819;http://purl.obolibrary.org/obo/NCIT_C43851;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,Eastern European;European;White,NCIT_C77819;NCIT_C43851;NCIT_C41261
WHITE,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
HISPANIC OR LATINO,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
BLACK OR AFRICAN AMERICAN,http://purl.obolibrary.org/obo/NCIT_C128937;http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,African American;Black,NCIT_C128937;NCIT_C128938
NOT HISPANIC OR LATINO,http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
ASIAN,http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
NON-HISPANIC,http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
HISPANIC,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
AMERICAN INDIAN OR ALASKA NATIVE,http://purl.obolibrary.org/obo/NCIT_C41259,NCIT,American Indian or Alaska Native,NCIT_C41259
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,http://purl.obolibrary.org/obo/NCIT_C41219,NCIT,Native Hawaiian or Other Pacific Islander,NCIT_C41219
CHINESE,http://purl.obolibrary.org/obo/NCIT_C43391;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Chinese;Asian,NCIT_C43391;NCIT_C41260
INDIAN,http://purl.obolibrary.org/obo/NCIT_C41262;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian Indian;Asian,NCIT_C41262;NCIT_C41260
MALAY,http://purl.obolibrary.org/obo/NCIT_C43716;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Malaysian;Asian,NCIT_C43716;NCIT_C41260
CAUCASIAN,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
AFRICAN AMERICAN,http://purl.obolibrary.org/obo/NCIT_C128937,NCIT,African American,NCIT_C128937
BRAZIL,http://purl.obolibrary.org/obo/HANCESTRO_0352,HANCESTRO,Brazilian,HANCESTRO_0352
CHINA,http://purl.obolibrary.org/obo/NCIT_C43391;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Chinese;Asian,NCIT_C16428;NCIT_C41260
FRANCE,http://purl.obolibrary.org/obo/NCIT_C43854;http://purl.obolibrary.org/obo/NCIT_C43851;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,French;European;White,NCIT_C43854;NCIT_C43851;NCIT_C41261
ITALY,http://purl.obolibrary.org/obo/NCIT_C43857;http://purl.obolibrary.org/obo/NCIT_C43851;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,Italian;European;White,NCIT_C43857;NCIT_C43851;NCIT_C41261
JAPAN,http://purl.obolibrary.org/obo/NCIT_C43392;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Japanese;Asian,NCIT_C43392;NCIT_C41260
ROMANIA,http://purl.obolibrary.org/obo/HANCESTRO_0385;http://purl.obolibrary.org/obo/NCIT_C43851;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,Romanian;European;White,HANCESTRO_0385;NCIT_C43851;NCIT_C41261
SINGAPORE,http://purl.obolibrary.org/obo/NCIT_C43721;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Singaporean;Asian,NCIT_C43721;NCIT_C41260
THAILAND,http://purl.obolibrary.org/obo/NCIT_C43400;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Thai;Asian,NCIT_C43400;NCIT_C41260
TAIWAN,http://purl.obolibrary.org/obo/NCIT_C43675;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Taiwanese;Asian,NCIT_C43675;NCIT_C41260
EUROPEAN,http://purl.obolibrary.org/obo/NCIT_C43851,NCIT,European,NCIT_C43851
AFRICAN,http://purl.obolibrary.org/obo/NCIT_C42331,NCIT,African,NCIT_C42331
HAN,http://purl.obolibrary.org/obo/NCIT_C158158;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Han Chinese;Asian,NCIT_C158158;NCIT_C41260
BLACK,http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,Black,NCIT_C128938
ASIAN INDIAN,http://purl.obolibrary.org/obo/NCIT_C41262;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian Indian;Asian,NCIT_C41262;NCIT_C41260
CARIBBEAN,http://purl.obolibrary.org/obo/HANCESTRO_0048;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Caribbean;Hispanic or Latino,HANCESTRO_0048;NCIT_C17459
AFR,http://purl.obolibrary.org/obo/NCIT_C42331,NCIT,African,NCIT_C42331
AMR,http://purl.obolibrary.org/obo/NCIT_C128457,NCIT,American Ethnicity,NCIT_C128457
KOREAN,http://purl.obolibrary.org/obo/NCIT_C43395;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Korean;Asian,NCIT_C43395;NCIT_C41260
NORTH AFRICAN,http://purl.obolibrary.org/obo/NCIT_C126529,NCIT,North African,NCIT_C126529
AMERICAN INDIAN,http://purl.obolibrary.org/obo/NCIT_C43877,NCIT,American Indian,NCIT_C43877
TURKISH,http://purl.obolibrary.org/obo/HANCESTRO_0451,NCIT,Turkish,HANCESTRO_0451
PUERTORICAN,http://purl.obolibrary.org/obo/NCIT_C67112;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Puerto Rican;Hispanic or Latino,NCIT_C67112;NCIT_C17459
HAWAIIAN,http://purl.obolibrary.org/obo/NCIT_C43394,NCIT,Native Hawaiian,NCIT_C43394
PUERTO RICAN,http://purl.obolibrary.org/obo/NCIT_C67112;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Puerto Rican;Hispanic or Latino,NCIT_C67112;NCIT_C17459
PAKISTAN,http://purl.obolibrary.org/obo/NCIT_C43427;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Pakistani;Asian,NCIT_C43427;NCIT_C41260
NATIVE AMERICAN,http://purl.obolibrary.org/obo/NCIT_C41259,NCIT,American Indian or Alaska Native,NCIT_C41259
DOMINICAN REPUBLIC,http://purl.obolibrary.org/obo/NCIT_C67117;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Dominican;Hispanic or Latino,NCIT_C67117;NCIT_C17459
CUBAN,http://purl.obolibrary.org/obo/NCIT_C107608;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Cuban;Hispanic or Latino,NCIT_C107608;NCIT_C17459
FILIPINO,http://purl.obolibrary.org/obo/NCIT_C43393;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Filipino;Asian,NCIT_C43393;NCIT_C41260
UNK,,,,
EAST ASIAN,http://purl.obolibrary.org/obo/NCIT_C161419;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,East Asian;Asian,NCIT_C161419;NCIT_C41260
SOUTH ASIAN,http://purl.obolibrary.org/obo/NCIT_C41263;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,South Asian;Asian,NCIT_C41263;NCIT_C41260
MEXICAN,http://purl.obolibrary.org/obo/NCIT_C67113;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Mexican;Hispanic or Latino,NCIT_C67113;NCIT_C17459
LAOTIAN,http://purl.obolibrary.org/obo/NCIT_C43397;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Laotian;Asian,NCIT_C43397;NCIT_C41260
SAMOAN,http://purl.obolibrary.org/obo/NCIT_C43407,NCIT,Samoan,NCIT_C43407
OTHER ASIAN,http://purl.obolibrary.org/obo/NCIT_C107601;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Other Asian;Asian,NCIT_C107601;NCIT_C41260
FIJI ISLANDER,http://purl.obolibrary.org/obo/NCIT_C43410,NCIT,Fiji Islander,NCIT_C43410
,,,,
"WHITE,OTHER",http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
"WHITE, OTHER",http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
KOREA,http://purl.obolibrary.org/obo/NCIT_C43395;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Korean;Asian,NCIT_C43395;NCIT_C41260
WHITECAUCASIAN,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
AFRICAN AMERICANHAITAN,http://purl.obolibrary.org/obo/NCIT_C43825;http://purl.obolibrary.org/obo/NCIT_C128937,NCIT,Haitian;African American,NCIT_C43825;NCIT_C128937
CASUCASIAN,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
WHITE/CAUCASIAN,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
BLACK/AFRICAN,http://purl.obolibrary.org/obo/NCIT_C42331;http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,African;Black,NCIT_C42331;NCIT_C128938
PACIFIC ISLANDER,http://purl.obolibrary.org/obo/NCIT_C41219,NCIT,Native Hawaiian or Other Pacific Islander,NCIT_C41219
WHITE-OTHER,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
EUR,http://purl.obolibrary.org/obo/NCIT_C43851,NCIT,European,NCIT_C43851
ASN,http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
AFRICAN-AMERICAN,http://purl.obolibrary.org/obo/NCIT_C128937,NCIT,African American,NCIT_C128937
NOT-HISPANIC OR LATINO,http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
"NON-SPANISH,NON-HISPANIC",http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
"NON-SPANISH, NON-HISPANIC",http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
HAN NATIONALITY,http://purl.obolibrary.org/obo/NCIT_C158158;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Han Chinese;Asian,NCIT_C158158;NCIT_C41260
MONGOL NATIONALITY,http://purl.obolibrary.org/obo/NCIT_C158167;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Mongol Chinese;Asian,NCIT_C158167;NCIT_C41260
SALAR NATIONALITY,http://purl.obolibrary.org/obo/NCIT_C158192;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Salar Chinese;Asian,NCIT_C158192;NCIT_C41260
"SPANISH NOS, HISPANIC NOS, LATINO NOS",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
"HISPANIC NOS, LATINO NOS",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
ASIAN-FAR EAST/INDIAN SUBCONT,http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
NATIVE HAWAIIAN OR PACIFIC ISL,http://purl.obolibrary.org/obo/NCIT_C41219,NCIT,Native Hawaiian or Other Pacific Islander,NCIT_C41219
MEXICAN INCLUDES CHICANO,http://purl.obolibrary.org/obo/NCIT_C67113;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Mexican;Hispanic or Latino,NCIT_C67113;NCIT_C17459
"OTHER SPANISH/HISPANICINCL EUROPEAN, EXCL DOM REP",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
U,,,,
"OTHER ASIAN, INCLUDING ASIAN, NOS AND ORIENTAL, NOS",http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
"SPANISH, NOS HISPANIC, NOS LATINO,",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
UNK/C,http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
UNK/B,http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,Black,NCIT_C128938
"ASIAN, NOS",http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
OTHER HISPANIC,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
MIXED OR UNKNOWN,,,,
NOS HISPANIC,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
BLACK/AA,http://purl.obolibrary.org/obo/NCIT_C128937;http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,African American;Black,NCIT_C128937;NCIT_C128938
"OTHER ASIAN, ASIAN, NOS",http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian,NCIT_C41260
"SPANISH, NOS HISPANIC, NOS LATINO, ",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
" WHITE, OTHER ",http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,White,NCIT_C41261
NON-SPANISH,http://purl.obolibrary.org/obo/NCIT_C41222,NCIT,Not Hispanic or Latino,NCIT_C41222
"SPANISH  NOS, HISPANIC NOS, LATINO NOS",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
NA,,,,
