"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"T-Lymphoblastic Leukemia/Lymphoma","T Lymphoblastic Leukemia/Lymphoma","NCIT:C8694","NCIT"
"Hodgkin Lymphoma","Hodgkin Lymphoma","NCIT:C9357","NCIT"
"Extrahepatic Cholangiocarcinoma",NA,NA,NA
"Breast Angiosarcoma","Breast Angiosarcoma","NCIT:C5184","NCIT"
"Breast Invasive Carcinoma",NA,NA,NA
"Atypical Teratoid/Rhabdoid Tumor","Atypical Teratoid/Rhabdoid Tumor","NCIT:C6906","NCIT"
"Craniopharyngioma, Adamantinomatous Type",NA,NA,NA
"Ependymomal Tumor","ependymal tumor","MONDO:0003266","MONDO"
"Ganglioglioma","Ganglioglioma","NCIT:C3788","NCIT"
"Pediatric High Grade Gliomas",NA,NA,NA
"Pediatric Low Grade Gliomas",NA,NA,NA
"Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","NCIT:C4028","NCIT"
"Endocervical Adenocarcinoma","endocervical adenocarcinoma","MONDO:0000554","MONDO"
"Cervical Adenosquamous Carcinoma","Cervical Adenosquamous Carcinoma","NCIT:C4519","NCIT"
"Cervical Endometrioid Carcinoma","Cervical Endometrioid Adenocarcinoma","NCIT:C6343","NCIT"
"Cervix","Cervix Uteri","NCIT:C12311","NCIT"
"Colon Adenocarcinoma","Colon Adenocarcinoma","NCIT:C4349","NCIT"
"Mucinous Adenocarcinoma of the Colon and Rectum",NA,NA,NA
"Rectal Adenocarcinoma","Rectal Adenocarcinoma","NCIT:C9383","NCIT"
"Intrahepatic Cholangiocarcinoma","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT"
"Cholangiocarcinoma","Cholangiocarcinoma","NCIT:C4436","NCIT"
"Cutaneous Squamous Cell Carcinoma","cutaneous squamous cell carcinoma","EFO:1001927","EFO"
"Sezary Syndrome","Sezary Syndrome","NCIT:C3366","NCIT"
"Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma",NA,NA,NA
"Mycosis Fungoides","Mycosis Fungoides","NCIT:C3246","NCIT"
"Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders",NA,NA,NA
"Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","NCIT:C27911","NCIT"
"Monoclonal B-Cell Lymphocytosis","Monoclonal B-Cell Lymphocytosis","NCIT:C80310","NCIT"
"Prostate","Prostate Gland","NCIT:C12410","NCIT"
"Diffuse Large B-Cell Lymphoma","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT"
"Mature B-Cell Neoplasms",NA,NA,NA
"Esophagus/Stomach",NA,NA,NA
"Desmoplastic Melanoma","Desmoplastic Melanoma","NCIT:C37257","NCIT"
"Gallbladder Cancer","gallbladder cancer","MONDO:0005411","MONDO"
"Glioblastoma","Glioblastoma","NCIT:C3058","NCIT"
"Diffuse Glioma","Diffuse Glioma","NCIT:C129325","NCIT"
"Diffuse Astrocytoma","Diffuse Astrocytoma","NCIT:C7173","NCIT"
"Anaplastic Astrocytoma","Anaplastic Astrocytoma","NCIT:C9477","NCIT"
"Oligodendroglioma","Oligodendroglioma","NCIT:C3288","NCIT"
"Anaplastic Oligodendroglioma","Anaplastic Oligodendroglioma","NCIT:C4326","NCIT"
"Chromophobe Renal Cell Carcinoma","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT"
"Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT"
"Papillary Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","NCIT:C6975","NCIT"
"Chromophobe Renal Cell CarcinomaÂ ",NA,NA,NA
"Head and Neck Squamous Cell CarcinomaÃŠ",NA,NA,NA
"Hepatocellular Adenoma","Hepatocellular Adenoma","NCIT:C3758","NCIT"
"Histiocytic and Dendritic Cell Neoplasms","Histiocytic and Dendritic Cell Neoplasm","NCIT:C9294","NCIT"
"Oligoastrocytoma","Oligoastrocytoma","NCIT:C4050","NCIT"
"Anaplastic Oligoastrocytoma","Anaplastic Oligoastrocytoma","NCIT:C6959","NCIT"
"Astrocytoma","Astrocytoma","NCIT:C60781","NCIT"
"Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma","carcinoma of liver and intrahepatic biliary tract","MONDO:0018531","MONDO"
"Fibrolamellar Carcinoma","Fibrolamellar Carcinoma","NCIT:C4131","NCIT"
"Liver Cancer, NOS",NA,NA,NA
"Lung Adenocarcinoma","Lung Adenocarcinoma","NCIT:C3512","NCIT"
"Lung Squamous Cell Carcinoma","Lung Squamous Cell Carcinoma","NCIT:C3493","NCIT"
"Heptocellular Carcinoma",NA,NA,NA
"Non-Hodgkin Lymphoma","Non-Hodgkin Lymphoma","NCIT:C3211","NCIT"
"Anaplastic Large Cell Lymphoma","Anaplastic Large Cell Lymphoma","NCIT:C3720","NCIT"
"Lymphoid","Lymphoid","NCIT:C13810","NCIT"
"Pleural Mesothelioma","Pleural Mesothelioma","NCIT:C9351","NCIT"
"Pleural Mesothelioma, Biphasic Type",NA,NA,NA
"Pleural Mesothelioma, Sarcomatoid Type",NA,NA,NA
"Neuroblastoma","Neuroblastoma","NCIT:C3270","NCIT"
"Mantle Cell Lymphoma","Mantle Cell Lymphoma","NCIT:C4337","NCIT"
"Myelodysplastic Syndromes","Myelodysplastic Syndrome","NCIT:C3247","NCIT"
"Chronic Myelomonocytic Leukemia","Chronic Myelomonocytic Leukemia","NCIT:C3178","NCIT"
"Acral Melanoma","Acral Lentiginous Melanoma","NCIT:C4022","NCIT"
"Melanoma","Melanoma","NCIT:C3224","NCIT"
"Anal Squamous Cell Carcinoma","Anal Squamous Cell Carcinoma","NCIT:C9161","NCIT"
"Oropharynx Squamous Cell Carcinoma","oropharynx squamous cell carcinoma","MONDO:0044704","MONDO"
"Sinonasal Squamous Cell Carcinoma","Sinonasal Squamous Cell Carcinoma","NCIT:C68611","NCIT"
"Oral Cavity Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","NCIT:C4833","NCIT"
"Larynx Squamous Cell Carcinoma","Laryngeal Squamous Cell Carcinoma","NCIT:C4044","NCIT"
"Melanoma of Unknown Primary","Melanoma of Unknown Primary","NCIT:C154473","NCIT"
"Lentigo Maligna Melanoma","Lentigo Maligna Melanoma","NCIT:C9151","NCIT"
"Uveal Melanoma","Uveal Melanoma","NCIT:C7712","NCIT"
"Leiomyosarcoma","Leiomyosarcoma","NCIT:C3158","NCIT"
"Myeloproliferative Neoplasms","myeloproliferative neoplasm","MONDO:0020076","MONDO"
"Myeloid Neoplasm","Myeloid Neoplasm","NCIT:C9290","NCIT"
"High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements",NA,NA,NA
"Follicular Lymphoma","Follicular Lymphoma","NCIT:C3209","NCIT"
"High-Grade B-Cell Lymphoma, NOS","High Grade B-Cell Lymphoma, Not Otherwise Specified","NCIT:C80291","NCIT"
"Marginal Zone Lymphoma","Marginal Zone Lymphoma","NCIT:C4341","NCIT"
"AML with mutated NPM1","Acute Myeloid Leukemia with Mutated NPM1","NCIT:C82431","NCIT"
"Acute myelomonocytic leukemia","Acute myelomonocytic leukemia","HP:0004820","HP"
"AML with minimal differentiation","Acute Myeloid Leukemia with Minimal Differentiation","NCIT:C8460","NCIT"
"Mastocytosis","Mastocytosis","NCIT:C84269","NCIT"
"AML, NOS","Acute Myeloid Leukemia Not Otherwise Specified","NCIT:C27753","NCIT"
"AML with t(6;9)(p23;q34.1);DEK-NUP214","Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214","NCIT:C82423","NCIT"
"AML with Biallelic Mutations of CEBPA","Acute Myeloid Leukemia with Biallelic Mutations of CEBPA","NCIT:C129782","NCIT"
"AML with myelodysplasia-related changes","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","NCIT:C7600","NCIT"
"AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","NCIT:C9287","NCIT"
"AML with maturation","Acute Myeloid Leukemia with Maturation","NCIT:C3250","NCIT"
"APL with PML-RARA","Childhood Acute Promyelocytic Leukemia with PML-RARA","NCIT:C7968","NCIT"
"AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1",NA,NA,NA
"Therapy-related myeloid neoplasms","therapy-related myeloid neoplasm","MONDO:0006450","MONDO"
"Acute monoblastic/monocytic leukemia","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT"
"AML with t(9;11)(p22;q23); MLLT3-MLL","Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL","NCIT:C82403","NCIT"
"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT"
"MDS with Excess Blasts",NA,NA,NA
"Pure Erythroid Leukemia","Pure Erythroid Leukemia","NCIT:C7467","NCIT"
"MDS, Unclassifiable","myelodysplastic syndrome","EFO:0000198","EFO"
"Mixed Phenotype Acute Leukemia, T/Myeloid, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified","NCIT:C82213","NCIT"
"Atypical Chronic Myeloid Leukemia, BCR-ABL1-",NA,NA,NA
"Acute undifferentiated leukaemia",NA,NA,NA
"Blastic plasmacytoid dendritic cell neoplasm","blastic plasmacytoid dendritic cell neoplasm","EFO:0010580","EFO"
"AML without maturation","Acute Myeloid Leukemia without Maturation","NCIT:C3249","NCIT"
"Essential thrombocythemia","Essential Thrombocythemia","NCIT:C3407","NCIT"
"Acute megakaryoblastic leukemia","acute megakaryoblastic leukemia","MONDO:0018872","MONDO"
"MDS with Multilineage Dysplasia",NA,NA,NA
"MDS with isolated del(5q)",NA,NA,NA
"Myeloid sarcoma","Myeloid Sarcoma","NCIT:C3520","NCIT"
"Myeloid Leukemia Associated with Down Syndrome","Myeloid Leukemia Associated with Down Syndrome","NCIT:C43223","NCIT"
"Primary myelofibrosis","Primary Myelofibrosis","NCIT:C2862","NCIT"
"AML with Myelodysplasia-Related Changes","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","NCIT:C7600","NCIT"
"Polycythemia Vera","Polycythemia Vera","NCIT:C3336","NCIT"
"Mixed Phenotype Acute Leukemia, B/Myeloid, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified","NCIT:C82212","NCIT"
"Therapy-Related Myelodysplastic Syndrome","Therapy-Related Myelodysplastic Syndrome","NCIT:C27722","NCIT"
"Essential Thrombocythemia","Essential Thrombocythemia","NCIT:C3407","NCIT"
"MDS with excess blasts-2",NA,NA,NA
"Polycythaemia Vera Myelofibrosis",NA,NA,NA
"Primary Myelofibrosis,Overt Fibrotic Stage",NA,NA,NA
"MDS with Ring Sideroblasts and Multilineage Dysplasia",NA,NA,NA
"MDS with excess blasts-1",NA,NA,NA
"MDS with Single Lineage Dysplasia","refractory anemia","EFO:0003802","EFO"
"MDS with Ring Sideroblasts and Single Lineage Dysplasia",NA,NA,NA
"AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11",NA,NA,NA
"MDS with Ring Sideroblasts","refractory anemia with ringed sideroblasts","EFO:0003812","EFO"
"Chronic Myeloid Leukemia, BCR-ABL1+",NA,NA,NA
"AML with Mutated RUNX1",NA,NA,NA
"Essential Thrombocythemia Myelofibrosis",NA,NA,NA
"Acute Leukemias of Ambiguous Lineage",NA,NA,NA
"Myelodysplastic/Myeloproliferative Neoplasms","Myelodysplastic/Myeloproliferative Neoplasm","EFO:1000388","EFO"
"MDS/MPN with Ring Sideroblasts and Thrombocytosis","Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis","NCIT:C82616","NCIT"
"MDSMPN",NA,NA,NA
"Peritoneal Mesothelioma","Peritoneal Mesothelioma","NCIT:C7633","NCIT"
"Other Uterine Tumor",NA,NA,NA
"Bladder Adenocarcinoma","Bladder Adenocarcinoma","NCIT:C4032","NCIT"
"Esophagogastric Adenocarcinoma","gastroesophageal junction adenocarcinoma","MONDO:0003219","MONDO"
"Clear Cell Borderline Ovarian Tumor",NA,NA,NA
"Endometrial Stromal Sarcoma","endometrial stromal sarcoma","EFO:1000919","EFO"
"Choriocarcinoma","Choriocarcinoma","NCIT:C2948","NCIT"
"Atypical Lung Carcinoid",NA,NA,NA
"Biliary Tract","Biliary Tract","NCIT:C12678","NCIT"
"Fibrothecoma","fibrothecoma","MONDO:0700036","MONDO"
"Colon Adenocarcinoma In Situ",NA,NA,NA
"Combined Small Cell Lung Carcinoma","combined small cell lung carcinoma","MONDO:0003438","MONDO"
"Gastrointestinal Stromal Tumor","Gastrointestinal Stromal Tumor","NCIT:C3868","NCIT"
"Cervical Adenocarcinoma","Cervical Adenocarcinoma","NCIT:C4029","NCIT"
"Intraductal Papillary Mucinous Neoplasm","pancreatic intraductal papillary-mucinous neoplasm","MONDO:0004286","MONDO"
"Oncocytic Adenoma of the Thyroid","Thyroid Gland Oncocytic Adenoma","NCIT:C6042","NCIT"
"Salivary Carcinoma","salivary gland carcinoma","MONDO:0000521","MONDO"
"Anal Gland Adenocarcinoma","anal gland adenocarcinoma","MONDO:0004266","MONDO"
"Head and Neck Carcinoma, Other",NA,NA,NA
"Aggressive Digital Papillary Adenocarcinoma","aggressive digital papillary adenocarcinoma","MONDO:0003530","MONDO"
"Clear Cell Papillary Renal Cell Carcinoma","clear cell papillary renal cell carcinoma","MONDO:0018448","MONDO"
"Acinar Cell Carcinoma, NOS",NA,NA,NA
"Epithelioid Trophoblastic Tumor","Epithelioid Trophoblastic Tumor","NCIT:C6900","NCIT"
"Cellular Schwannoma","Cellular Schwannoma","NCIT:C4724","NCIT"
"Chondroblastoma","Chondroblastoma","NCIT:C2945","NCIT"
"Thymic Carcinoma","Thymic Carcinoma","NCIT:C7569","NCIT"
"Appendiceal Adenocarcinoma","Appendix Adenocarcinoma","NCIT:C7718","NCIT"
"Chordoma","Chordoma","NCIT:C2947","NCIT"
"Duodenal Adenocarcinoma","Duodenal Adenocarcinoma","NCIT:C7889","NCIT"
"Well-Differentiated Neuroendocrine Tumor of the Appendix","neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade","MONDO:0015066","MONDO"
"Meningothelial Tumor","meningeal neoplasm","EFO:0003851","EFO"
"Basaloid Penile Squamous Cell Carcinoma","Basaloid Squamous Cell Carcinoma of the Penis","NCIT:C6980","NCIT"
"Vaginal Adenocarcinoma","Vaginal Adenocarcinoma","NCIT:C7981","NCIT"
"Large Cell/Anaplastic Medulloblastoma","Large Cell/Anaplastic Medulloblastoma","NCIT:C129436","NCIT"
"Wilms' Tumor","Wilms Tumor","NCIT:C3267","NCIT"
"Pheochromocytoma","Pheochromocytoma","HP:0002666","HP"
"Pineoblastoma","Pineoblastoma","NCIT:C9344","NCIT"
"High-Grade Neuroepithelial Tumor",NA,NA,NA
"Angiocentric Glioma","Angiocentric Glioma","NCIT:C92552","NCIT"
"Retinoblastoma","Retinoblastoma","NCIT:C7541","NCIT"
"Renal Non-Clear Cell Carcinoma",NA,NA,NA
"Atypical Choroid Plexus Papilloma","Atypical Choroid Plexus Papilloma","NCIT:C53686","NCIT"
"High-Grade Serous Ovarian Cancer",NA,NA,NA
"Unclassified Renal Cell Carcinoma","Unclassified Renal Cell Carcinoma","NCIT:C27892","NCIT"
"High-Grade Neuroendocrine Carcinoma of the Colon and Rectum",NA,NA,NA
"Adenocarcinoma of the Gastroesophageal Junction","Gastroesophageal Junction Adenocarcinoma","NCIT:C9296","NCIT"
"Uterine Endometrioid Carcinoma","Endometrial Endometrioid Adenocarcinoma","EFO:1000233","EFO"
"Stomach Adenocarcinoma","Gastric Adenocarcinoma","NCIT:C4004","NCIT"
"Desmoplastic Small-Round-Cell Tumor","desmoplastic small round cell tumor","MONDO:0019373","MONDO"
"CLEAR CELL ADENOCARCINOMA","Clear Cell Adenocarcinoma","NCIT:C3766","NCIT"
"Spindle Cell/Sclerosing Rhabdomyosarcoma","Spindle Cell/Sclerosing Rhabdomyosarcoma","NCIT:C121654","NCIT"
"Epithelioid Sarcoma","Epithelioid Sarcoma","NCIT:C3714","NCIT"
"Wilms Tumor","Wilms Tumor","NCIT:C3267","NCIT"
"RENAL CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT"
"Yolk Sac Tumor","Yolk Sac Tumor","NCIT:C3011","NCIT"
"SMALL ROUND BLUE CELL TUMOR",NA,NA,NA
"GanglioNeuroblastoma","Ganglioneuroblastoma","NCIT:C3790","NCIT"
"Myxopapillary Ependymoma","Myxopapillary Ependymoma","NCIT:C3697","NCIT"
"Hepatoblastoma","Hepatoblastoma","NCIT:C3728","NCIT"
"Anaplastic oligodendroglioma","Anaplastic Oligodendroglioma","NCIT:C4326","NCIT"
"Sarcoma, NOS","Sarcoma","NCIT:C9118","NCIT"
"Medullary Thyroid Cancer","medullary thyroid gland carcinoma","MONDO:0015277","MONDO"
"Fibrolamellar Hepatocelluar Carcinoma",NA,NA,NA
"Neuroendocrine tumor","Neuroendocrine Tumor","NCIT:C188218","NCIT"
"SCC head and neck",NA,NA,NA
"Undifferentiated Sarcoma","undifferentiated sarcoma","EFO:0000730","EFO"
"Mesenchymal Chondrosarcoma","Mesenchymal Chondrosarcoma","NCIT:C3737","NCIT"
"Acinar Cell Carcinoma","Acinar Cell Carcinoma","NCIT:C3768","NCIT"
"Ependymoma","Ependymoma","NCIT:C3017","NCIT"
"Papillary Thyroid Cancer","papillary thyroid carcinoma","EFO:0000641","EFO"
"Neuroepithelial Tumor","Neuroepithelial Neoplasm","NCIT:C3787","NCIT"
"Anaplastic Pleomorphic Xanthoastrocytoma","Anaplastic Pleomorphic Xanthoastrocytoma","NCIT:C129327","NCIT"
"Malignant Peripheral Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","NCIT:C3798","NCIT"
"Alveolar Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma","NCIT:C3749","NCIT"
"Immature Teratoma","Immature Teratoma","NCIT:C4286","NCIT"
"Rosette-forming Glioneuronal Tumor of the Fourth Ventricle","Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle","NCIT:C67559","NCIT"
"Renal Cell Carcinoma","Renal Cell Carcinoma","NCIT:C9385","NCIT"
"Infantile Myofibroma","Infantile Myofibroma","NCIT:C180887","NCIT"
"Undifferentiated Carcinoma","Undifferentiated Carcinoma","NCIT:C3692","NCIT"
"Diffuse Intrinsic Pontine Glioma","Diffuse Intrinsic Pontine Glioma","NCIT:C94764","NCIT"
"Germ Cell Tumor","Germ Cell Tumor","NCIT:C3708","NCIT"
"Inflammatory Myofibroblastic Tumor","Inflammatory Myofibroblastic Tumor","NCIT:C6481","NCIT"
"Pilocytic Astrocytoma","Pilocytic Astrocytoma","NCIT:C4047","NCIT"
"Pancreatoblastoma","Pancreatoblastoma","NCIT:C4265","NCIT"
"SCHMINKE TUMOR/LYMPHOEPITHELIAL CARCINOMA",NA,NA,NA
"Glioma","Glioma","NCIT:C3059","NCIT"
"ROUND CELL SARCOMA, NOS",NA,NA,NA
"Ovarian Fibrothecoma","ovarian fibrothecoma","MONDO:0017802","MONDO"
"Rhabdomyosarcoma","Rhabdomyosarcoma","NCIT:C3359","NCIT"
"SUPERFICIAL SPREADING MELANOMA","Low-CSD Melanoma","NCIT:C9152","NCIT"
"Mature Teratoma","Mature Teratoma","NCIT:C9015","NCIT"
"BREAST INVASIVE CARCINOMA (BRCA)",NA,NA,NA
"Juvenile Granulosa Cell Tumor","juvenile type testicular granulosa cell tumor","MONDO:0003741","MONDO"
"Infantile Fibrosarcoma","Infantile Fibrosarcoma","NCIT:C4244","NCIT"
"Spindle cell sarcoma","spindle cell sarcoma","MONDO:0002927","MONDO"
"cervicomedullary Hemangioblastoma",NA,NA,NA
"Cancer of Unknown Primary",NA,NA,NA
"RETINOBLASTOMA","Retinoblastoma","NCIT:C7541","NCIT"
"OVARIAN EPITHELIAL CARCINOMA (OVCA)",NA,NA,NA
"NEUROENDOCRINE CARCINOMA","Neuroendocrine Carcinoma","NCIT:C3773","NCIT"
"Synovial Sarcoma","Synovial Sarcoma","NCIT:C3400","NCIT"
"Craniopharyngioma","Craniopharyngioma","NCIT:C2964","NCIT"
"Dysgerminoma","Dysgerminoma","HP:0100621","HP"
"Optic Pathway Glioma","optic pathway glioma","MONDO:0016167","MONDO"
"Ewing-like sarcoma","Round Cell Sarcoma with EWSR1-non-ETS Fusion","NCIT:C178459","NCIT"
"Renal Medullary Carcinoma","Kidney Medullary Carcinoma","NCIT:C7572","NCIT"
"Rhabdoid Tumor","Rhabdoid Tumor","NCIT:C3808","NCIT"
"MESENCHYMAL NEOPLASM","Mesenchymal Cell Neoplasm","NCIT:C7059","NCIT"
"HEMANGIOMA","Hemangioma","NCIT:C3085","NCIT"
"PROXIMAL-TYPE EPITHELIOID SARCOMA (PTES)",NA,NA,NA
"PLEUROPULMONARY BLASTOMA (PPB)",NA,NA,NA
"Poorly Differentiated Carcinoma",NA,NA,NA
"Central Neurocytoma","Central Neurocytoma","NCIT:C3791","NCIT"
"Ganglioneuroma","Ganglioneuroma","NCIT:C3049","NCIT"
"Wilms tumor","Wilms tumor","MONDO:0006058","MONDO"
"MIXED GERM CELL TUMOR","Mixed Germ Cell Tumor","NCIT:C4290","NCIT"
"Alveolar Soft Part Sarcoma","Alveolar Soft Part Sarcoma","NCIT:C3750","NCIT"
"Sclerosing Rhabdomyosarcoma","Sclerosing Rhabdomyosarcoma","NCIT:C121655","NCIT"
"Teratoma","Teratoma","NCIT:C3403","NCIT"
"Germ cell tumor","germ cell tumor","EFO:0000514","EFO"
"Desmoid Fibromatosis","Desmoid Fibromatosis","NCIT:C9182","NCIT"
"Liposarcoma","Liposarcoma","NCIT:C3194","NCIT"
"Dysembryoplastic Neuroepithelial Tumor","Dysembryoplastic Neuroepithelial Tumor","NCIT:C9505","NCIT"
"Diffuse Midline Glioma","Diffuse Midline Glioma","NCIT:C182151","NCIT"
"Myoepithelial Carcinoma","Malignant Myoepithelioma","NCIT:C7596","NCIT"
"Epithelioid Mesothelioma","Epithelioid Mesothelioma","NCIT:C7985","NCIT"
