original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
CARDIA,http://purl.obolibrary.org/obo/NCIT_C12256,NCIT,Gastric Cardia,NCIT_C12256
ESOPHAGUS,http://purl.obolibrary.org/obo/NCIT_C12389,NCIT,Esophagus,NCIT_C12389
UPPER,http://purl.obolibrary.org/obo/NCIT_C25355,NCIT,Upper,NCIT_C25355
METASTATIC,http://purl.obolibrary.org/obo/NCIT_C14174,NCIT,Metastatic,NCIT_C14174
LOCALIZED,http://purl.obolibrary.org/obo/NCIT_C14146,NCIT,Localized,NCIT_C14146
FRONTAL,http://purl.obolibrary.org/obo/NCIT_C161325,NCIT,Frontal,NCIT_C161325
TEMPORAL,http://purl.obolibrary.org/obo/NCIT_C73990,NCIT,Temporal,NCIT_C73990
PARIETAL,http://purl.obolibrary.org/obo/NCIT_C25312,NCIT,Parietal,NCIT_C25312
PARIETO-OCCIPITAL,http://purl.obolibrary.org/obo/NCIT_C170564,NCIT,Parieto-Occipital,NCIT_C170564
CEREBELLOPONTINE ANGLE,http://purl.obolibrary.org/obo/NCIT_C54057,NCIT,Cerebellopontine Angle,NCIT_C54057
RIGHT,http://purl.obolibrary.org/obo/NCIT_C25228,NCIT,Right,NCIT_C25228
LEFT,http://purl.obolibrary.org/obo/NCIT_C25229,NCIT,Left,NCIT_C25229
CEREBELLUM,http://purl.obolibrary.org/obo/NCIT_C12445,NCIT,Cerebellum,NCIT_C12445
CORPUS CALLOSUM,http://purl.obolibrary.org/obo/NCIT_C12446,NCIT,Corpus Callosum,NCIT_C12446
BILATERAL,http://purl.obolibrary.org/obo/NCIT_C13332,NCIT,Bilateral,NCIT_C13332
KIDNEY,http://purl.obolibrary.org/obo/NCIT_C12415,NCIT,Kidney,NCIT_C12415
ORAL CAVITY,http://purl.obolibrary.org/obo/NCIT_C12421,NCIT,Oral Cavity,NCIT_C12421
HYPOPHARYNX,http://purl.obolibrary.org/obo/NCIT_C12246,NCIT,Hypopharynx,NCIT_C12246
BUCCAL,http://purl.obolibrary.org/obo/NCIT_C52589,NCIT,Buccal Surface,NCIT_C52589
ALVEOLAR,http://purl.obolibrary.org/obo/NCIT_C14155,NCIT,Alveolar,NCIT_C14155
PERIPHERAL BLOOD,http://purl.obolibrary.org/obo/NCIT_C173496,NCIT,Peripheral Blood,NCIT_C173496
BONE MARROW,http://purl.obolibrary.org/obo/NCIT_C12431,NCIT,Bone Marrow,NCIT_C12431
OVARY,http://purl.obolibrary.org/obo/NCIT_C12404,NCIT,Ovary,NCIT_C12404
OMENTUM,http://purl.obolibrary.org/obo/NCIT_C33209,NCIT,Omentum,NCIT_C33209
PELVIC MASS,http://purl.obolibrary.org/obo/NCIT_C151938,NCIT,Pelvic Mass,NCIT_C151938
PROSTATE,http://purl.obolibrary.org/obo/NCIT_C12410,NCIT,Prostate Gland,NCIT_C12410
BONE,http://purl.obolibrary.org/obo/NCIT_C12366,NCIT,Bone,NCIT_C12366
ADRENAL,http://purl.obolibrary.org/obo/NCIT_C12666,NCIT,Adrenal Gland,NCIT_C12666
EPIDURAL,http://purl.obolibrary.org/obo/NCIT_C41449,NCIT,Epidural Spinal Canal Space,NCIT_C41449
SOFT TISSUE,http://purl.obolibrary.org/obo/NCIT_C12471,NCIT,Soft Tissue,NCIT_C12471
DIFFUSE,http://purl.obolibrary.org/obo/NCIT_C14175,NCIT,Diffuse,NCIT_C14175
LYMPHOID TISSUE,http://purl.obolibrary.org/obo/NCIT_C13049,NCIT,Lymphoid Tissue,NCIT_C13049
ADRENAL GLAND,http://purl.obolibrary.org/obo/NCIT_C12666,NCIT,Adrenal Gland,NCIT_C12666
BASE,http://purl.obolibrary.org/obo/NCIT_C13088,NCIT,Base of the Prostate,NCIT_C13088
APEX,http://purl.obolibrary.org/obo/NCIT_C13087,NCIT,Apex of the Prostate,NCIT_C13087
MIDDLE,http://purl.obolibrary.org/obo/NCIT_C13094,NCIT,Middle Lobe of the Prostate,NCIT_C13094
LN,http://purl.obolibrary.org/obo/NCIT_C12745,NCIT,Lymph Node,NCIT_C12745
SKIN,http://purl.obolibrary.org/obo/NCIT_C12470,NCIT,Skin,NCIT_C12470
SCROTUM,http://purl.obolibrary.org/obo/NCIT_C12785,NCIT,Scrotum,NCIT_C12785
RETROPERITONEAL,http://purl.obolibrary.org/obo/NCIT_C28256,NCIT,Retroperitoneal,NCIT_C28256
SPLEEN,http://purl.obolibrary.org/obo/NCIT_C12432,NCIT,Spleen,NCIT_C12432
PERITONEAL,http://purl.obolibrary.org/obo/NCIT_C25313,NCIT,Peritoneal,NCIT_C25313
RENAL,http://purl.obolibrary.org/obo/NCIT_C25225,NCIT,Renal,NCIT_C25225
APPENDIX,http://purl.obolibrary.org/obo/NCIT_C12380,NCIT,Appendix,NCIT_C12380
PERITONEUM,http://purl.obolibrary.org/obo/NCIT_C12770,NCIT,Peritoneum,NCIT_C12770
PELVIS,http://purl.obolibrary.org/obo/NCIT_C12767,NCIT,Pelvis,NCIT_C12767
COLORECTAL CANCER,http://purl.obolibrary.org/obo/NCIT_C13363,NCIT,Colorectal,NCIT_C13363
ACETABULUM,http://purl.obolibrary.org/obo/NCIT_C32042,NCIT,Acetabulum,NCIT_C32042
RETROPERITONEAL LYMPH NODE,http://purl.obolibrary.org/obo/NCIT_C98189,NCIT,Retroperitoneal Lymph Node,NCIT_C98189
PLEURAL EFFUSION,http://purl.obolibrary.org/obo/NCIT_C3331,NCIT,Pleural Effusion,NCIT_C3331
CIRCULATING TUMOR CELLS,http://purl.obolibrary.org/obo/NCIT_C96593,NCIT,Circulating Tumor Cell Count,NCIT_C96593
EXTREMITIES,http://purl.obolibrary.org/obo/NCIT_C12429,NCIT,Limb,NCIT_C12429
TRUNK,http://purl.obolibrary.org/obo/NCIT_C33816,NCIT,Trunk,NCIT_C33816
REGIONAL LYMPH NODE,http://purl.obolibrary.org/obo/NCIT_C49018,NCIT,Regional Lymph Node,NCIT_C49018
DISTANT METASTASIS,http://purl.obolibrary.org/obo/NCIT_C18206,NCIT,Distant Metastasis,NCIT_C18206
THYMUS,http://purl.obolibrary.org/obo/NCIT_C12433,NCIT,Thymus Gland,NCIT_C12433
ANTERIOR MEDIASTINUM,http://purl.obolibrary.org/obo/NCIT_C32098,NCIT,Anterior Mediastinum,NCIT_C32098
LEFT THIGH,http://purl.obolibrary.org/obo/NCIT_C105632,NCIT,Left Thigh,NCIT_C105632
NASAL CAVITY,http://purl.obolibrary.org/obo/NCIT_C12424,NCIT,Nasal Cavity,NCIT_C12424
ABDOMINAL WALL,http://purl.obolibrary.org/obo/NCIT_C77608,NCIT,Abdominal Wall,NCIT_C77608
PARATESTICULAR,http://purl.obolibrary.org/obo/NCIT_C162491,NCIT,Paratesticular Region,NCIT_C162491
RIGHT THIGH,http://purl.obolibrary.org/obo/NCIT_C105637,NCIT,Right Thigh,NCIT_C105637
NASOPHARYNX,http://purl.obolibrary.org/obo/NCIT_C12423,NCIT,Nasopharynx,NCIT_C12423
EXTREMITY,http://purl.obolibrary.org/obo/NCIT_C12429,NCIT,Limb,NCIT_C12429
MANDIBLE,http://purl.obolibrary.org/obo/NCIT_C12290,NCIT,Mandible,NCIT_C12290
HAND,http://purl.obolibrary.org/obo/NCIT_C32712,NCIT,Hand,NCIT_C32712
VULVA,http://purl.obolibrary.org/obo/NCIT_C12408,NCIT,Vulva,NCIT_C12408
ANTRUM,http://purl.obolibrary.org/obo/NCIT_C12259,NCIT,Antrum Pylori,NCIT_C12259
RENAL PELVIS,http://purl.obolibrary.org/obo/NCIT_C12887,NCIT,Renal Pelvis,NCIT_C12887
URETER,http://purl.obolibrary.org/obo/NCIT_C12416,NCIT,Ureter,NCIT_C12416
PYLORUS,http://purl.obolibrary.org/obo/NCIT_C12260,NCIT,Pylorus,NCIT_C12260
ANTERIOR ENDOMETRIUM,http://purl.obolibrary.org/obo/NCIT_C156431,NCIT,Anterior Endometrium,NCIT_C156431
POSTERIOR ENDOMETRIUM,http://purl.obolibrary.org/obo/NCIT_C156432,NCIT,Posterior Endometrium,NCIT_C156432
SKIN NODULE,http://purl.obolibrary.org/obo/NCIT_C3373,NCIT,Skin Nodule,NCIT_C3373
AXILLARY LYMPH NODES,http://purl.obolibrary.org/obo/NCIT_C12904,NCIT,Axillary Lymph Node,NCIT_C12904
SMALL BOWEL RESECTION,http://purl.obolibrary.org/obo/NCIT_C51510,NCIT,Small Intestine Resection,NCIT_C51510
LYMPH NODES,http://purl.obolibrary.org/obo/NCIT_C12745,NCIT,Lymph Node,NCIT_C12745
BILE DUCT,http://purl.obolibrary.org/obo/NCIT_C12376,NCIT,Bile Duct,NCIT_C12376
"LUNG, RIGHT MIDDLE LOBE",http://purl.obolibrary.org/obo/NCIT_C12286,NCIT,Middle Lobe of the Right Lung,NCIT_C12286
"LUNG, LEFT",http://purl.obolibrary.org/obo/NCIT_C32967,NCIT,Left Lung,NCIT_C32967
"LUNG, LEFT UPPER LOBE",http://purl.obolibrary.org/obo/NCIT_C33021,NCIT,Upper Lobe of the Left Lung,NCIT_C33021
PERICARDIAL EFFUSION,http://purl.obolibrary.org/obo/NCIT_C3319,NCIT,Pericardial Effusion,NCIT_C3319
"LUNG, RIGHT",http://purl.obolibrary.org/obo/NCIT_C33483,NCIT,Right Lung,NCIT_C33483
"LUNG, RIGHT UPPER LOBE",http://purl.obolibrary.org/obo/NCIT_C33023,NCIT,Upper Lobe of the Right Lung,NCIT_C33023
PLEURAL FLUID,http://purl.obolibrary.org/obo/NCIT_C77613,NCIT,Pleural Fluid,NCIT_C77613
"LUNG, RIGHT LOWER LOBE",http://purl.obolibrary.org/obo/NCIT_C33022,NCIT,Lower Lobe of the Right Lung,NCIT_C33022
PANCREAS TAIL,http://purl.obolibrary.org/obo/NCIT_C12271,NCIT,Tail of the Pancreas,NCIT_C12271
ASCITES,http://purl.obolibrary.org/obo/NCIT_C2885,NCIT,Ascites,NCIT_C2885
"BRAIN, CEREBELLUM",http://purl.obolibrary.org/obo/NCIT_C12445,NCIT,Cerebellum,NCIT_C12445
CHEST WALL,http://purl.obolibrary.org/obo/NCIT_C62484,NCIT,Chest Wall,NCIT_C62484
"LUNG, LEFT LOWER LOBE",http://purl.obolibrary.org/obo/NCIT_C33020,NCIT,Lower Lobe of the Left Lung,NCIT_C33020
BLOOD,http://purl.obolibrary.org/obo/NCIT_C12434,NCIT,Blood,NCIT_C12434
PLEURA,http://purl.obolibrary.org/obo/NCIT_C12469,NCIT,Pleura,NCIT_C12469
CHEST,http://purl.obolibrary.org/obo/NCIT_C25389,NCIT,Chest,NCIT_C25389
DIAPHRAGM,http://purl.obolibrary.org/obo/NCIT_C12702,NCIT,Diaphragm,NCIT_C12702
CERVICAL,http://purl.obolibrary.org/obo/NCIT_C12844,NCIT,Cervical,NCIT_C12844
COLON,http://purl.obolibrary.org/obo/NCIT_C12382,NCIT,Colon,NCIT_C12382
LEFT KIDNEY,http://purl.obolibrary.org/obo/NCIT_C34006,NCIT,Left Kidney,NCIT_C34006
BONES,http://purl.obolibrary.org/obo/NCIT_C12366,NCIT,Bone,NCIT_C12366
LEFT LEG,http://purl.obolibrary.org/obo/NCIT_C176864,NCIT,Left Leg,NCIT_C176864
SMALL BOWEL,http://purl.obolibrary.org/obo/NCIT_C12386,NCIT,Small Intestine,NCIT_C12386
ABDOMEN,http://purl.obolibrary.org/obo/NCIT_C12664,NCIT,Abdomen,NCIT_C12664
LARYNGOPHARYNX,http://purl.obolibrary.org/obo/NCIT_C12246,NCIT,Hypopharynx,NCIT_C12246
SUBLINGUAL GLAND,http://purl.obolibrary.org/obo/NCIT_C12234,NCIT,Sublingual Salivary Gland,NCIT_C12234
PHARYNX,http://purl.obolibrary.org/obo/NCIT_C12425,NCIT,Pharynx,NCIT_C12425
TRACHEA,http://purl.obolibrary.org/obo/NCIT_C12428,NCIT,Trachea,NCIT_C12428
LIP,http://purl.obolibrary.org/obo/NCIT_C12220,NCIT,Lip,NCIT_C12220
ETHMOID SINUS,http://purl.obolibrary.org/obo/NCIT_C12276,NCIT,Ethmoid Sinus,NCIT_C12276
CNS,http://purl.obolibrary.org/obo/NCIT_C12438,NCIT,Central Nervous System,NCIT_C12438
PANCREAS,http://purl.obolibrary.org/obo/NCIT_C12393,NCIT,Pancreas,NCIT_C12393
EXTRA-ADRENAL,http://purl.obolibrary.org/obo/NCIT_C103852,NCIT,Extra-Adrenal,NCIT_C103852
GROIN,http://purl.obolibrary.org/obo/NCIT_C12726,NCIT,Inguinal Region,NCIT_C12726
RETROPERITONEUM,http://purl.obolibrary.org/obo/NCIT_C12298,NCIT,Retroperitoneum,NCIT_C12298
INTRA-ABDOMINAL,http://purl.obolibrary.org/obo/NCIT_C12492,NCIT,Intra-abdominal,NCIT_C12492
UTERUS,http://purl.obolibrary.org/obo/NCIT_C12405,NCIT,Uterus,NCIT_C12405
MEDIASTINUM,http://purl.obolibrary.org/obo/NCIT_C12748,NCIT,Mediastinum,NCIT_C12748
SPERMATIC CORD,http://purl.obolibrary.org/obo/NCIT_C12329,NCIT,Spermatic Cord,NCIT_C12329
SMALL INTESTINE,http://purl.obolibrary.org/obo/NCIT_C12386,NCIT,Small Intestine,NCIT_C12386
BACK,http://purl.obolibrary.org/obo/NCIT_C13062,NCIT,Back,NCIT_C13062
LOWER EXTREMITY,http://purl.obolibrary.org/obo/NCIT_C12742,NCIT,Lower Extremity,NCIT_C12742
FLANK,http://purl.obolibrary.org/obo/NCIT_C93028,NCIT,Flank,NCIT_C93028
BUTTOCK,http://purl.obolibrary.org/obo/NCIT_C89806,NCIT,Buttock,NCIT_C89806
GASTRIC,http://purl.obolibrary.org/obo/NCIT_C12391,NCIT,Stomach,NCIT_C12391
PRIMARY,http://purl.obolibrary.org/obo/NCIT_C25251,NCIT,Primary,NCIT_C25251
STOMACH,http://purl.obolibrary.org/obo/NCIT_C12391,NCIT,Stomach,NCIT_C12391
TESTES,http://purl.obolibrary.org/obo/NCIT_C12412,NCIT,Testis,NCIT_C12412
THYROID,http://purl.obolibrary.org/obo/NCIT_C12400,NCIT,Thyroid Gland,NCIT_C12400
RIGHT COLON,http://purl.obolibrary.org/obo/NCIT_C12383,NCIT,Right Colon,NCIT_C12383
TRANSVERSE COLON,http://purl.obolibrary.org/obo/NCIT_C12385,NCIT,Transverse Colon,NCIT_C12385
LEFT COLON,http://purl.obolibrary.org/obo/NCIT_C33929,NCIT,Left Colon,NCIT_C33929
CHIN,http://purl.obolibrary.org/obo/NCIT_C81169,NCIT,Mentum,NCIT_C81169
LACRIMAL GLAND,http://purl.obolibrary.org/obo/NCIT_C12346,NCIT,Lacrimal Gland,NCIT_C12346
RETROMOLAR TRIGONE,http://purl.obolibrary.org/obo/NCIT_C54223,NCIT,Retromolar Trigone,NCIT_C54223
MAXILLARY SINUS,http://purl.obolibrary.org/obo/NCIT_C12275,NCIT,Maxillary Sinus,NCIT_C12275
ETHMOID,http://purl.obolibrary.org/obo/NCIT_C12711,NCIT,Ethmoid Bone,NCIT_C12711
EAR,http://purl.obolibrary.org/obo/NCIT_C12394,NCIT,Ear,NCIT_C12394
NASAL SEPTUM,http://purl.obolibrary.org/obo/NCIT_C33160,NCIT,Nasal Septum,NCIT_C33160
DISTANT,http://purl.obolibrary.org/obo/NCIT_C25321,NCIT,Distant,NCIT_C25321
LOCOREGIONAL,http://purl.obolibrary.org/obo/NCIT_C25388,NCIT,Local-Regional,NCIT_C25388
LOCOREGIONAL RECURRENCE,http://purl.obolibrary.org/obo/NCIT_C25388,NCIT,Local-Regional,NCIT_C25388
GALLBLADDER,http://purl.obolibrary.org/obo/NCIT_C12377,NCIT,Gallbladder,NCIT_C12377
FRESH FROZEN,http://purl.obolibrary.org/obo/NCIT_C84517,NCIT,Fresh Specimen,NCIT_C84517
FFPE,http://purl.obolibrary.org/obo/NCIT_C143028,NCIT,Formalin-Fixed Paraffin-Embedded,NCIT_C143028
LOCAL,http://purl.obolibrary.org/obo/NCIT_C67263,NCIT,Local,NCIT_C67263
URETHRA,http://purl.obolibrary.org/obo/NCIT_C12417,NCIT,Urethra,NCIT_C12417
TESTIS,http://purl.obolibrary.org/obo/NCIT_C12412,NCIT,Testis,NCIT_C12412
PENIS,http://purl.obolibrary.org/obo/NCIT_C12409,NCIT,Penis,NCIT_C12409
OPTIC CHIASM,http://purl.obolibrary.org/obo/NCIT_C90609,NCIT,Optic Chiasm,NCIT_C90609
BRAINSTEM,http://purl.obolibrary.org/obo/NCIT_C12441,NCIT,Brain Stem,NCIT_C12441
OPTIC NERVE,http://purl.obolibrary.org/obo/NCIT_C12761,NCIT,Optic Nerve,NCIT_C12761
HYPOTHALAMUS,http://purl.obolibrary.org/obo/NCIT_C12458,NCIT,Hypothalamus,NCIT_C12458
DURA,http://purl.obolibrary.org/obo/NCIT_C32488,NCIT,Dura Mater,NCIT_C32488
THORACIC EPIDURAL,http://purl.obolibrary.org/obo/NCIT_C12799<;>http://purl.obolibrary.org/obo/NCIT_C41449,NCIT,Thorax<;>Epidural Spinal Canal Space,NCIT_C12799<;>NCIT_C41449
MUSCLE,http://purl.obolibrary.org/obo/NCIT_C13056,NCIT,Muscle,NCIT_C13056
GLANS PENIS,http://purl.obolibrary.org/obo/NCIT_C12324,NCIT,Glans Penis,NCIT_C12324
TISSUE,http://purl.obolibrary.org/obo/NCIT_C12801,NCIT,Tissue,NCIT_C12801
PLASMA,http://purl.obolibrary.org/obo/NCIT_C13356,NCIT,Plasma,NCIT_C13356
RIGHT UPPER QUADRANT,http://purl.obolibrary.org/obo/NCIT_C151398,NCIT,Right Upper Quadrant of Abdomen,NCIT_C151398
BOWEL,http://purl.obolibrary.org/obo/NCIT_C12736,NCIT,Intestine,NCIT_C12736
PELVIC PERITONEUM,http://purl.obolibrary.org/obo/NCIT_C159344,NCIT,Pelvic Peritoneum,NCIT_C159344
ADNEXA,http://purl.obolibrary.org/obo/NCIT_C137974,NCIT,Adnexa,NCIT_C137974
LEFT UPPER QUADRANT,http://purl.obolibrary.org/obo/NCIT_C151397,NCIT,Left Upper Quadrant of Abdomen,NCIT_C151397
TUMOR EXTENTION INTO BONE,http://purl.obolibrary.org/obo/NCIT_C12366,NCIT,Bone,NCIT_C12366
TEMPORALIS MUSCLE,http://purl.obolibrary.org/obo/NCIT_C33743,NCIT,Temporal Muscle,NCIT_C33743
ORBITAL MASS,http://purl.obolibrary.org/obo/NCIT_C12347,NCIT,Orbit,NCIT_C12347
PERINEPHRIC METASTASIS,http://purl.obolibrary.org/obo/NCIT_C62408<;>http://purl.obolibrary.org/obo/NCIT_C19151,NCIT,Perinephric<;>Metastasis,NCIT_C62408<;>NCIT_C19151
CHEST WALL METASTASIS,http://purl.obolibrary.org/obo/NCIT_C62484<;>http://purl.obolibrary.org/obo/NCIT_C19151,NCIT,Chest Wall<;>Metastasis,NCIT_C62484<;>NCIT_C19151
LYMPH NODE METASTASIS,http://purl.obolibrary.org/obo/NCIT_C12745<;>http://purl.obolibrary.org/obo/NCIT_C19151,NCIT,Lymph Node<;>Metastasis,NCIT_C12745<;>NCIT_C19151
CEREBELLUM/POSTERIOR FOSSA,http://purl.obolibrary.org/obo/NCIT_C12445<;>http://purl.obolibrary.org/obo/NCIT_C33361,NCIT,Cerebellum<;>Posterior Cranial Fossa,NCIT_C12445<;>NCIT_C33361
INFRATENTORIAL,http://purl.obolibrary.org/obo/NCIT_C12509,NCIT,Infratentorial Brain,NCIT_C12509
"PARIETAL LOBE,TEMPORAL LOBE",http://purl.obolibrary.org/obo/NCIT_C12354<;>http://purl.obolibrary.org/obo/NCIT_C12353,NCIT,Parietal Lobe<;>Temporal Lobe,NCIT_C12354<;>NCIT_C12353
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,VENTRICLES",http://purl.obolibrary.org/obo/NCIT_C69314<;>http://purl.obolibrary.org/obo/NCIT_C49799<;>http://purl.obolibrary.org/obo/NCIT_C69315<;>http://purl.obolibrary.org/obo/NCIT_C12356,NCIT,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,NCIT_C69314<;>NCIT_C49799<;>NCIT_C69315<;>NCIT_C12356
"CEREBELLUM/POSTERIOR FOSSA,OTHER LOCATIONS NOS",http://purl.obolibrary.org/obo/NCIT_C12445<;>http://purl.obolibrary.org/obo/NCIT_C33361,NCIT,Cerebellum<;>Posterior Cranial Fossa,NCIT_C12445<;>NCIT_C33361
"FRONTAL LOBE,PARIETAL LOBE,TEMPORAL LOBE",http://purl.obolibrary.org/obo/NCIT_C12352<;>http://purl.obolibrary.org/obo/NCIT_C12354<;>http://purl.obolibrary.org/obo/NCIT_C12353,NCIT,Frontal Lobe<;>Parietal Lobe<;>Temporal Lobe,NCIT_C12352<;>NCIT_C12354<;>NCIT_C12353
"BASAL GANGLIA,TEMPORAL LOBE",http://purl.obolibrary.org/obo/NCIT_C12447<;>http://purl.obolibrary.org/obo/NCIT_C12353,NCIT,Basal Ganglia<;>Temporal Lobe,NCIT_C12447<;>NCIT_C12353
SUPRASELLAR/HYPOTHALAMIC/PITUITARY,http://purl.obolibrary.org/obo/NCIT_C95445<;>http://purl.obolibrary.org/obo/NCIT_C12458<;>http://purl.obolibrary.org/obo/NCIT_C12399,NCIT,Suprasellar<;>Hypothalamus<;>Pituitary Gland,NCIT_C95445<;>NCIT_C12458<;>NCIT_C12399
POSTERIOR FOSSA,http://purl.obolibrary.org/obo/NCIT_C33361,NCIT,Posterior Cranial Fossa,NCIT_C33361
SPINAL CORD- LUMBAR/THECAL SAC,http://purl.obolibrary.org/obo/NCIT_C69314<;>http://purl.obolibrary.org/obo/NCIT_C49799,NCIT,Lumbar Spine<;>Spinal Cord Dura Mater,NCIT_C69314<;>NCIT_C49799
POSTERIOR FOSSA>SPINE,http://purl.obolibrary.org/obo/NCIT_C33361<;>http://purl.obolibrary.org/obo/NCIT_C12998,NCIT,Posterior Cranial Fossa<;>Vertebral Column,NCIT_C33361<;>NCIT_C12998
VENTRICLES,http://purl.obolibrary.org/obo/NCIT_C12356,NCIT,Brain Ventricle,NCIT_C12356
