"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"ASIAN, WHITE/CAUCASIAN","Asian;White","NCIT:C41260;NCIT:C41261","NCIT"
"ASIAN/FILIPINO","Filipino;Asian","NCIT:C43393;NCIT:C41260","NCIT"
"NH/C","White;Not Hispanic or Latino","NCIT:C41261;NCIT:C41222","NCIT"
"NH/B","Black;Not Hispanic or Latino","NCIT:C128938;NCIT:C41222","NCIT"
"NH/A","Asian;Not Hispanic or Latino","NCIT:C41260;NCIT:C41222","NCIT"
"NHC","White;Not Hispanic or Latino","NCIT:C41261;NCIT:C41222","NCIT"
"NH/AA","African American;Not Hispanic or Latino","NCIT:C128937;NCIT:C41222","NCIT"
"SLAVIC","Eastern European;European;White","NCIT:C77819;NCIT:C43851;NCIT:C41261","NCIT"
"WHITE","White","NCIT:C41261","NCIT"
"HISPANIC OR LATINO","Hispanic or Latino","NCIT:C17459","NCIT"
"BLACK OR AFRICAN AMERICAN","African American;Black","NCIT:C128937;NCIT:C128938","NCIT"
"NOT HISPANIC OR LATINO","Not Hispanic or Latino","NCIT:C41222","NCIT"
"ASIAN","Asian","NCIT:C41260","NCIT"
"NON-HISPANIC","Not Hispanic or Latino","NCIT:C41222","NCIT"
"HISPANIC","Hispanic or Latino","NCIT:C17459","NCIT"
"AMERICAN INDIAN OR ALASKA NATIVE","American Indian or Alaska Native","NCIT:C41259","NCIT"
"NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER","Native Hawaiian or Other Pacific Islander","NCIT:C41219","NCIT"
"CHINESE","Chinese;Asian","NCIT:C43391;NCIT:C41260","NCIT"
"INDIAN","Asian Indian;Asian","NCIT:C41262;NCIT:C41260","NCIT"
"MALAY","Malaysian;Asian","NCIT:C43716;NCIT:C41260","NCIT"
"CAUCASIAN","White","NCIT:C41261","NCIT"
"AFRICAN AMERICAN","African American","NCIT:C128937","NCIT"
"BRAZIL","Brazilian","HANCESTRO:0352","HANCESTRO"
"CHINA","Chinese;Asian","NCIT:C16428;NCIT:C41260","NCIT"
"FRANCE","French;European;White","NCIT:C43854;NCIT:C43851;NCIT:C41261","NCIT"
"ITALY","Italian;European;White","NCIT:C43857;NCIT:C43851;NCIT:C41261","NCIT"
"JAPAN","Japanese;Asian","NCIT:C43392;NCIT:C41260","NCIT"
"ROMANIA","Romanian;European;White","HANCESTRO:0385;NCIT:C43851;NCIT:C41261","HANCESTRO;NCIT"
"SINGAPORE","Singaporean;Asian","NCIT:C43721;NCIT:C41260","NCIT"
"THAILAND","Thai;Asian","NCIT:C43400;NCIT:C41260","NCIT"
"TAIWAN","Taiwanese;Asian","NCIT:C43675;NCIT:C41260","NCIT"
"EUROPEAN","European","NCIT:C43851","NCIT"
"AFRICAN","African","NCIT:C42331","NCIT"
"HAN","Han Chinese;Asian","NCIT:C158158;NCIT:C41260","NCIT"
"BLACK","Black","NCIT:C128938","NCIT"
"ASIAN INDIAN","Asian Indian;Asian","NCIT:C41262;NCIT:C41260","NCIT"
"CARIBBEAN","Caribbean;Hispanic or Latino","HANCESTRO:0048;NCIT:C17459","HANCESTRO;NCIT"
"AFR","African","NCIT:C42331","NCIT"
"AMR","American Ethnicity","NCIT:C128457","NCIT"
"KOREAN","Korean;Asian","NCIT:C43395;NCIT:C41260","NCIT"
"NORTH AFRICAN","North African","NCIT:C126529","NCIT"
"AMERICAN INDIAN","American Indian","NCIT:C43877","NCIT"
"TURKISH","Turkish","HANCESTRO:0451","HANCESTRO"
"PUERTORICAN","Puerto Rican;Hispanic or Latino","NCIT:C67112;NCIT:C17459","NCIT"
"HAWAIIAN","Native Hawaiian","NCIT:C43394","NCIT"
"PUERTO RICAN","Puerto Rican;Hispanic or Latino","NCIT:C67112;NCIT:C17459","NCIT"
"PAKISTAN","Pakistani;Asian","NCIT:C43427;NCIT:C41260","NCIT"
"NATIVE AMERICAN","American Indian or Alaska Native","NCIT:C41259","NCIT"
"DOMINICAN REPUBLIC","Dominican;Hispanic or Latino","NCIT:C67117;NCIT:C17459","NCIT"
"CUBAN","Cuban;Hispanic or Latino","NCIT:C107608;NCIT:C17459","NCIT"
"FILIPINO","Filipino;Asian","NCIT:C43393;NCIT:C41260","NCIT"
"EAST ASIAN","East Asian;Asian","NCIT:C161419;NCIT:C41260","NCIT"
"SOUTH ASIAN","South Asian;Asian","NCIT:C41263;NCIT:C41260","NCIT"
"MEXICAN","Mexican;Hispanic or Latino","NCIT:C67113;NCIT:C17459","NCIT"
"LAOTIAN","Laotian;Asian","NCIT:C43397;NCIT:C41260","NCIT"
"SAMOAN","Samoan","NCIT:C43407","NCIT"
"OTHER ASIAN","Other Asian;Asian","NCIT:C107601;NCIT:C41260","NCIT"
"FIJI ISLANDER","Fiji Islander","NCIT:C43410","NCIT"
"WHITE,OTHER","White","NCIT:C41261","NCIT"
"WHITE, OTHER","White","NCIT:C41261","NCIT"
"KOREA","Korean;Asian","NCIT:C43395;NCIT:C41260","NCIT"
"WHITECAUCASIAN","White","NCIT:C41261","NCIT"
"AFRICAN AMERICANHAITAN","Haitian;African American","NCIT:C43825;NCIT:C128937","NCIT"
"CASUCASIAN","White","NCIT:C41261","NCIT"
"WHITE/CAUCASIAN","White","NCIT:C41261","NCIT"
"BLACK/AFRICAN","African;Black","NCIT:C42331;NCIT:C128938","NCIT"
"PACIFIC ISLANDER","Native Hawaiian or Other Pacific Islander","NCIT:C41219","NCIT"
"WHITE-OTHER","White","NCIT:C41261","NCIT"
"EUR","European","NCIT:C43851","NCIT"
"ASN","Asian","NCIT:C41260","NCIT"
"AFRICAN-AMERICAN","African American","NCIT:C128937","NCIT"
"NOT-HISPANIC OR LATINO","Not Hispanic or Latino","NCIT:C41222","NCIT"
"NON-SPANISH,NON-HISPANIC","Not Hispanic or Latino","NCIT:C41222","NCIT"
"NON-SPANISH, NON-HISPANIC","Not Hispanic or Latino","NCIT:C41222","NCIT"
"HAN NATIONALITY","Han Chinese;Asian","NCIT:C158158;NCIT:C41260","NCIT"
"MONGOL NATIONALITY","Mongol Chinese;Asian","NCIT:C158167;NCIT:C41260","NCIT"
"SALAR NATIONALITY","Salar Chinese;Asian","NCIT:C158192;NCIT:C41260","NCIT"
"SPANISH NOS, HISPANIC NOS, LATINO NOS","Hispanic or Latino","NCIT:C17459","NCIT"
"HISPANIC NOS, LATINO NOS","Hispanic or Latino","NCIT:C17459","NCIT"
"ASIAN-FAR EAST/INDIAN SUBCONT","Asian","NCIT:C41260","NCIT"
"NATIVE HAWAIIAN OR PACIFIC ISL","Native Hawaiian or Other Pacific Islander","NCIT:C41219","NCIT"
"MEXICAN INCLUDES CHICANO","Mexican;Hispanic or Latino","NCIT:C67113;NCIT:C17459","NCIT"
"OTHER SPANISH/HISPANICINCL EUROPEAN, EXCL DOM REP","Hispanic or Latino","NCIT:C17459","NCIT"
"OTHER ASIAN, INCLUDING ASIAN, NOS AND ORIENTAL, NOS","Asian","NCIT:C41260","NCIT"
"SPANISH, NOS HISPANIC, NOS LATINO,","Hispanic or Latino","NCIT:C17459","NCIT"
"UNK/C","White","NCIT:C41261","NCIT"
"UNK/B","Black","NCIT:C128938","NCIT"
"ASIAN, NOS","Asian","NCIT:C41260","NCIT"
"OTHER HISPANIC","Hispanic or Latino","NCIT:C17459","NCIT"
"NOS HISPANIC","Hispanic or Latino","NCIT:C17459","NCIT"
"BLACK/AA","African American;Black","NCIT:C128937;NCIT:C128938","NCIT"
"OTHER ASIAN, ASIAN, NOS","Asian","NCIT:C41260","NCIT"
"WHITE, OTHER","White","NCIT:C41261","NCIT"
"NON-SPANISH","Not Hispanic or Latino","NCIT:C41222","NCIT"
"SPANISH NOS, HISPANIC NOS, LATINO NOS","Hispanic or Latino","NCIT:C17459","NCIT"
"ASAIN","Asian","NCIT:C41260","NCIT"
"MIDDLE EASTERN-LEBANESE","Middle Eastern;Lebanese","NCIT:C77820;NCIT:C43871","NCIT"
"OTHERMIDDLE EASTERN","Middle Eastern","NCIT:C77820","NCIT"
"DRUZE","Middle Eastern","NCIT:C77820","NCIT"
"MIDDLE EASTERN","Middle Eastern","NCIT:C77820","NCIT"
"BLACK/AFRICAN AMERICAN","African American;Black","NCIT:C128937;NCIT:C128938","NCIT"
"MULTIRACIAL","Multiracial","NCIT:C67109","NCIT"
"SPANISH, NOS HISPANIC, NOS LATINO,","Hispanic or Latino","NCIT:C17459","NCIT"
